circuit,vector_seed,vectors,method_ratio,loss_rows,random_mean,random_p05,random_p95,gate,random_passed,seconds,chosen_family,seed_eval_mode,engine,shard_count
adder,5089,128,1.0,0,0.8561440936659425,0.8355927752560521,0.8750682239938962,0.8561440936659425,True,0.31569050007965416,mass_balance,,,
adder,6089,128,1.0,0,0.8596738906023691,0.8409483628181254,0.8781633027493276,0.8596738906023691,True,0.03148959996178746,mass_balance,,,
adder,7089,128,1.0,0,0.85904995085868,0.8390507885242087,0.877478330940927,0.85904995085868,True,0.03304560005199164,mass_balance,,,
adder,8089,128,1.0,0,0.85772210147036,0.838037434693772,0.8762523277467412,0.85772210147036,True,0.03506949997972697,mass_balance,,,
adder,9089,128,1.0,0,0.8571372956755637,0.8375622348955101,0.8757877078807159,0.8571372956755637,True,0.03201760002411902,mass_balance,,,
arbiter,5089,128,0.9235462894384624,0,0.13052927952871649,0.11655407748629402,0.14500160217151148,0.5,True,0.06053649995010346,pdom_dist,,,
arbiter,6089,128,0.9271008045974325,0,0.1287542088546118,0.11453991135005943,0.14381760604234783,0.5,True,0.06114750006236136,pdom_dist,,,
arbiter,7089,128,0.9266569972843458,0,0.12908518737615732,0.11537327474704734,0.14391627783791178,0.5,True,0.06464929995127022,pdom_dist,,,
arbiter,8089,128,0.9256828562435797,0,0.12900959910135748,0.11507825466547009,0.14371478062459833,0.5,True,0.06276510003954172,pdom_dist,,,
arbiter,9089,128,0.9242909284124886,0,0.13015328446365027,0.11594608480553942,0.14478602196065068,0.5,True,0.0634730999590829,pdom_dist,,,
bar,5089,128,0.9972305618286808,0,0.23373551181774752,0.21067581416296838,0.2574794131698634,0.5,True,0.044611999997869134,pdom_dist,,,
bar,6089,128,0.9938268714348709,0,0.2573956486114012,0.23418151415115515,0.2826390523107286,0.5,True,0.04569409997202456,pdom_dist,,,
bar,7089,128,0.9813706036179152,0,0.2226914552230981,0.19991549181695986,0.24671688479379023,0.5,True,0.04644919990096241,pdom_dist,,,
bar,8089,128,0.9935572494708724,0,0.24249783790825127,0.21951898301612266,0.267082415026499,0.5,True,0.044425299973227084,pdom_dist,,,
bar,9089,128,0.9965703201972164,0,0.24985739602645676,0.22659233608034163,0.2747420479411917,0.5,True,0.04496389999985695,pdom_dist,,,
cavlc,5089,128,0.9046564847608655,0,0.1527764678856042,0.09875485609017279,0.21391210084918869,0.5,True,0.027487199986353517,pdom_dist,,,
cavlc,6089,128,0.8941771063535072,0,0.1529812145629899,0.0994387670766006,0.21543733348809466,0.5,True,0.02868560003116727,pdom_dist,,,
cavlc,7089,128,0.9007607358816319,0,0.1472713916278821,0.09332683782728532,0.2103304909909344,0.5,True,0.025886300019919872,pdom_dist,,,
cavlc,8089,128,0.8919322270222795,0,0.1522723309270595,0.0979978646830229,0.21462779118364117,0.5,True,0.026649699895642698,pdom_dist,,,
cavlc,9089,128,0.8805251240290157,0,0.16096566296604142,0.10846035795164934,0.2205724408726208,0.5,True,0.026839399943128228,pdom_dist,,,
ctrl,5089,128,0.9431961219215189,0,0.4649462335073975,0.3632689963923888,0.5648086414144238,0.5,True,0.02424940001219511,pdom_dist,,,
ctrl,6089,128,0.9400380277459173,0,0.4556313180965811,0.35455171608453034,0.5591061660835236,0.5,True,0.02458000008482486,pdom_dist,,,
ctrl,7089,128,0.9518639894903976,0,0.48691898123645344,0.38913237280594903,0.5886421430361634,0.5,True,0.02261339989490807,pdom_dist,,,
ctrl,8089,128,0.9541737126061923,0,0.49629221870344653,0.39940342456427014,0.597605317223855,0.5,True,0.02318250003736466,pdom_dist,,,
ctrl,9089,128,0.9388312205673655,0,0.4564805544225475,0.35222644274130055,0.561838358441611,0.5,True,0.023341399966739118,pdom_dist,,,
dec,5089,128,1.0,0,1.0,1.0,1.0,1.0,True,0.017209699959494174,index_mid,,,
dec,6089,128,1.0,0,1.0,1.0,1.0,1.0,True,0.018479699967429042,index_mid,,,
dec,7089,128,1.0,0,1.0,1.0,1.0,1.0,True,0.017692799912765622,index_mid,,,
dec,8089,128,1.0,0,1.0,1.0,1.0,1.0,True,0.019780500093474984,index_mid,,,
dec,9089,128,1.0,0,1.0,1.0,1.0,1.0,True,0.017111700028181076,index_mid,,,
div,5089,128,0.7764288493390981,0,0.12230797133707366,0.11367158000270362,0.1313194511851861,0.5,True,5.879445499856956,inv_depth,,,
div,6089,128,0.7646846825316767,0,0.12276981862771427,0.11470026768899266,0.13150424477992176,0.5,True,5.975802100030705,inv_depth,,,
div,7089,128,0.7599346695552651,0,0.12326307907231178,0.1149213501359867,0.13203326505881527,0.5,True,5.400748000014573,inv_depth,,,
div,8089,128,0.7797664407783476,0,0.12270861632378009,0.11428389558167465,0.13173906805397984,0.5,True,5.561326700029895,inv_depth,,,
div,9089,128,0.7816475377873088,0,0.12248518379437681,0.11376874268909605,0.1313790521722459,0.5,True,5.897960099973716,inv_depth,,,
hyp,5089,128,0.807366549906299,0,0.4396048909249544,0.4361874124171771,0.4430042735723994,0.5,True,9003.931913500128,index_mid,candidate_sharded,numba,53
hyp,6089,128,0.807340185038004,0,0.41555315518118663,0.411839435729084,0.4191648965420781,0.5,True,9048.852002200088,index_mid,candidate_sharded,numba,53
hyp,7089,128,0.8034547864636181,0,0.44861034778646147,0.4453581573498253,0.45191117041399187,0.5,True,9429.733399099903,index_mid,candidate_sharded,numba,53
hyp,8089,128,0.8050011861610732,0,0.42513935382993817,0.4216927814780445,0.42876887637929756,0.5,True,9040.406340799993,index_mid,candidate_sharded,numba,53
hyp,9089,128,0.8086298703209969,0,0.44696072906079065,0.443593669717943,0.45029297206932,0.5,True,9157.202191699645,index_mid,candidate_sharded,numba,53
i2c,5089,128,0.9907026640443412,0,0.28653730148641904,0.24755509409548393,0.32850089537144644,0.5,True,0.037632100051268935,pdom_dist,,,
i2c,6089,128,0.9885765220552878,0,0.29066237746849755,0.2521592511164418,0.3318365030012997,0.5,True,0.03199649986345321,pdom_dist,,,
i2c,7089,128,0.9883296099785908,0,0.29702920985484393,0.257347196423817,0.33954228189286045,0.5,True,0.03364320006221533,pdom_dist,,,
i2c,8089,128,0.9899884994855033,0,0.2825371710069537,0.24379514008964082,0.32368447121221827,0.5,True,0.03447399998549372,pdom_dist,,,
i2c,9089,128,0.9903574759845429,0,0.2758625929430456,0.23715126967439068,0.3169131586052285,0.5,True,0.03626949992030859,pdom_dist,,,
int2float,5089,128,0.9318610988318428,0,0.1951333419070064,0.11251042028854681,0.29669417633474765,0.5,True,0.025626600021496415,pdom_dist,,,
int2float,6089,128,0.9561221545003301,0,0.1989065905080069,0.11552446731996774,0.29722709896561095,0.5,True,0.024494400015100837,pdom_dist,,,
int2float,7089,128,0.9212362494877947,0,0.18880951961952508,0.1085154331032469,0.2876708654777445,0.5,True,0.030767800053581595,pdom_dist,,,
int2float,8089,128,0.9248926126570667,0,0.19343488597508507,0.11326431770885274,0.2920419917892099,0.5,True,0.02662119991146028,pdom_dist,,,
int2float,9089,128,0.915449361760281,0,0.1996794401919545,0.11976998766935597,0.30341761050623434,0.5,True,0.023383299936540425,pdom_dist,,,
log2,5089,128,0.659908307240923,0,0.24545280711556086,0.2380025381480706,0.25353683331515553,0.5,True,17.014362600049935,sink_reach_near_pr,,,
log2,6089,128,0.6514580318391242,0,0.2439459677214382,0.23662635052676664,0.25217198192326806,0.5,True,16.95568229991477,sink_reach_near_pr,,,
log2,7089,128,0.6610079825692738,0,0.24507738834664486,0.23767740806411156,0.25320973163750166,0.5,True,16.93854820006527,sink_reach_near_pr,,,
log2,8089,128,0.6509345826764134,0,0.24386789862038807,0.23632505754286803,0.252014672396472,0.5,True,17.02376219991129,sink_reach_near_pr,,,
log2,9089,128,0.6545504901840465,0,0.24435038858390354,0.23708129151222548,0.2523774584860607,0.5,True,17.00672970013693,sink_reach_near_pr,,,
max,5089,128,0.5108529019415917,0,0.2030050768975558,0.17230725053324014,0.2352354957752798,0.5,True,0.05055130005348474,pdom_dist,,,
max,6089,128,0.5319811495911049,0,0.20935959764737821,0.17918826949367112,0.2416781020153321,0.5,True,0.0480621000751853,pdom_dist,,,
max,7089,128,0.5035551550705171,0,0.20065510660425123,0.16967965432176027,0.2327360263429101,0.5,True,0.04772849997971207,pdom_dist,,,
max,8089,128,0.5040007265433607,0,0.20067472244426693,0.16990337659006993,0.2330574193710829,0.5,True,0.04697419994045049,pdom_dist,,,
max,9089,128,0.517169629122616,0,0.20484266887260322,0.17437807004586586,0.23674529910529507,0.5,True,0.04840229998808354,pdom_dist,,,
mem_ctrl,5089,128,0.9111558078120396,0,0.1394279649266529,0.13307048856864842,0.14590313662829973,0.5,True,0.22128040005918592,pdom_dist,,,
mem_ctrl,6089,128,0.9119930633612415,0,0.1388995928795109,0.13262318346225346,0.14547020412323433,0.5,True,0.2133625999558717,pdom_dist,,,
mem_ctrl,7089,128,0.9122354145545962,0,0.13879009655937904,0.1323353774226582,0.14540265614028758,0.5,True,0.21164840005803853,pdom_dist,,,
mem_ctrl,8089,128,0.9132762703005536,0,0.1390337437016711,0.13280473356660233,0.14552602955114427,0.5,True,0.21592410001903772,pdom_dist,,,
mem_ctrl,9089,128,0.9136695353795025,0,0.13906565334244314,0.1328094926583967,0.14571906056563197,0.5,True,0.21801539999432862,pdom_dist,,,
multiplier,5089,128,0.7296918136329249,0,0.2717297799357549,0.2631081798121441,0.28103409440158256,0.5,True,0.6566554999444634,sink_reach_near_pr,,,
multiplier,6089,128,0.7373344334071795,0,0.2744255684802501,0.26577003534341265,0.28361539743295633,0.5,True,0.6771528999088332,sink_reach_near_pr,,,
multiplier,7089,128,0.7345605459564761,0,0.27688989028755095,0.26829355278415906,0.2859736939088092,0.5,True,0.672609000117518,sink_reach_near_pr,,,
