circuit,chosen_family,seed_ratio_mean,seed_ratio_std,seed_ratio_min,seed_ratio_max,loss_rows_total,random_gate_fail_total,seconds,inputs,outputs,gates,nets,candidate_nodes,candidate_coverage,unresolved_wire_count,observed_output_count,seed_eval_mode,seed_seconds_mean,batched_fault_seconds,engine,count_mode
adder,mass_balance,1.0,0.0,1.0,1.0,0,0,0.44731280009727925,256,129,1020,1276,892,892,0,129,separate,,,,
arbiter,pdom_dist,0.9254555751952618,0.0013567332624043248,0.9235462894384624,0.9271008045974325,0,0,0.31257149996235967,256,129,11839,12095,11711,11711,0,129,separate,,,,
bar,pdom_dist,0.9925111213099111,0.005756508166989211,0.9813706036179152,0.9972305618286808,0,0,0.22614449984394014,135,128,3336,3471,3208,3208,0,128,separate,,,,
cavlc,pdom_dist,0.8944103356094599,0.00829826095924973,0.8805251240290157,0.9046564847608655,0,0,0.13554819987621158,10,11,693,703,682,682,0,11,separate,,,,
ctrl,pdom_dist,0.9456206144662783,0.00624939241186434,0.9388312205673655,0.9541737126061923,0,0,0.11796669999603182,7,26,175,182,164,164,0,26,separate,,,,
dec,index_mid,1.0,0.0,1.0,1.0,0,0,0.0902743999613449,8,256,304,312,48,48,0,256,separate,,,,
div,inv_depth,0.7724924359983393,0.008612559393470227,0.7599346695552651,0.7816475377873088,0,0,28.715282399905846,128,128,57247,57375,57119,57119,0,128,separate,,,,
hyp,index_mid,0.8063585155779982,0.001866164323956059,0.8034547864636181,0.8086298703209969,0,0,45680.12584729976,256,128,214335,214591,214207,214207,0,128,candidate_sharded,,,,
i2c,pdom_dist,0.9895909543096532,0.0009593287756882546,0.9883296099785908,0.9907026640443412,0,0,0.17401529988273978,147,142,1357,1504,1357,1357,0,142,separate,,,,
int2float,pdom_dist,0.929912295447463,0.014144977807352199,0.915449361760281,0.9561221545003301,0,0,0.13089329993817955,11,7,260,271,253,253,0,7,separate,,,,
log2,sink_reach_near_pr,0.6555718789019562,0.004191117337266924,0.6509345826764134,0.6610079825692738,0,0,84.9390850000782,32,32,32060,32092,32028,32028,0,32,separate,,,,
max,pdom_dist,0.5135119124538381,0.010499158286071016,0.5035551550705171,0.5319811495911049,0,0,0.24171840003691614,512,130,2865,3377,2735,2735,0,130,separate,,,,
mem_ctrl,pdom_dist,0.9124660182815867,0.0009053703826950399,0.9111558078120396,0.9136695353795025,0,0,1.0802309000864625,1204,1231,47110,48314,47110,47110,0,1231,separate,,,,
multiplier,sink_reach_near_pr,0.7333237603096444,0.0025900047226485035,0.7296918136329249,0.7373344334071795,0,0,3.311175699811429,128,128,27062,27190,26934,26934,0,128,separate,,,,
priority,wl3_common_dist,0.7101638437528992,0.0018531470973982,0.7070678074024588,0.7119455779149128,0,0,0.16199509997386485,128,8,978,1106,971,971,0,8,separate,,,,
router,pdom_dist,0.7705190748316649,0.007723397813725722,0.7614557503919793,0.7834531948704562,0,0,0.12859970005229115,60,30,284,344,254,254,0,30,separate,,,,
sqrt,role_depth_resonance_idx_inv_dist,0.6789206293857174,0.00848713146041095,0.6697946372664132,0.691360653934538,0,0,66.40227260009851,128,64,24618,24746,24554,24554,0,64,separate,,,,
square,mass_balance,0.8382634561143374,0.00012564536135057852,0.8381051205508775,0.8384706725509279,0,0,1.3615651997970417,64,128,18486,18550,18358,18358,0,128,separate,,,,
voter,index_mid,0.6151982218025173,0.004252290821309424,0.608336720822602,0.6210118742446556,0,0,4.206897800089791,1001,1,13758,14759,13758,13758,0,1,separate,,,,
sin,pdom_dist,0.686447826948172,0.001803860004247738,0.683254709113437,0.6885825745944818,0,0,1.9462023000232875,24,25,5416,5440,5391,5391,0,25,separate,0.35716795998159795,1.5285410000942647,numba,opposite_flip
