circuit,vector_seed,vectors,budget,method_value,static_value,oracle_value,row_ideal_ratio_raw,loss,chosen_family
adder,5089,128,0.05,5760.0,4419.0,5760.0,1.0,False,mass_balance
adder,5089,128,0.1,11520.0,8749.0,11520.0,1.0,False,mass_balance
adder,5089,128,0.2,22912.0,17267.0,22912.0,1.0,False,mass_balance
adder,6089,128,0.05,5760.0,4355.0,5760.0,1.0,False,mass_balance
adder,6089,128,0.1,11520.0,8707.0,11520.0,1.0,False,mass_balance
adder,6089,128,0.2,22912.0,17304.0,22912.0,1.0,False,mass_balance
adder,7089,128,0.05,5760.0,4365.0,5760.0,1.0,False,mass_balance
adder,7089,128,0.1,11520.0,8720.0,11520.0,1.0,False,mass_balance
adder,7089,128,0.2,22912.0,17245.0,22912.0,1.0,False,mass_balance
adder,8089,128,0.05,5760.0,4350.0,5760.0,1.0,False,mass_balance
adder,8089,128,0.1,11520.0,8684.0,11520.0,1.0,False,mass_balance
adder,8089,128,0.2,22912.0,17220.0,22912.0,1.0,False,mass_balance
adder,9089,128,0.05,5760.0,4345.0,5760.0,1.0,False,mass_balance
adder,9089,128,0.1,11520.0,8658.0,11520.0,1.0,False,mass_balance
adder,9089,128,0.2,22912.0,17217.0,22912.0,1.0,False,mass_balance
arbiter,5089,128,0.05,36809.0,36477.0,43765.0,0.8410602079287102,False,pdom_dist
arbiter,5089,128,0.1,55124.0,51219.0,58613.0,0.9404739562895603,False,pdom_dist
arbiter,5089,128,0.2,65182.0,63940.0,65900.0,0.9891047040971168,False,pdom_dist
arbiter,6089,128,0.05,36137.0,35812.0,42723.0,0.8458441588839735,False,pdom_dist
arbiter,6089,128,0.1,53135.0,49069.0,56292.0,0.9439174305407518,False,pdom_dist
arbiter,6089,128,0.2,61655.0,60710.0,62181.0,0.9915408243675721,False,pdom_dist
arbiter,7089,128,0.05,36402.0,36110.0,43102.0,0.8445547770405085,False,pdom_dist
arbiter,7089,128,0.1,53987.0,50079.0,57142.0,0.944786671800077,False,pdom_dist
arbiter,7089,128,0.2,62691.0,61694.0,63284.0,0.9906295430124518,False,pdom_dist
arbiter,8089,128,0.05,36579.0,36278.0,43296.0,0.8448586474501109,False,pdom_dist
