circuit,vector_seed,vectors,budget,method,method_value,static_value,oracle_value,row_ideal_ratio_raw,loss,chosen_family
adder,7089,128,0.05,segr_structure_derived_selector,5760.0,4365.0,5760.0,1.0,False,mass_balance
adder,7089,128,0.1,segr_structure_derived_selector,11520.0,8720.0,11520.0,1.0,False,mass_balance
adder,7089,128,0.2,segr_structure_derived_selector,22912.0,17245.0,22912.0,1.0,False,mass_balance
adder,7089,128,0.05,no_gnn,4964.0,4365.0,5760.0,0.8618055555555556,False,mass_balance
adder,7089,128,0.1,no_gnn,10091.0,8720.0,11520.0,0.8759548611111111,False,mass_balance
adder,7089,128,0.2,no_gnn,19571.0,17245.0,22912.0,0.8541812150837989,False,mass_balance
adder,7089,128,0.05,gnn_only,4683.0,4365.0,5760.0,0.8130208333333333,False,mass_balance
adder,7089,128,0.1,gnn_only,10094.0,8720.0,11520.0,0.8762152777777777,False,mass_balance
adder,7089,128,0.2,gnn_only,20299.0,17245.0,22912.0,0.8859549581005587,False,mass_balance
adder,7089,128,0.05,shuffled_gnn,4898.0,4365.0,5760.0,0.8503472222222223,False,mass_balance
adder,7089,128,0.1,shuffled_gnn,10022.0,8720.0,11520.0,0.8699652777777778,False,mass_balance
adder,7089,128,0.2,shuffled_gnn,19765.0,17245.0,22912.0,0.8626483938547486,False,mass_balance
adder,7089,128,0.05,pure_static_proximity,4365.0,4365.0,5760.0,0.7578125,False,mass_balance
adder,7089,128,0.1,pure_static_proximity,8720.0,8720.0,11520.0,0.7569444444444444,False,mass_balance
adder,7089,128,0.2,pure_static_proximity,17245.0,17245.0,22912.0,0.7526623603351955,False,mass_balance
adder,7089,128,0.05,cache_structural_only,5760.0,4365.0,5760.0,1.0,False,mass_balance
adder,7089,128,0.1,cache_structural_only,11520.0,8720.0,11520.0,1.0,False,mass_balance
adder,7089,128,0.2,cache_structural_only,21290.0,17245.0,22912.0,0.9292074022346368,False,mass_balance
adder,7089,128,0.05,structural_family_only,5760.0,4365.0,5760.0,1.0,False,mass_balance
adder,7089,128,0.1,structural_family_only,11520.0,8720.0,11520.0,1.0,False,mass_balance
adder,7089,128,0.2,structural_family_only,22912.0,17245.0,22912.0,1.0,False,mass_balance
arbiter,7089,128,0.05,segr_structure_derived_selector,36402.0,36110.0,43102.0,0.8445547770405085,False,pdom_dist
arbiter,7089,128,0.1,segr_structure_derived_selector,53987.0,50079.0,57142.0,0.944786671800077,False,pdom_dist
arbiter,7089,128,0.2,segr_structure_derived_selector,62691.0,61694.0,63284.0,0.9906295430124518,False,pdom_dist
arbiter,7089,128,0.05,no_gnn,7760.0,36110.0,43102.0,0.18003804927845576,True,pdom_dist
arbiter,7089,128,0.1,no_gnn,25457.0,50079.0,57142.0,0.44550418256273844,True,pdom_dist
arbiter,7089,128,0.2,no_gnn,61822.0,61694.0,63284.0,0.9768977940711713,False,pdom_dist
arbiter,7089,128,0.05,gnn_only,128.0,36110.0,43102.0,0.0029696997819126723,True,pdom_dist
arbiter,7089,128,0.1,gnn_only,154.0,50079.0,57142.0,0.002695040425606384,True,pdom_dist
arbiter,7089,128,0.2,gnn_only,207.0,61694.0,63284.0,0.0032709689652992858,True,pdom_dist
arbiter,7089,128,0.05,shuffled_gnn,3239.0,36110.0,43102.0,0.07514732495011832,True,pdom_dist
arbiter,7089,128,0.1,shuffled_gnn,6687.0,50079.0,57142.0,0.11702425536383046,True,pdom_dist
arbiter,7089,128,0.2,shuffled_gnn,12679.0,61694.0,63284.0,0.20035079957019153,True,pdom_dist
arbiter,7089,128,0.05,pure_static_proximity,36110.0,36110.0,43102.0,0.8377801494130203,False,pdom_dist
arbiter,7089,128,0.1,pure_static_proximity,50079.0,50079.0,57142.0,0.876395645934689,False,pdom_dist
arbiter,7089,128,0.2,pure_static_proximity,61694.0,61694.0,63284.0,0.9748751659187156,False,pdom_dist
arbiter,7089,128,0.05,cache_structural_only,342.0,36110.0,43102.0,0.007934666604797922,True,pdom_dist
arbiter,7089,128,0.1,cache_structural_only,684.0,50079.0,57142.0,0.01197017955269329,True,pdom_dist
arbiter,7089,128,0.2,cache_structural_only,1833.0,61694.0,63284.0,0.02896466721446179,True,pdom_dist
arbiter,7089,128,0.05,structural_family_only,12475.0,36110.0,43102.0,0.28942972483875457,True,pdom_dist
arbiter,7089,128,0.1,structural_family_only,13709.0,50079.0,57142.0,0.23991109866648,True,pdom_dist
arbiter,7089,128,0.2,structural_family_only,29688.0,61694.0,63284.0,0.46912331711017,True,pdom_dist
bar,7089,128,0.05,segr_structure_derived_selector,15463.0,15463.0,16311.0,0.9480105450309607,False,pdom_dist
bar,7089,128,0.1,segr_structure_derived_selector,28736.0,28736.0,28736.0,1.0,False,pdom_dist
bar,7089,128,0.2,segr_structure_derived_selector,39346.0,39326.0,39500.0,0.9961012658227848,False,pdom_dist
bar,7089,128,0.05,no_gnn,15464.0,15463.0,16311.0,0.9480718533504997,False,pdom_dist
bar,7089,128,0.1,no_gnn,28736.0,28736.0,28736.0,1.0,False,pdom_dist
bar,7089,128,0.2,no_gnn,39341.0,39326.0,39500.0,0.9959746835443039,False,pdom_dist
bar,7089,128,0.05,gnn_only,1059.0,15463.0,16311.0,0.06492551039176016,True,pdom_dist
bar,7089,128,0.1,gnn_only,3346.0,28736.0,28736.0,0.11643930957683742,True,pdom_dist
bar,7089,128,0.2,gnn_only,24242.0,39326.0,39500.0,0.6137215189873417,True,pdom_dist
bar,7089,128,0.05,shuffled_gnn,3137.0,15463.0,16311.0,0.19232419839372203,True,pdom_dist
bar,7089,128,0.1,shuffled_gnn,4911.0,28736.0,28736.0,0.17090061247216035,True,pdom_dist
bar,7089,128,0.2,shuffled_gnn,10199.0,39326.0,39500.0,0.2582025316455696,True,pdom_dist
bar,7089,128,0.05,pure_static_proximity,15463.0,15463.0,16311.0,0.9480105450309607,False,pdom_dist
bar,7089,128,0.1,pure_static_proximity,28736.0,28736.0,28736.0,1.0,False,pdom_dist
bar,7089,128,0.2,pure_static_proximity,39326.0,39326.0,39500.0,0.9955949367088608,False,pdom_dist
bar,7089,128,0.05,cache_structural_only,8306.0,15463.0,16311.0,0.5092269020906137,True,pdom_dist
bar,7089,128,0.1,cache_structural_only,11377.0,28736.0,28736.0,0.39591453229398665,True,pdom_dist
bar,7089,128,0.2,cache_structural_only,19076.0,39326.0,39500.0,0.4829367088607595,True,pdom_dist
bar,7089,128,0.05,structural_family_only,9021.0,15463.0,16311.0,0.5530623505609711,True,pdom_dist
bar,7089,128,0.1,structural_family_only,11675.0,28736.0,28736.0,0.4062847995545657,True,pdom_dist
bar,7089,128,0.2,structural_family_only,18430.0,39326.0,39500.0,0.46658227848101264,True,pdom_dist
cavlc,7089,128,0.05,segr_structure_derived_selector,2088.0,2088.0,2488.0,0.8392282958199357,False,pdom_dist
