figure,circuit,method,public_name,n_nodes,correlation,centered_rmse,method_std,oracle_std,std_ratio,centered_rmse_norm
Fig4,adder,v38_no_hand_parameters_selector,SEGR,892,0.7218175592728043,0.21556393800277124,0.28899894303603363,0.28899894303603363,1.0,0.7458987072346968
Fig4,adder,pure_static_proximity,Static-Prox,892,-0.1835611905211532,0.4446380350971224,0.28899894303603363,0.28899894303603363,1.0,1.5385455407761925
Fig4,adder,no_gnn,SEGR w/o GNN,892,0.25983630573389493,0.35162127274951277,0.28899894303603363,0.28899894303603363,1.0,1.21668705447712
Fig4,adder,gnn_only,GNN-only,892,-0.22370234837406017,0.4521152424976372,0.28899894303603363,0.28899894303603363,1.0,1.5644183253682886
Fig4,adder,shuffled_gnn,Shuffled-GNN,892,-0.0069592356035493765,0.41012590052622677,0.28899894303603363,0.28899894303603363,1.0,1.4191259532568274
Fig4,adder,cache_structural_only,Cache-Struct,892,0.5169924876762816,0.284045684198444,0.28899894303603363,0.28899894303603363,1.0,0.9828606333796451
Fig4,adder,structural_family_only,Struct-Family,892,0.6831411076536342,0.23006163509347377,0.2889989430360337,0.28899894303603363,1.0000000000000002,0.7960639325410567
Fig4,arbiter,v38_no_hand_parameters_selector,SEGR,11711,0.5136834800620366,0.284721963786758,0.28869978556062315,0.28869978556062315,1.0,0.9862215977537335
Fig4,arbiter,pure_static_proximity,Static-Prox,11711,0.8520459164221054,0.15704529775206053,0.28869978556062315,0.28869978556062315,1.0,0.5439744177401998
Fig4,arbiter,no_gnn,SEGR w/o GNN,11711,0.2099017743229366,0.36291256290046564,0.28869978556062315,0.28869978556062315,1.0,1.2570586507216466
Fig4,arbiter,gnn_only,GNN-only,11711,-0.15758214286464411,0.43927589113080234,0.28869978556062315,0.28869978556062315,1.0,1.5215663921529314
Fig4,arbiter,shuffled_gnn,Shuffled-GNN,11711,0.007668773070741296,0.4067146238130508,0.28869978556062315,0.28869978556062315,1.0,1.4087804846243852
Fig4,arbiter,cache_structural_only,Cache-Struct,11711,-0.3147433315719148,0.468146679666788,0.28869978556062315,0.28869978556062315,1.0,1.6215691977661113
Fig4,arbiter,structural_family_only,Struct-Family,11711,0.29753163343880856,0.3421959341466437,0.28869978556062315,0.28869978556062315,1.0,1.185300271290943
Fig4,bar,v38_no_hand_parameters_selector,SEGR,3208,0.849970864797652,0.15817853770429144,0.28876513463896203,0.28876513463896203,1.0,0.5477757482808971
Fig4,bar,pure_static_proximity,Static-Prox,3208,0.8312984723763444,0.1677332882561077,0.2887651346389621,0.28876513463896203,1.0000000000000002,0.5808640591802112
Fig4,bar,no_gnn,SEGR w/o GNN,3208,0.812210893498578,0.17696808493363334,0.28876513463896203,0.28876513463896203,1.0,0.6128443627894808
Fig4,bar,gnn_only,GNN-only,3208,0.22329899445297655,0.35990401129963606,0.28876513463896203,0.28876513463896203,1.0,1.2463554914606214
Fig4,bar,shuffled_gnn,Shuffled-GNN,3208,-0.010255052406736551,0.4104641851248432,0.28876513463896203,0.28876513463896203,1.0,1.4214464832745106
Fig4,bar,cache_structural_only,Cache-Struct,3208,0.47006948728694803,0.29728241240458564,0.28876513463896203,0.28876513463896203,1.0,1.0294955198669418
