figure,circuit,budget,variant,public_name,segr_value,variant_value,oracle_value,delta,segr_ratio,variant_ratio,sign
Fig5,adder,0.05,pure_static_proximity,Static-Prox,5760.0,4365.0,5760.0,0.2421875,1.0,0.7578125,positive
Fig5,adder,0.05,no_gnn,SEGR w/o GNN,5760.0,5760.0,5760.0,0.0,1.0,1.0,zero
Fig5,adder,0.05,gnn_only,GNN-only,5760.0,4652.0,5760.0,0.19236111111111112,1.0,0.8076388888888889,positive
Fig5,adder,0.05,shuffled_gnn,Shuffled-GNN,5760.0,4902.0,5760.0,0.14895833333333333,1.0,0.8510416666666667,positive
Fig5,adder,0.05,cache_structural_only,Cache-Struct,5760.0,5760.0,5760.0,0.0,1.0,1.0,zero
Fig5,adder,0.05,structural_family_only,Struct-Family,5760.0,5760.0,5760.0,0.0,1.0,1.0,zero
Fig5,adder,0.1,pure_static_proximity,Static-Prox,11520.0,8720.0,11520.0,0.24305555555555555,1.0,0.7569444444444444,positive
Fig5,adder,0.1,no_gnn,SEGR w/o GNN,11520.0,11520.0,11520.0,0.0,1.0,1.0,zero
Fig5,adder,0.1,gnn_only,GNN-only,11520.0,10094.0,11520.0,0.12378472222222223,1.0,0.8762152777777777,positive
Fig5,adder,0.1,shuffled_gnn,Shuffled-GNN,11520.0,10022.0,11520.0,0.13003472222222223,1.0,0.8699652777777778,positive
Fig5,adder,0.1,cache_structural_only,Cache-Struct,11520.0,11520.0,11520.0,0.0,1.0,1.0,zero
Fig5,adder,0.1,structural_family_only,Struct-Family,11520.0,11520.0,11520.0,0.0,1.0,1.0,zero
Fig5,adder,0.2,pure_static_proximity,Static-Prox,22912.0,17245.0,22912.0,0.24733763966480446,1.0,0.7526623603351955,positive
Fig5,adder,0.2,no_gnn,SEGR w/o GNN,22912.0,21561.0,22912.0,0.05896473463687151,1.0,0.9410352653631285,positive
Fig5,adder,0.2,gnn_only,GNN-only,22912.0,20299.0,22912.0,0.11404504189944134,1.0,0.8859549581005587,positive
Fig5,adder,0.2,shuffled_gnn,Shuffled-GNN,22912.0,19765.0,22912.0,0.1373516061452514,1.0,0.8626483938547486,positive
Fig5,adder,0.2,cache_structural_only,Cache-Struct,22912.0,21249.0,22912.0,0.0725820530726257,1.0,0.9274179469273743,positive
Fig5,adder,0.2,structural_family_only,Struct-Family,22912.0,22912.0,22912.0,0.0,1.0,1.0,zero
Fig5,arbiter,0.05,pure_static_proximity,Static-Prox,36402.0,36110.0,43102.0,0.006774627627488284,0.8445547770405085,0.8377801494130203,positive
Fig5,arbiter,0.05,no_gnn,SEGR w/o GNN,36402.0,2989.0,43102.0,0.7752076469769384,0.8445547770405085,0.06934713006357014,positive
Fig5,arbiter,0.05,gnn_only,GNN-only,36402.0,128.0,43102.0,0.8415850772585959,0.8445547770405085,0.0029696997819126723,positive
Fig5,arbiter,0.05,shuffled_gnn,Shuffled-GNN,36402.0,3239.0,43102.0,0.7694074520903902,0.8445547770405085,0.07514732495011832,positive
Fig5,arbiter,0.05,cache_structural_only,Cache-Struct,36402.0,128.0,43102.0,0.8415850772585959,0.8445547770405085,0.0029696997819126723,positive
