circuit,vector_seed,vectors,method,method_ratio,loss_rows,random_mean,random_p05,random_p95,gate,random_passed
adder,7089,128,fusa_supervised_fair_mlp_loco,0.9745071319573764,0,,,,,
arbiter,7089,128,fusa_supervised_fair_mlp_loco,0.5928734639518954,2,,,,,
bar,7089,128,fusa_supervised_fair_mlp_loco,0.8350937284928394,3,,,,,
cavlc,7089,128,fusa_supervised_fair_mlp_loco,0.7799927761479849,2,,,,,
ctrl,7089,128,fusa_supervised_fair_mlp_loco,0.8324813358648229,3,,,,,
dec,7089,128,fusa_supervised_fair_mlp_loco,1.0,0,,,,,
div,7089,128,fusa_supervised_fair_mlp_loco,0.5032271813859068,0,,,,,
hyp,7089,128,fusa_supervised_fair_mlp_loco,0.3256965044224121,1,,,,,
i2c,7089,128,fusa_supervised_fair_mlp_loco,0.9791599131667816,3,,,,,
int2float,7089,128,fusa_supervised_fair_mlp_loco,0.8385768928456865,2,,,,,
log2,7089,128,fusa_supervised_fair_mlp_loco,0.6049738295913207,0,,,,,
max,7089,128,fusa_supervised_fair_mlp_loco,0.27271571803447076,2,,,,,
mem_ctrl,7089,128,fusa_supervised_fair_mlp_loco,0.7281260767883888,3,,,,,
multiplier,7089,128,fusa_supervised_fair_mlp_loco,0.40640594572568484,1,,,,,
priority,7089,128,fusa_supervised_fair_mlp_loco,0.33006230263581093,3,,,,,
router,7089,128,fusa_supervised_fair_mlp_loco,0.4087675575831184,3,,,,,
sin,7089,128,fusa_supervised_fair_mlp_loco,0.7250260750017704,0,,,,,
sqrt,7089,128,fusa_supervised_fair_mlp_loco,0.4121148431846994,2,,,,,
square,7089,128,fusa_supervised_fair_mlp_loco,0.8070930396053116,0,,,,,
voter,7089,128,fusa_supervised_fair_mlp_loco,0.3335539640876,3,,,,,
