circuit,vector_seed,vectors,method,method_ratio,loss_rows,random_mean,random_p05,random_p95,gate,random_passed
adder,7089,128,centrality_only,0.9760387569832403,0,0.8586766051753569,0.8364583333333333,0.8809027777777778,0.8586766051753569,True
adder,7089,128,scoap_proxy,0.7558064349265466,0,0.8586766051753569,0.8364583333333333,0.8809027777777778,0.8586766051753569,False
adder,7089,128,observability_cone_proxy,0.7558355317608111,0,0.8586766051753569,0.8364583333333333,0.8809027777777778,0.8586766051753569,False
adder,7089,128,cone_centrality_proxy,1.0,0,0.8586766051753569,0.8364583333333333,0.8809027777777778,0.8586766051753569,True
adder,7089,128,structural_borda_no_gnn,0.7611626771673908,1,0.8586766051753569,0.8364583333333333,0.8809027777777778,0.8586766051753569,False
adder,7089,128,equal_rank_fusion_static_cache_gnn,0.9049391876163874,0,0.8586766051753569,0.8364583333333333,0.8809027777777778,0.8586766051753569,True
adder,7089,128,rrf_static_cache_gnn,0.8941862908648872,0,0.8586766051753569,0.8364583333333333,0.8809027777777778,0.8586766051753569,True
adder,7089,128,max_visible_signal,0.9079057715187254,0,0.8586766051753569,0.8364583333333333,0.8809027777777778,0.8586766051753569,True
arbiter,7089,128,centrality_only,0.014603636758274995,3,0.12917702736853473,0.06400747065101388,0.2138336704380254,0.5,False
arbiter,7089,128,scoap_proxy,0.9266569972843458,0,0.12917702736853473,0.06400747065101388,0.2138336704380254,0.5,True
arbiter,7089,128,observability_cone_proxy,0.9296705029080278,0,0.12917702736853473,0.06400747065101388,0.2138336704380254,0.5,True
arbiter,7089,128,cone_centrality_proxy,0.10370023099767947,3,0.12917702736853473,0.06400747065101388,0.2138336704380254,0.5,False
arbiter,7089,128,structural_borda_no_gnn,0.37972202576458514,3,0.12917702736853473,0.06400747065101388,0.2138336704380254,0.5,False
arbiter,7089,128,equal_rank_fusion_static_cache_gnn,0.34839905839252694,3,0.12917702736853473,0.06400747065101388,0.2138336704380254,0.5,False
arbiter,7089,128,rrf_static_cache_gnn,0.45410284332046935,3,0.12917702736853473,0.06400747065101388,0.2138336704380254,0.5,False
arbiter,7089,128,max_visible_signal,0.006757185581890518,3,0.12917702736853473,0.06400747065101388,0.2138336704380254,0.5,False
bar,7089,128,centrality_only,0.45732964737911014,3,0.22276636509900583,0.1554073937833364,0.3085341772151899,0.5,False
bar,7089,128,scoap_proxy,0.9812777766136958,0,0.22276636509900583,0.1554073937833364,0.3085341772151899,0.5,True
bar,7089,128,observability_cone_proxy,0.9814212365293076,0,0.22276636509900583,0.1554073937833364,0.3085341772151899,0.5,True
bar,7089,128,cone_centrality_proxy,0.5808923501389863,3,0.22276636509900583,0.1554073937833364,0.3085341772151899,0.5,True
bar,7089,128,structural_borda_no_gnn,0.8526499739013014,2,0.22276636509900583,0.1554073937833364,0.3085341772151899,0.5,True
bar,7089,128,equal_rank_fusion_static_cache_gnn,0.7734744141378155,3,0.22276636509900583,0.1554073937833364,0.3085341772151899,0.5,True
bar,7089,128,rrf_static_cache_gnn,0.7420822050550487,3,0.22276636509900583,0.1554073937833364,0.3085341772151899,0.5,True
bar,7089,128,max_visible_signal,0.3312631804425737,3,0.22276636509900583,0.1554073937833364,0.3085341772151899,0.5,False
cavlc,7089,128,centrality_only,0.2446082544861383,3,0.14888387675655762,0.04695240183182306,0.2684091480271425,0.5,False
cavlc,7089,128,scoap_proxy,0.8864631229084723,0,0.14888387675655762,0.04695240183182306,0.2684091480271425,0.5,True
cavlc,7089,128,observability_cone_proxy,0.8907483315713057,0,0.14888387675655762,0.04695240183182306,0.2684091480271425,0.5,True
cavlc,7089,128,cone_centrality_proxy,0.5936246852293355,3,0.14888387675655762,0.04695240183182306,0.2684091480271425,0.5,True
cavlc,7089,128,structural_borda_no_gnn,0.704918218541069,3,0.14888387675655762,0.04695240183182306,0.2684091480271425,0.5,True
cavlc,7089,128,equal_rank_fusion_static_cache_gnn,0.7315128625077036,3,0.14888387675655762,0.04695240183182306,0.2684091480271425,0.5,True
cavlc,7089,128,rrf_static_cache_gnn,0.7716981200410603,3,0.14888387675655762,0.04695240183182306,0.2684091480271425,0.5,True
cavlc,7089,128,max_visible_signal,0.5863420386794548,3,0.14888387675655762,0.04695240183182306,0.2684091480271425,0.5,True
ctrl,7089,128,centrality_only,0.5494495882828996,3,0.48440627482659016,0.354312193627451,0.6015625,0.5,True
ctrl,7089,128,scoap_proxy,0.9518639894903976,0,0.48440627482659016,0.354312193627451,0.6015625,0.5,True
ctrl,7089,128,observability_cone_proxy,0.9528593458591663,1,0.48440627482659016,0.354312193627451,0.6015625,0.5,True
ctrl,7089,128,cone_centrality_proxy,0.6762711966748997,3,0.48440627482659016,0.354312193627451,0.6015625,0.5,True
ctrl,7089,128,structural_borda_no_gnn,0.7278324015267347,3,0.48440627482659016,0.354312193627451,0.6015625,0.5,True
ctrl,7089,128,equal_rank_fusion_static_cache_gnn,0.7179153557666997,3,0.48440627482659016,0.354312193627451,0.6015625,0.5,True
ctrl,7089,128,rrf_static_cache_gnn,0.7197564701401841,3,0.48440627482659016,0.354312193627451,0.6015625,0.5,True
ctrl,7089,128,max_visible_signal,0.8906207820174628,3,0.48440627482659016,0.354312193627451,0.6015625,0.5,True
dec,7089,128,centrality_only,1.0,0,1.0,1.0,1.0,1.0,True
dec,7089,128,scoap_proxy,1.0,0,1.0,1.0,1.0,1.0,True
dec,7089,128,observability_cone_proxy,1.0,0,1.0,1.0,1.0,1.0,True
dec,7089,128,cone_centrality_proxy,1.0,0,1.0,1.0,1.0,1.0,True
dec,7089,128,structural_borda_no_gnn,1.0,0,1.0,1.0,1.0,1.0,True
dec,7089,128,equal_rank_fusion_static_cache_gnn,1.0,0,1.0,1.0,1.0,1.0,True
dec,7089,128,rrf_static_cache_gnn,1.0,0,1.0,1.0,1.0,1.0,True
dec,7089,128,max_visible_signal,1.0,0,1.0,1.0,1.0,1.0,True
div,7089,128,centrality_only,0.21634246031442908,3,0.12273171429029545,0.058122670083876976,0.20747673100247851,0.5,False
div,7089,128,scoap_proxy,0.6360270212661285,0,0.12273171429029545,0.058122670083876976,0.20747673100247851,0.5,True
div,7089,128,observability_cone_proxy,0.5190941576970163,0,0.12273171429029545,0.058122670083876976,0.20747673100247851,0.5,True
div,7089,128,cone_centrality_proxy,0.327475999955151,3,0.12273171429029545,0.058122670083876976,0.20747673100247851,0.5,False
div,7089,128,structural_borda_no_gnn,0.4383045648932074,0,0.12273171429029545,0.058122670083876976,0.20747673100247851,0.5,False
div,7089,128,equal_rank_fusion_static_cache_gnn,0.5543768785161318,0,0.12273171429029545,0.058122670083876976,0.20747673100247851,0.5,True
div,7089,128,rrf_static_cache_gnn,0.5171057545991264,0,0.12273171429029545,0.058122670083876976,0.20747673100247851,0.5,True
div,7089,128,max_visible_signal,0.5477749745860923,0,0.12273171429029545,0.058122670083876976,0.20747673100247851,0.5,True
hyp,7089,128,centrality_only,0.38609387809883167,2,0.44849790734940737,0.4303009042541479,0.4699825713215514,0.5,False
hyp,7089,128,scoap_proxy,0.2751276394760471,2,0.44849790734940737,0.4303009042541479,0.4699825713215514,0.5,False
hyp,7089,128,observability_cone_proxy,0.30343502865363553,2,0.44849790734940737,0.4303009042541479,0.4699825713215514,0.5,False
hyp,7089,128,cone_centrality_proxy,0.40366766541392934,2,0.44849790734940737,0.4303009042541479,0.4699825713215514,0.5,False
hyp,7089,128,structural_borda_no_gnn,0.3285877469692168,2,0.44849790734940737,0.4303009042541479,0.4699825713215514,0.5,False
hyp,7089,128,equal_rank_fusion_static_cache_gnn,0.3143547006712943,2,0.44849790734940737,0.4303009042541479,0.4699825713215514,0.5,False
