circuit,vector_seed,vectors,budget,method,method_value,static_value,oracle_value,row_ideal_ratio_raw,loss
adder,7089,128,0.05,centrality_only,5760.0,4365.0,5760.0,1.0,False
adder,7089,128,0.1,centrality_only,11520.0,8720.0,11520.0,1.0,False
adder,7089,128,0.2,centrality_only,21265.0,17245.0,22912.0,0.9281162709497207,False
adder,7089,128,0.05,scoap_proxy,4365.0,4365.0,5760.0,0.7578125,False
adder,7089,128,0.1,scoap_proxy,8720.0,8720.0,11520.0,0.7569444444444444,False
adder,7089,128,0.2,scoap_proxy,17245.0,17245.0,22912.0,0.7526623603351955,False
adder,7089,128,0.05,observability_cone_proxy,4365.0,4365.0,5760.0,0.7578125,False
adder,7089,128,0.1,observability_cone_proxy,8720.0,8720.0,11520.0,0.7569444444444444,False
adder,7089,128,0.2,observability_cone_proxy,17247.0,17245.0,22912.0,0.7527496508379888,False
adder,7089,128,0.05,cone_centrality_proxy,5760.0,4365.0,5760.0,1.0,False
adder,7089,128,0.1,cone_centrality_proxy,11520.0,8720.0,11520.0,1.0,False
adder,7089,128,0.2,cone_centrality_proxy,22912.0,17245.0,22912.0,1.0,False
adder,7089,128,0.05,structural_borda_no_gnn,4366.0,4365.0,5760.0,0.7579861111111111,False
adder,7089,128,0.1,structural_borda_no_gnn,8703.0,8720.0,11520.0,0.75546875,True
adder,7089,128,0.2,structural_borda_no_gnn,17643.0,17245.0,22912.0,0.7700331703910615,False
adder,7089,128,0.05,equal_rank_fusion_static_cache_gnn,5340.0,4365.0,5760.0,0.9270833333333334,False
adder,7089,128,0.1,equal_rank_fusion_static_cache_gnn,10479.0,8720.0,11520.0,0.9096354166666667,False
adder,7089,128,0.2,equal_rank_fusion_static_cache_gnn,20119.0,17245.0,22912.0,0.878098812849162,False
adder,7089,128,0.05,rrf_static_cache_gnn,5323.0,4365.0,5760.0,0.9241319444444445,False
adder,7089,128,0.1,rrf_static_cache_gnn,10253.0,8720.0,11520.0,0.8900173611111111,False
adder,7089,128,0.2,rrf_static_cache_gnn,19897.0,17245.0,22912.0,0.8684095670391061,False
adder,7089,128,0.05,max_visible_signal,5213.0,4365.0,5760.0,0.9050347222222223,False
adder,7089,128,0.1,max_visible_signal,10381.0,8720.0,11520.0,0.9011284722222223,False
adder,7089,128,0.2,max_visible_signal,21023.0,17245.0,22912.0,0.9175541201117319,False
arbiter,7089,128,0.05,centrality_only,237.0,36110.0,43102.0,0.005498584752447682,True
arbiter,7089,128,0.1,centrality_only,582.0,50079.0,57142.0,0.01018515277729166,True
arbiter,7089,128,0.2,centrality_only,1780.0,61694.0,63284.0,0.028127172745085645,True
arbiter,7089,128,0.05,scoap_proxy,36402.0,36110.0,43102.0,0.8445547770405085,False
arbiter,7089,128,0.1,scoap_proxy,53987.0,50079.0,57142.0,0.944786671800077,False
arbiter,7089,128,0.2,scoap_proxy,62691.0,61694.0,63284.0,0.9906295430124518,False
arbiter,7089,128,0.05,observability_cone_proxy,36355.0,36110.0,43102.0,0.8434643404018375,False
arbiter,7089,128,0.1,observability_cone_proxy,54565.0,50079.0,57142.0,0.9549018235273529,False
arbiter,7089,128,0.2,observability_cone_proxy,62692.0,61694.0,63284.0,0.9906453447948929,False
arbiter,7089,128,0.05,cone_centrality_proxy,2105.0,36110.0,43102.0,0.04883764094473574,True
arbiter,7089,128,0.1,cone_centrality_proxy,5043.0,50079.0,57142.0,0.0882538238073571,True
arbiter,7089,128,0.2,cone_centrality_proxy,11012.0,61694.0,63284.0,0.17400922824094558,True
arbiter,7089,128,0.05,structural_borda_no_gnn,7321.0,36110.0,43102.0,0.16985290705767714,True
arbiter,7089,128,0.1,structural_borda_no_gnn,16458.0,50079.0,57142.0,0.28801932028980437,True
arbiter,7089,128,0.2,structural_borda_no_gnn,43115.0,61694.0,63284.0,0.681293849946274,True
arbiter,7089,128,0.05,equal_rank_fusion_static_cache_gnn,1145.0,36110.0,43102.0,0.0265648925803907,True
arbiter,7089,128,0.1,equal_rank_fusion_static_cache_gnn,15845.0,50079.0,57142.0,0.27729165937489064,True
arbiter,7089,128,0.2,equal_rank_fusion_static_cache_gnn,46915.0,61694.0,63284.0,0.7413406232222994,True
arbiter,7089,128,0.05,rrf_static_cache_gnn,10584.0,36110.0,43102.0,0.2455570507169041,True
arbiter,7089,128,0.1,rrf_static_cache_gnn,24417.0,50079.0,57142.0,0.4273039095586434,True
arbiter,7089,128,0.2,rrf_static_cache_gnn,43631.0,61694.0,63284.0,0.6894475696858605,True
arbiter,7089,128,0.05,max_visible_signal,175.0,36110.0,43102.0,0.004060136420583732,True
arbiter,7089,128,0.1,max_visible_signal,297.0,50079.0,57142.0,0.005197577963669455,True
arbiter,7089,128,0.2,max_visible_signal,697.0,61694.0,63284.0,0.011013842361418369,True
bar,7089,128,0.05,centrality_only,8178.0,15463.0,16311.0,0.5013794371896266,True
bar,7089,128,0.1,centrality_only,11194.0,28736.0,28736.0,0.38954621380846327,True
bar,7089,128,0.2,centrality_only,19002.0,39326.0,39500.0,0.4810632911392405,True
bar,7089,128,0.05,scoap_proxy,15463.0,15463.0,16311.0,0.9480105450309607,False
bar,7089,128,0.1,scoap_proxy,28736.0,28736.0,28736.0,1.0,False
bar,7089,128,0.2,scoap_proxy,39335.0,39326.0,39500.0,0.9958227848101265,False
bar,7089,128,0.05,observability_cone_proxy,15463.0,15463.0,16311.0,0.9480105450309607,False
bar,7089,128,0.1,observability_cone_proxy,28736.0,28736.0,28736.0,1.0,False
bar,7089,128,0.2,observability_cone_proxy,39352.0,39326.0,39500.0,0.996253164556962,False
bar,7089,128,0.05,cone_centrality_proxy,8933.0,15463.0,16311.0,0.5476672184415425,True
bar,7089,128,0.1,cone_centrality_proxy,11642.0,28736.0,28736.0,0.40513641425389757,True
bar,7089,128,0.2,cone_centrality_proxy,31200.0,39326.0,39500.0,0.789873417721519,True
bar,7089,128,0.05,structural_borda_no_gnn,11392.0,15463.0,16311.0,0.6984243761878487,True
bar,7089,128,0.1,structural_borda_no_gnn,24823.0,28736.0,28736.0,0.8638293429844098,True
bar,7089,128,0.2,structural_borda_no_gnn,39330.0,39326.0,39500.0,0.9956962025316456,False
bar,7089,128,0.05,equal_rank_fusion_static_cache_gnn,9739.0,15463.0,16311.0,0.5970817239899454,True
bar,7089,128,0.1,equal_rank_fusion_static_cache_gnn,21576.0,28736.0,28736.0,0.7508351893095768,True
bar,7089,128,0.2,equal_rank_fusion_static_cache_gnn,38414.0,39326.0,39500.0,0.9725063291139241,True
bar,7089,128,0.05,rrf_static_cache_gnn,10278.0,15463.0,16311.0,0.6301269082214457,True
bar,7089,128,0.1,rrf_static_cache_gnn,20107.0,28736.0,28736.0,0.6997146436525612,True
bar,7089,128,0.2,rrf_static_cache_gnn,35408.0,39326.0,39500.0,0.8964050632911392,True
bar,7089,128,0.05,max_visible_signal,6269.0,15463.0,16311.0,0.3843418551897492,True
