circuit,vector_seed,vectors,method,method_ratio,loss_rows,random_mean,random_p05,random_p95,gate,random_passed
adder,7089,128,logistic_regression_same_feature_loco,0.7581377379474447,0,,,,,
adder,7089,128,random_forest_same_feature_loco,0.8583493365921788,0,,,,,
adder,7089,128,mlp_same_feature_loco,0.9745071319573764,0,,,,,
arbiter,7089,128,logistic_regression_same_feature_loco,0.8229438775926298,1,,,,,
arbiter,7089,128,random_forest_same_feature_loco,0.7803174707912184,3,,,,,
arbiter,7089,128,mlp_same_feature_loco,0.5928734639518954,2,,,,,
bar,7089,128,logistic_regression_same_feature_loco,0.8746917803535206,2,,,,,
bar,7089,128,random_forest_same_feature_loco,0.9161172905505468,3,,,,,
bar,7089,128,mlp_same_feature_loco,0.8350937284928394,3,,,,,
cavlc,7089,128,logistic_regression_same_feature_loco,0.8269919704385861,1,,,,,
cavlc,7089,128,random_forest_same_feature_loco,0.852639826684037,1,,,,,
cavlc,7089,128,mlp_same_feature_loco,0.7799927761479849,2,,,,,
ctrl,7089,128,logistic_regression_same_feature_loco,0.9493618945007309,2,,,,,
ctrl,7089,128,random_forest_same_feature_loco,0.9682571261152275,2,,,,,
ctrl,7089,128,mlp_same_feature_loco,0.8324813358648229,3,,,,,
dec,7089,128,logistic_regression_same_feature_loco,1.0,0,,,,,
dec,7089,128,random_forest_same_feature_loco,1.0,0,,,,,
dec,7089,128,mlp_same_feature_loco,1.0,0,,,,,
div,7089,128,logistic_regression_same_feature_loco,0.4968973139179953,0,,,,,
div,7089,128,random_forest_same_feature_loco,0.43100600586166316,1,,,,,
div,7089,128,mlp_same_feature_loco,0.5032271813859068,0,,,,,
hyp,7089,128,logistic_regression_same_feature_loco,0.30917893171372474,1,,,,,
hyp,7089,128,random_forest_same_feature_loco,0.3851269206190829,1,,,,,
hyp,7089,128,mlp_same_feature_loco,0.3256965044224121,1,,,,,
i2c,7089,128,logistic_regression_same_feature_loco,0.9631853299823141,1,,,,,
i2c,7089,128,random_forest_same_feature_loco,0.9659196686214279,1,,,,,
i2c,7089,128,mlp_same_feature_loco,0.9791599131667816,3,,,,,
int2float,7089,128,logistic_regression_same_feature_loco,0.8177232228498701,2,,,,,
int2float,7089,128,random_forest_same_feature_loco,0.8519490698742354,3,,,,,
int2float,7089,128,mlp_same_feature_loco,0.8385768928456865,2,,,,,
log2,7089,128,logistic_regression_same_feature_loco,0.6249182731729002,0,,,,,
log2,7089,128,random_forest_same_feature_loco,0.5529008094918727,0,,,,,
log2,7089,128,mlp_same_feature_loco,0.6049738295913207,0,,,,,
max,7089,128,logistic_regression_same_feature_loco,0.39831872819417014,2,,,,,
max,7089,128,random_forest_same_feature_loco,0.5757439448641454,0,,,,,
max,7089,128,mlp_same_feature_loco,0.27271571803447076,2,,,,,
mem_ctrl,7089,128,logistic_regression_same_feature_loco,0.689149339259175,3,,,,,
mem_ctrl,7089,128,random_forest_same_feature_loco,0.6943696202956146,3,,,,,
mem_ctrl,7089,128,mlp_same_feature_loco,0.7281260767883888,3,,,,,
multiplier,7089,128,logistic_regression_same_feature_loco,0.47028377601617316,0,,,,,
multiplier,7089,128,random_forest_same_feature_loco,0.4923016166597862,0,,,,,
multiplier,7089,128,mlp_same_feature_loco,0.40640594572568484,1,,,,,
priority,7089,128,logistic_regression_same_feature_loco,0.7214753454974184,0,,,,,
priority,7089,128,random_forest_same_feature_loco,0.506036534767146,3,,,,,
priority,7089,128,mlp_same_feature_loco,0.33006230263581093,3,,,,,
router,7089,128,logistic_regression_same_feature_loco,0.603894692707528,2,,,,,
router,7089,128,random_forest_same_feature_loco,0.668249042385063,3,,,,,
router,7089,128,mlp_same_feature_loco,0.4087675575831184,3,,,,,
sin,7089,128,logistic_regression_same_feature_loco,0.7250867576153446,0,,,,,
sin,7089,128,random_forest_same_feature_loco,0.7283519700024014,0,,,,,
sin,7089,128,mlp_same_feature_loco,0.7250260750017704,0,,,,,
sqrt,7089,128,logistic_regression_same_feature_loco,0.5670389858360058,0,,,,,
sqrt,7089,128,random_forest_same_feature_loco,0.6582673976846201,0,,,,,
sqrt,7089,128,mlp_same_feature_loco,0.4121148431846994,2,,,,,
square,7089,128,logistic_regression_same_feature_loco,0.8084461982814776,0,,,,,
square,7089,128,random_forest_same_feature_loco,0.7655881766342948,1,,,,,
square,7089,128,mlp_same_feature_loco,0.8070930396053116,0,,,,,
voter,7089,128,logistic_regression_same_feature_loco,0.4969780634764204,0,,,,,
voter,7089,128,random_forest_same_feature_loco,0.4265746580278732,0,,,,,
voter,7089,128,mlp_same_feature_loco,0.3335539640876,3,,,,,
