fold,heldout_circuit,train_circuits,train_samples,heldout_nodes,method,train_runtime_seconds,inference_runtime_seconds
0,adder,19,15372,892,logistic_regression_same_feature_loco,0.01875750000044718,0.0006478000000242901
0,adder,19,15372,892,random_forest_same_feature_loco,2.000501500000155,0.1006585999998606
0,adder,19,15372,892,mlp_same_feature_loco,4.486313300000347,0.0007737999999335443
1,arbiter,19,15264,11711,logistic_regression_same_feature_loco,0.028276000000005297,0.002999499999987165
1,arbiter,19,15264,11711,random_forest_same_feature_loco,2.0490517999996882,0.12112049999996088
1,arbiter,19,15264,11711,mlp_same_feature_loco,5.885894300000018,0.005083399999875837
2,bar,19,15264,3208,logistic_regression_same_feature_loco,0.018140200000289042,0.000999600000341161
2,bar,19,15264,3208,random_forest_same_feature_loco,2.0918360000000575,0.08908759999985705
2,bar,19,15264,3208,mlp_same_feature_loco,4.971092300000237,0.002591700000266428
3,cavlc,19,15582,682,logistic_regression_same_feature_loco,0.02020109999966735,0.0005912999999964086
3,cavlc,19,15582,682,random_forest_same_feature_loco,2.122100600000067,0.11261180000019522
3,cavlc,19,15582,682,mlp_same_feature_loco,4.817385800000011,0.0008278000000245811
4,ctrl,19,16100,164,logistic_regression_same_feature_loco,0.02118880000034551,0.0005231000000094355
4,ctrl,19,16100,164,random_forest_same_feature_loco,2.1494900000002417,0.08334299999978612
4,ctrl,19,16100,164,mlp_same_feature_loco,4.176121200000125,0.0004003999997621577
5,dec,19,16216,48,logistic_regression_same_feature_loco,0.01909879999993791,0.000457399999959307
5,dec,19,16216,48,random_forest_same_feature_loco,2.176307100000031,0.0716325999997025
5,dec,19,16216,48,mlp_same_feature_loco,4.210427900000013,0.00040249999983643647
6,div,19,15264,57119,logistic_regression_same_feature_loco,0.017233899999610003,0.015039700000215817
6,div,19,15264,57119,random_forest_same_feature_loco,1.952774700000191,0.1516684999996869
6,div,19,15264,57119,mlp_same_feature_loco,3.50802799999974,0.017241500000181986
7,hyp,19,15264,214207,logistic_regression_same_feature_loco,0.01924120000012408,0.058443699999770615
7,hyp,19,15264,214207,random_forest_same_feature_loco,2.0378969000003053,0.32451129999981276
7,hyp,19,15264,214207,mlp_same_feature_loco,5.788038900000174,0.05429999999978463
8,i2c,19,15264,1357,logistic_regression_same_feature_loco,0.0198261000000457,0.0007775000003675814
8,i2c,19,15264,1357,random_forest_same_feature_loco,1.9679118999997627,0.09178780000002007
8,i2c,19,15264,1357,mlp_same_feature_loco,5.146400399999948,0.001051299999744515
9,int2float,19,16011,253,logistic_regression_same_feature_loco,0.022362799999882554,0.0005393999999796506
9,int2float,19,16011,253,random_forest_same_feature_loco,2.072366100000181,0.07532660000015312
9,int2float,19,16011,253,mlp_same_feature_loco,3.4329413999998906,0.0005082999996375293
10,log2,19,15264,32028,logistic_regression_same_feature_loco,0.02033339999979944,0.009053200000380457
10,log2,19,15264,32028,random_forest_same_feature_loco,1.9753153999999995,0.1399412000000666
10,log2,19,15264,32028,mlp_same_feature_loco,3.8435613999999987,0.01029049999988274
11,max,19,15264,2735,logistic_regression_same_feature_loco,0.019792900000084046,0.0010322000002815912
11,max,19,15264,2735,random_forest_same_feature_loco,1.9367428000000473,0.09072299999979805
11,max,19,15264,2735,mlp_same_feature_loco,3.916375799999969,0.0015719999996690603
12,mem_ctrl,19,15264,47110,logistic_regression_same_feature_loco,0.018208599999979924,0.013252700000066397
12,mem_ctrl,19,15264,47110,random_forest_same_feature_loco,1.9079130000000077,0.14391820000037114
12,mem_ctrl,19,15264,47110,mlp_same_feature_loco,3.348887800000284,0.01490109999986089
13,multiplier,19,15264,26934,logistic_regression_same_feature_loco,0.019509900000230118,0.008001400000011927
13,multiplier,19,15264,26934,random_forest_same_feature_loco,1.9537245000001349,0.13032949999978882
13,multiplier,19,15264,26934,mlp_same_feature_loco,4.28345360000003,0.009986300000036863
14,priority,19,15293,971,logistic_regression_same_feature_loco,0.026816900000085298,0.0008700000003045716
14,priority,19,15293,971,random_forest_same_feature_loco,2.0605646000003617,0.1019189999997252
14,priority,19,15293,971,mlp_same_feature_loco,3.7046378999998524,0.0009554000002935936
15,router,19,16010,254,logistic_regression_same_feature_loco,0.02746290000004592,0.000529999999798747
15,router,19,16010,254,random_forest_same_feature_loco,2.0506281000002673,0.08876180000015665
15,router,19,16010,254,mlp_same_feature_loco,2.9630960999998024,0.0010280999999849882
16,sin,19,15264,5391,logistic_regression_same_feature_loco,0.02586399999972855,0.0016418999998677464
16,sin,19,15264,5391,random_forest_same_feature_loco,1.9106091999997261,0.09898859999975684
16,sin,19,15264,5391,mlp_same_feature_loco,6.89689589999989,0.002540599999974802
17,sqrt,19,15264,24554,logistic_regression_same_feature_loco,0.020317900000009104,0.006453500000134227
17,sqrt,19,15264,24554,random_forest_same_feature_loco,1.9269308000002638,0.13010029999986727
17,sqrt,19,15264,24554,mlp_same_feature_loco,3.6488409999997202,0.008179800000107207
18,square,19,15264,18358,logistic_regression_same_feature_loco,0.019613700000263634,0.005159400000138703
18,square,19,15264,18358,random_forest_same_feature_loco,1.9567873999999392,0.13398449999976947
18,square,19,15264,18358,mlp_same_feature_loco,3.6750616999997874,0.00705470000002606
19,voter,19,15264,13758,logistic_regression_same_feature_loco,0.022437900000113586,0.003982300000188843
19,voter,19,15264,13758,random_forest_same_feature_loco,1.9442351000002418,0.1120957000002818
19,voter,19,15264,13758,mlp_same_feature_loco,5.232641299999614,0.005354300000362855
