circuit,vector_seed,vectors,budget,method,method_value,static_value,oracle_value,row_ideal_ratio_raw,loss
adder,7089,128,0.05,logistic_regression_same_feature_loco,4401.0,4312.0,5760.0,0.7640625,False
adder,7089,128,0.1,logistic_regression_same_feature_loco,8716.0,8646.0,11520.0,0.7565972222222223,False
adder,7089,128,0.2,logistic_regression_same_feature_loco,17270.0,17188.0,22912.0,0.7537534916201117,False
adder,7089,128,0.05,random_forest_same_feature_loco,5373.0,4312.0,5760.0,0.9328125,False
adder,7089,128,0.1,random_forest_same_feature_loco,9729.0,8646.0,11520.0,0.84453125,False
adder,7089,128,0.2,random_forest_same_feature_loco,18277.0,17188.0,22912.0,0.7977042597765364,False
adder,7089,128,0.05,mlp_same_feature_loco,5760.0,4312.0,5760.0,1.0,False
adder,7089,128,0.1,mlp_same_feature_loco,11455.0,8646.0,11520.0,0.9943576388888888,False
adder,7089,128,0.2,mlp_same_feature_loco,21289.0,17188.0,22912.0,0.9291637569832403,False
arbiter,7089,128,0.05,logistic_regression_same_feature_loco,26546.0,36044.0,43102.0,0.6158878938332328,True
arbiter,7089,128,0.1,logistic_regression_same_feature_loco,50115.0,49857.0,57142.0,0.8770256553848308,False
arbiter,7089,128,0.2,logistic_regression_same_feature_loco,61760.0,61631.0,63284.0,0.9759180835598256,False
arbiter,7089,128,0.05,random_forest_same_feature_loco,22761.0,36044.0,43102.0,0.5280729432508933,True
arbiter,7089,128,0.1,random_forest_same_feature_loco,48976.0,49857.0,57142.0,0.8570928563928459,True
arbiter,7089,128,0.2,random_forest_same_feature_loco,60486.0,61631.0,63284.0,0.9557866127299159,True
arbiter,7089,128,0.05,mlp_same_feature_loco,10922.0,36044.0,43102.0,0.25339891420351723,True
arbiter,7089,128,0.1,mlp_same_feature_loco,31298.0,49857.0,57142.0,0.5477232158482377,True
arbiter,7089,128,0.2,mlp_same_feature_loco,61860.0,61631.0,63284.0,0.9774982618039315,False
bar,7089,128,0.05,logistic_regression_same_feature_loco,11392.0,15467.0,16311.0,0.6984243761878487,True
bar,7089,128,0.1,logistic_regression_same_feature_loco,26729.0,28736.0,28736.0,0.9301572939866369,True
bar,7089,128,0.2,logistic_regression_same_feature_loco,39322.0,39303.0,39500.0,0.995493670886076,False
bar,7089,128,0.05,random_forest_same_feature_loco,15447.0,15467.0,16311.0,0.9470296119183373,True
bar,7089,128,0.1,random_forest_same_feature_loco,25493.0,28736.0,28736.0,0.8871450445434298,True
bar,7089,128,0.2,random_forest_same_feature_loco,36110.0,39303.0,39500.0,0.9141772151898734,True
bar,7089,128,0.05,mlp_same_feature_loco,10779.0,15467.0,16311.0,0.6608423763104654,True
bar,7089,128,0.1,mlp_same_feature_loco,25544.0,28736.0,28736.0,0.8889198218262806,True
bar,7089,128,0.2,mlp_same_feature_loco,37743.0,39303.0,39500.0,0.9555189873417721,True
cavlc,7089,128,0.05,logistic_regression_same_feature_loco,1834.0,2173.0,2488.0,0.7371382636655949,True
cavlc,7089,128,0.1,logistic_regression_same_feature_loco,2871.0,2773.0,3300.0,0.87,False
cavlc,7089,128,0.2,logistic_regression_same_feature_loco,3477.0,3439.0,3979.0,0.8738376476501634,False
cavlc,7089,128,0.05,random_forest_same_feature_loco,1971.0,2173.0,2488.0,0.7922025723472669,True
cavlc,7089,128,0.1,random_forest_same_feature_loco,2881.0,2773.0,3300.0,0.873030303030303,False
cavlc,7089,128,0.2,random_forest_same_feature_loco,3552.0,3439.0,3979.0,0.8926866046745413,False
cavlc,7089,128,0.05,mlp_same_feature_loco,1550.0,2173.0,2488.0,0.6229903536977492,True
cavlc,7089,128,0.1,mlp_same_feature_loco,2726.0,2773.0,3300.0,0.826060606060606,True
cavlc,7089,128,0.2,mlp_same_feature_loco,3545.0,3439.0,3979.0,0.8909273686855994,False
ctrl,7089,128,0.05,logistic_regression_same_feature_loco,1152.0,1152.0,1152.0,1.0,False
ctrl,7089,128,0.1,logistic_regression_same_feature_loco,2058.0,2128.0,2176.0,0.9457720588235294,True
ctrl,7089,128,0.2,logistic_regression_same_feature_loco,3510.0,3709.0,3890.0,0.9023136246786633,True
ctrl,7089,128,0.05,random_forest_same_feature_loco,1152.0,1152.0,1152.0,1.0,False
ctrl,7089,128,0.1,random_forest_same_feature_loco,2098.0,2128.0,2176.0,0.9641544117647058,True
ctrl,7089,128,0.2,random_forest_same_feature_loco,3659.0,3709.0,3890.0,0.9406169665809768,True
ctrl,7089,128,0.05,mlp_same_feature_loco,853.0,1152.0,1152.0,0.7404513888888888,True
ctrl,7089,128,0.1,mlp_same_feature_loco,1843.0,2128.0,2176.0,0.8469669117647058,True
ctrl,7089,128,0.2,mlp_same_feature_loco,3540.0,3709.0,3890.0,0.910025706940874,True
dec,7089,128,0.05,logistic_regression_same_feature_loco,384.0,384.0,384.0,1.0,False
dec,7089,128,0.1,logistic_regression_same_feature_loco,640.0,640.0,640.0,1.0,False
dec,7089,128,0.2,logistic_regression_same_feature_loco,1280.0,1280.0,1280.0,1.0,False
dec,7089,128,0.05,random_forest_same_feature_loco,384.0,384.0,384.0,1.0,False
dec,7089,128,0.1,random_forest_same_feature_loco,640.0,640.0,640.0,1.0,False
dec,7089,128,0.2,random_forest_same_feature_loco,1280.0,1280.0,1280.0,1.0,False
dec,7089,128,0.05,mlp_same_feature_loco,384.0,384.0,384.0,1.0,False
dec,7089,128,0.1,mlp_same_feature_loco,640.0,640.0,640.0,1.0,False
dec,7089,128,0.2,mlp_same_feature_loco,1280.0,1280.0,1280.0,1.0,False
div,7089,128,0.05,logistic_regression_same_feature_loco,48639.0,47546.0,120176.0,0.40473139395553187,False
div,7089,128,0.1,logistic_regression_same_feature_loco,65295.0,58839.0,143757.0,0.45420396919802164,False
div,7089,128,0.2,logistic_regression_same_feature_loco,95840.0,73466.0,151704.0,0.6317565786004324,False
div,7089,128,0.05,random_forest_same_feature_loco,48317.0,47546.0,120176.0,0.40205199041405937,False
div,7089,128,0.1,random_forest_same_feature_loco,59245.0,58839.0,143757.0,0.41211906202828386,False
div,7089,128,0.2,random_forest_same_feature_loco,72643.0,73466.0,151704.0,0.4788469651426462,True
div,7089,128,0.05,mlp_same_feature_loco,56422.0,47546.0,120176.0,0.46949474104646516,False
div,7089,128,0.1,mlp_same_feature_loco,68749.0,58839.0,143757.0,0.4782306252912902,False
div,7089,128,0.2,mlp_same_feature_loco,85251.0,73466.0,151704.0,0.5619561778199652,False
hyp,7089,128,0.05,logistic_regression_same_feature_loco,352747.0,318457.0,1316997.0,0.26784191611674135,False
hyp,7089,128,0.1,logistic_regression_same_feature_loco,814116.0,638013.0,2574553.0,0.31621644611705413,False
hyp,7089,128,0.2,logistic_regression_same_feature_loco,1675348.0,2587617.0,4877593.0,0.34347843290737873,True
hyp,7089,128,0.05,random_forest_same_feature_loco,510898.0,318457.0,1316997.0,0.38792647211800785,False
hyp,7089,128,0.1,random_forest_same_feature_loco,984649.0,638013.0,2574553.0,0.3824543522700834,False
hyp,7089,128,0.2,random_forest_same_feature_loco,1877873.0,2587617.0,4877593.0,0.38499993746915745,True
hyp,7089,128,0.05,mlp_same_feature_loco,386923.0,318457.0,1316997.0,0.2937918613330175,False
hyp,7089,128,0.1,mlp_same_feature_loco,789901.0,638013.0,2574553.0,0.30681092989734526,False
hyp,7089,128,0.2,mlp_same_feature_loco,1836349.0,2587617.0,4877593.0,0.3764867220368735,True
i2c,7089,128,0.05,logistic_regression_same_feature_loco,8704.0,8704.0,8704.0,1.0,False
i2c,7089,128,0.1,logistic_regression_same_feature_loco,17408.0,17408.0,17408.0,1.0,False
i2c,7089,128,0.2,logistic_regression_same_feature_loco,25484.0,27618.0,28648.0,0.8895559899469422,True
i2c,7089,128,0.05,random_forest_same_feature_loco,8704.0,8704.0,8704.0,1.0,False
i2c,7089,128,0.1,random_forest_same_feature_loco,17408.0,17408.0,17408.0,1.0,False
i2c,7089,128,0.2,random_forest_same_feature_loco,25719.0,27618.0,28648.0,0.8977590058642837,True
i2c,7089,128,0.05,mlp_same_feature_loco,8688.0,8704.0,8704.0,0.9981617647058824,True
i2c,7089,128,0.1,mlp_same_feature_loco,17285.0,17408.0,17408.0,0.9929342830882353,True
i2c,7089,128,0.2,mlp_same_feature_loco,27112.0,27618.0,28648.0,0.9463836917062273,True
