node,count
cOut,128
n1000,128
n1001,86
n1002,100
n1004,88
n1005,128
n1006,92
n1007,128
n1008,128
n1009,98
n1010,99
n1012,92
n1013,128
n1014,91
n1015,128
n1016,128
n1017,94
n1018,92
n1020,91
n1021,128
n1022,100
n1023,128
n1024,128
n1025,101
n1026,87
n1028,100
n1029,128
n1030,96
n1031,128
n1032,128
n1033,97
n1034,93
n1036,96
n1037,128
n1038,93
n1039,128
n1040,128
n1041,93
n1042,94
n1044,93
n1045,128
n1046,95
n1047,128
n1048,128
n1049,101
n1050,96
n1052,95
n1053,128
n1054,104
n1055,128
n1056,128
n1057,100
n1058,92
n1060,104
n1061,128
n1062,105
n1063,128
n1064,128
n1065,95
n1066,92
n1068,105
n1069,128
n1070,90
n1071,128
n1072,128
n1073,88
n1074,94
n1076,90
n1077,128
n1078,94
n1079,128
n1080,128
n1081,98
n1082,96
n1084,94
n1085,128
n1086,102
n1087,128
n1088,128
n1089,97
n1090,92
n1092,102
n1093,128
n1094,94
n1095,128
n1096,128
n1097,92
n1098,93
n1100,94
n1101,128
n1102,108
n1103,128
n1104,128
n1105,101
n1106,86
n1108,108
n1109,128
n1110,99
n1111,128
n1112,128
n1113,96
n1114,99
n1116,99
n1117,128
n1118,96
n1119,128
n1120,128
n1121,90
n1122,103
n1124,96
n1125,128
n1126,96
n1127,128
n1128,128
n1129,89
n1130,98
n1132,96
n1133,128
n1134,99
n1135,128
n1136,128
n1137,93
n1138,95
n1140,99
n1141,128
n1142,96
n1143,128
n1144,128
n1145,94
n1146,100
n1148,96
n1149,128
n1150,94
n1151,128
n1152,128
n1153,89
n1154,105
n1156,94
n1157,128
n1158,94
n1159,128
n1160,128
n1161,93
n1162,97
n1164,94
n1165,128
n1166,97
n1167,128
n1168,128
n1169,94
n1170,97
n1172,97
n1173,128
n1174,103
n1175,128
n1176,128
n1177,94
n1178,96
n1180,103
n1181,128
n1182,94
n1183,128
n1184,128
n1185,96
n1186,100
n1188,94
n1189,128
n1190,95
n1191,128
n1192,128
n1193,103
n1194,97
n1196,95
n1197,128
n1198,104
n1199,128
n1200,128
n1201,94
n1202,95
n1204,104
n1205,128
n1206,98
n1207,128
n1208,128
n1209,93
n1210,102
n1212,98
n1213,128
n1214,89
n1215,128
n1216,128
n1217,91
n1218,107
n1220,89
n1221,128
n1222,93
n1223,128
n1224,128
n1225,96
n1226,100
n1228,93
n1229,128
n1230,100
n1231,128
n1232,128
n1233,101
n1234,102
n1236,100
n1237,128
n1238,99
n1239,128
n1240,128
n1241,92
n1242,100
n1244,99
n1245,128
n1246,103
n1247,128
n1248,128
n1249,98
n1250,89
n1252,103
n1253,128
n1254,102
n1255,128
n1256,128
n1257,99
n1258,93
n1260,102
n1261,128
n1262,96
n1263,128
n1264,128
n1265,97
n1266,97
n1268,96
n1269,128
n1270,106
n1271,128
n1272,128
n1273,98
n1274,92
n1276,106
n1277,128
n1278,91
n1279,128
n1280,128
n1281,90
n1282,111
n1284,91
n1285,128
n1286,95
n1287,128
n1288,128
n1289,93
n1290,103
n1292,95
n1293,128
n1294,98
n1295,128
n1296,128
n1297,96
n1298,102
n1300,98
n1301,128
n1302,98
n1303,128
n1304,128
n1305,92
n1306,100
n1308,98
n1309,128
n1310,96
n1311,128
n1312,128
n1313,93
n1314,100
n1316,96
n1317,128
n1318,107
n1319,128
n1320,128
n1321,94
n1322,92
n1324,107
n1325,128
n1326,101
n1327,128
n1328,128
n1329,94
n1330,99
n1332,101
n1333,128
n1334,95
n1335,128
n1336,128
n1337,93
n1338,102
n1340,95
n1341,128
n1342,101
n1343,128
n1344,128
n1345,93
n1346,97
n1348,101
n1349,128
n1350,96
n1351,128
n1352,128
n1353,93
n1354,100
n1356,96
n1357,128
n1358,100
n1359,128
n1360,128
n1361,95
n1362,101
n1364,100
n1365,128
n1366,95
n1367,128
n1368,128
n1369,88
n1370,98
n1372,95
n1373,128
n1374,100
n1375,128
n1376,128
n1377,92
n1378,97
n1380,100
n1381,128
n1382,99
n1383,128
n1384,128
n1385,99
n1386,102
n1388,99
n1389,128
n1390,100
n1391,128
n1392,128
n1393,96
n1394,101
n1396,100
n1397,128
n1398,104
n1399,128
n1400,128
n1401,101
n1402,101
n1404,104
n386,104
n387,87
n389,128
n390,101
n391,98
n392,128
n393,109
n394,81
n396,101
n397,128
n398,85
n399,128
n400,128
n401,93
n402,103
n404,85
n405,128
n406,93
n407,128
n408,128
n409,98
n410,95
n412,93
n413,128
n414,90
n415,128
n416,128
n417,101
n418,100
n420,90
n421,128
n422,98
n423,128
n424,128
n425,101
n426,94
n428,98
n429,128
n430,104
n431,128
n432,128
n433,91
n434,92
n436,104
n437,128
n438,97
n439,128
n440,128
n441,95
n442,96
n444,97
n445,128
n446,94
n447,128
n448,128
n449,95
n450,94
n452,94
n453,128
n454,94
n455,128
n456,128
n457,92
n458,101
n460,94
n461,128
n462,93
n463,128
n464,128
n465,94
n466,95
n468,93
n469,128
n470,102
n471,128
n472,128
n473,103
n474,99
n476,102
n477,128
n478,106
n479,128
n480,128
n481,94
n482,96
n484,106
n485,128
n486,99
n487,128
n488,128
n489,88
n490,103
n492,99
n493,128
n494,89
n495,128
n496,128
n497,84
n498,98
n500,89
n501,128
n502,104
n503,128
n504,128
n505,99
n506,91
n508,104
n509,128
n510,89
n511,128
n512,128
n513,94
n514,94
n516,89
n517,128
n518,101
n519,128
n520,128
n521,108
n522,83
n524,101
n525,128
n526,94
n527,128
n528,128
n529,97
n530,85
n532,94
n533,128
n534,93
n535,128
n536,128
n537,102
n538,91
n540,93
n541,128
n542,92
n543,128
n544,128
n545,89
n546,91
n548,92
n549,128
n550,94
n551,128
n552,128
n553,98
n554,86
n556,94
n557,128
n558,96
n559,128
n560,128
n561,100
n562,89
n564,96
n565,128
n566,96
n567,128
n568,128
n569,101
n570,91
n572,96
n573,128
n574,92
n575,128
n576,128
n577,100
n578,94
n580,92
n581,128
n582,94
n583,128
n584,128
n585,93
n586,92
n588,94
n589,128
n590,96
n591,128
n592,128
n593,103
n594,94
n596,96
n597,128
n598,97
n599,128
n600,128
n601,104
n602,95
n604,97
n605,128
n606,106
n607,128
n608,128
n609,93
n610,90
n612,106
n613,128
n614,96
n615,128
n616,128
n617,96
n618,96
n620,96
n621,128
n622,83
n623,128
n624,128
n625,90
n626,102
n628,83
n629,128
n630,98
n631,128
n632,128
n633,97
n634,91
n636,98
n637,128
n638,93
n639,128
n640,128
n641,98
n642,92
n644,93
n645,128
n646,96
n647,128
n648,128
n649,98
n650,89
n652,96
n653,128
n654,97
n655,128
n656,128
n657,97
n658,90
n660,97
n661,128
n662,84
n663,128
n664,128
n665,92
n666,105
n668,84
n669,128
n670,95
n671,128
n672,128
n673,100
n674,99
n676,95
n677,128
n678,95
n679,128
n680,128
n681,91
n682,95
n684,95
n685,128
n686,92
n687,128
n688,128
n689,98
n690,102
n692,92
n693,128
n694,99
n695,128
n696,128
n697,100
n698,101
n700,99
n701,128
n702,92
n703,128
n704,128
n705,89
n706,98
n708,92
n709,128
n710,98
n711,128
n712,128
n713,102
n714,95
n716,98
n717,128
n718,96
n719,128
n720,128
n721,101
n722,99
n724,96
n725,128
n726,95
n727,128
n728,128
n729,96
n730,99
n732,95
n733,128
n734,91
n735,128
n736,128
n737,97
n738,97
n740,91
n741,128
n742,103
n743,128
n744,128
n745,105
n746,95
n748,103
n749,128
n750,91
n751,128
n752,128
n753,89
n754,99
n756,91
n757,128
n758,99
n759,128
n760,128
n761,93
n762,93
n764,99
n765,128
n766,105
n767,128
n768,128
n769,102
n770,94
n772,105
n773,128
n774,99
n775,128
n776,128
n777,92
n778,103
n780,99
n781,128
n782,102
n783,128
n784,128
n785,94
n786,99
n788,102
n789,128
n790,88
n791,128
n792,128
n793,85
n794,101
n796,88
n797,128
n798,101
n799,128
n800,128
n801,99
n802,99
n804,101
n805,128
n806,87
n807,128
n808,128
n809,92
n810,105
n812,87
n813,128
n814,99
n815,128
n816,128
n817,101
n818,93
n820,99
n821,128
n822,103
n823,128
n824,128
n825,97
n826,97
n828,103
n829,128
n830,96
n831,128
n832,128
n833,91
n834,101
n836,96
n837,128
n838,95
n839,128
n840,128
n841,88
n842,99
n844,95
n845,128
n846,98
n847,128
n848,128
n849,98
n850,98
n852,98
n853,128
