node,count
anyGrant,128
n1000,4
n10000,13
n10001,15
n10002,21
n10003,27
n10004,32
n10005,42
n10006,57
n10007,71
n10008,89
n10009,117
n1004,5
n10075,2
n10076,2
n10077,3
n10078,3
n10079,3
n1008,5
n10080,4
n10081,4
n10082,4
n10083,6
n10084,6
n10085,7
n10086,10
n10087,14
n10088,20
n10089,25
n10090,31
n10091,41
n10092,52
n10093,71
n10094,88
n10095,110
n1012,6
n1016,11
n10165,1
n10166,1
n10167,3
n10168,3
n10169,4
n10170,5
n10171,5
n10172,6
n10173,8
n10174,9
n10175,22
n10176,26
n10177,34
n10178,43
n10179,52
n10180,73
n10181,105
n1020,13
n1024,16
n10250,1
n10251,1
n10252,1
n10253,2
n10254,3
n10255,3
n10256,5
n10257,7
n10258,10
n10259,15
n10260,18
n10261,26
n10262,32
n10263,40
n10264,51
n10265,66
n10266,74
n10267,110
n1028,19
n1032,23
n10331,1
n10332,1
n10333,1
n10334,1
n10335,1
n10336,2
n10337,2
n10338,2
n10339,4
n10340,4
n10341,4
n10342,4
n10343,7
n10344,9
n10345,11
n10346,15
n10347,21
n10348,30
n10349,43
n10350,54
n10351,67
n10352,81
n10353,110
n1036,31
n1040,36
n10423,1
n10424,1
n10425,2
n10426,2
n10427,2
n10428,3
n10429,5
n10430,5
n10431,13
n10432,16
n10433,23
n10434,30
n10435,37
n10436,53
n10437,70
n10438,93
n10439,118
n1044,48
n1048,54
n10506,1
n10507,1
n10508,1
n10509,2
n10510,3
n10511,3
n10512,4
n10513,4
n10514,7
n10515,8
n10516,9
n10517,14
n10518,18
n10519,25
n1052,71
n10520,29
n10521,41
n10522,45
n10523,69
n10524,84
n10525,113
n1056,88
n10587,1
n10588,1
n10589,1
n10590,1
n10591,1
n10592,2
n10593,2
n10594,2
n10595,3
n10596,3
n10597,3
n10598,3
n10599,5
n1060,117
n10600,5
n10601,7
n10602,10
n10603,13
n10604,19
n10605,28
n10606,35
n10607,44
n10608,53
n10609,67
n10610,83
n10611,114
n10679,1
n10680,1
n10681,1
n10682,1
n10683,1
n10684,2
n10685,4
n10686,4
n10687,8
n10688,11
n10689,14
n10690,18
n10691,21
n10692,29
n10693,39
n10694,56
n10695,64
n10696,76
n10697,107
n10762,1
n10763,1
n10764,1
n10765,2
n10766,3
n10767,3
n10768,4
n10769,4
n10770,6
n10771,6
n10772,7
n10773,9
n10774,12
n10775,16
n10776,19
n10777,24
n10778,27
n10779,41
n10780,50
n10781,61
n10782,78
n10783,111
n10848,1
n10849,1
n10850,1
n10851,1
n10852,1
n10853,1
n10854,1
n10855,2
n10856,2
n10857,4
n10858,7
n10859,9
n10860,11
n10861,15
n10862,18
n10863,22
n10864,28
n10865,36
n10866,43
n10867,53
n10868,67
n10869,105
n10940,1
n10941,2
n10942,2
n10943,4
n10944,5
n10945,8
n10946,11
n10947,12
n10948,18
n10949,22
n10950,32
n10951,39
n10952,46
n10953,62
n10954,75
n10955,110
n11018,1
n11019,1
n11020,1
n11021,2
n11022,2
n11023,2
n11024,3
n11025,3
n11026,4
n11027,4
n11028,5
n11029,6
n11030,9
n11031,11
n11032,12
n11033,14
n11034,15
n11035,25
n11036,30
n11037,37
n11038,49
n11039,68
n11040,88
n11041,115
n11111,2
n11112,2
n11113,3
n11114,6
n11115,6
n11116,8
n11117,12
n11118,14
n11119,17
n11120,19
n11121,26
n11122,29
n11123,38
n11124,48
n11125,68
n11126,87
n11127,113
n11197,1
n11198,1
n11199,4
n11200,5
n11201,8
n11202,9
n11203,10
n11204,12
n11205,15
n11206,22
n11207,23
n11208,27
n11209,39
n11210,48
n11211,64
n11212,84
n11213,108
n11277,1
n11278,1
n11279,1
n11280,2
n11281,2
n11282,3
n11283,3
n11284,3
n11285,4
n11286,6
n11287,8
n11288,8
n11289,9
n11290,9
n11291,14
n11292,16
n11293,21
n11294,28
n11295,41
n11296,57
n11297,70
n11298,82
n11299,115
n11367,2
n11368,2
n11369,3
n11370,4
n11371,4
n11372,5
n11373,9
n11374,10
n11375,11
n11376,11
n11377,14
n11378,17
n11379,23
n11380,26
n11381,43
n11382,59
n11383,70
n11384,83
n11385,116
n11453,1
n11454,1
n11455,3
n11456,4
n11457,7
n11458,7
n11459,7
n11460,9
n11461,11
n11462,15
n11463,16
n11464,19
n11465,25
n11466,30
n11467,38
n11468,49
n11469,63
n11470,80
n11471,113
n11538,1
n11539,1
n11540,1
n11541,2
n11542,5
n11543,6
n11544,6
n11545,7
n11546,7
n11547,11
n11548,12
n11549,14
n11550,18
n11551,27
n11552,35
n11553,42
n11554,51
n11555,69
n11556,83
n11557,114
n11623,2
n11624,2
n11625,3
n11626,4
n11627,4
n11628,4
n11629,5
n11630,6
n11631,7
n11632,7
n11633,10
n11634,11
n11635,15
n11636,18
n11637,26
n11638,34
n11639,41
n11640,48
n11641,62
n11642,82
n11643,111
n11711,1
n11712,2
n11713,3
n11714,3
n11715,3
n11716,4
n11717,5
n11718,7
n11719,7
n11720,8
n11721,14
n11722,18
n11723,21
n11724,28
n11725,35
n11726,43
n11727,61
n11728,78
n11729,103
n11794,1
n11795,1
n11796,1
n11797,1
n11798,2
n11799,3
n11800,3
n11801,4
n11802,4
n11803,7
n11804,8
n11805,9
n11806,9
n11807,13
n11808,20
n11809,23
n11810,30
n11811,40
n11812,47
n11813,69
n11814,80
n11815,110
n11879,2
n11880,2
n11881,2
n11882,3
n11883,3
n11884,3
n11885,3
n11886,3
n11887,3
n11888,3
n11889,5
n11890,6
n11891,9
n11892,10
n11893,13
n11894,17
n11895,23
n11896,27
n11897,34
n11898,44
n11899,63
n11900,73
n11901,110
n11968,1
n11969,1
n11970,1
n11971,1
n11972,2
n11973,2
n11974,3
n11975,3
n11976,4
n11977,5
n11978,6
n11979,7
n11980,13
n11981,18
n11982,23
n11983,35
n11984,48
n11985,60
n11986,77
n11987,104
n12050,1
n12051,1
n12052,1
n12053,1
n12054,2
n12055,3
n12056,3
n12057,4
n12058,4
n12059,5
n12060,5
n12061,6
n12062,6
n12063,9
n12064,13
n12065,15
n12066,20
n12067,26
n12068,30
n12069,44
n12070,50
n12071,68
n12072,77
n12073,108
n12135,2
n12136,2
n12137,2
n12138,2
n12139,2
n12140,2
n12141,2
n12142,2
n12143,2
n12144,2
n12145,3
n12146,4
n12147,5
n12148,6
n12149,9
n12150,10
n12151,13
n12152,15
n12153,20
n12154,27
n12155,37
n12156,45
n12157,60
n12158,81
n12159,106
n1293,2
n1297,2
n1301,2
n1305,2
n1309,2
n1313,2
n1317,2
n1321,2
n1325,2
n1329,2
n1333,3
n1337,4
n1341,5
n1345,6
n1349,8
n1353,8
n1357,10
n1361,11
n1365,16
n1369,21
n1373,29
n1377,32
n1381,43
n1385,57
n1389,77
n1393,95
n1397,117
n1467,1
n1468,1
n1469,1
n1470,2
n1471,2
n1472,3
n1473,6
n1474,8
n1475,9
n1476,12
n1477,19
n1478,24
n1479,33
n1480,44
n1481,51
n1482,67
n1485,82
n1487,119
n1551,1
n1552,2
n1553,2
n1554,2
n1555,2
n1556,2
n1557,2
n1558,3
n1559,3
n1560,4
n1561,7
n1562,9
n1563,12
n1564,13
n1565,15
n1566,19
n1567,21
n1568,27
n1569,31
n1570,42
n1571,51
n1572,67
n1575,75
n1577,109
n1636,1
n1637,1
n1638,1
n1639,1
n1640,1
n1641,1
n1642,1
n1643,1
n1644,1
n1645,1
n1646,2
n1647,2
n1648,3
n1649,3
n1650,4
n1651,4
n1652,6
n1653,6
n1654,9
n1655,12
n1656,15
n1657,17
n1658,23
n1659,30
n1660,45
n1661,58
n1662,66
n1664,77
n1665,110
n1738,1
n1739,2
n1740,3
n1741,6
n1742,11
n1743,13
n1744,19
n1745,27
n1746,32
n1747,42
n1748,52
n1749,70
n1751,84
n1752,120
n1814,1
n1815,1
n1816,1
n1817,1
n1818,1
n1819,1
n1820,2
n1821,2
n1822,3
n1823,5
n1824,6
n1825,8
n1826,8
n1827,9
n1828,12
n1829,14
n1830,17
n1831,20
n1832,27
n1833,32
n1834,42
n1835,48
n1836,68
n1838,82
n1839,115
n1909,1
n1910,1
n1911,3
n1912,3
n1913,5
n1914,6
n1915,8
n1916,9
n1917,14
n1918,18
n1919,26
n1920,34
n1921,42
n1922,50
n1923,67
n1924,86
n1925,109
n1996,1
n1997,1
n1998,2
n1999,4
n2000,5
n2001,7
n2002,10
n2003,14
n2004,17
n2005,24
n2006,31
n2007,43
n2008,51
n2009,71
n2010,84
n2011,113
n2080,2
n2081,3
n2082,4
n2083,4
n2084,4
n2085,6
n2086,7
n2087,9
n2088,10
n2089,16
n2090,18
n2091,22
n2092,26
n2093,38
n2094,47
n2095,66
n2096,73
n2097,103
n2165,1
n2166,1
n2167,2
n2168,2
n2169,3
n2170,4
n2171,6
n2172,6
n2173,8
n2174,11
n2175,16
n2176,22
n2177,26
n2178,31
n2179,39
n2180,52
n2181,68
n2182,84
n2183,108
n2252,1
n2253,1
n2254,2
n2255,3
n2256,4
n2257,5
n2258,6
n2259,8
n2260,9
n2261,14
n2262,20
n2263,27
n2264,32
n2265,44
n2266,53
n2267,69
n2268,86
n2269,107
n2336,2
n2337,3
n2338,4
n2339,4
n2340,4
n2341,5
n2342,5
n2343,6
n2344,6
n2345,8
n2346,8
n2347,9
n2348,12
n2349,19
n2350,23
n2351,34
n2352,38
n2353,58
n2354,77
n2355,106
n2423,1
n2424,1
n2425,2
n2426,2
n2427,3
n2428,3
n2429,5
n2430,6
n2431,8
n2432,9
n2433,11
n2434,13
n2435,18
n2436,24
n2437,37
n2438,46
n2439,63
n2440,73
n2441,99
n2511,1
n2512,2
n2513,4
n2514,5
n2515,7
n2516,8
n2517,9
n2518,12
n2519,16
n2520,20
n2521,25
n2522,32
n2523,43
n2524,57
n2525,72
n2526,81
n2527,108
n2592,1
n2593,2
n2594,3
n2595,3
n2596,3
n2597,4
n2598,4
n2599,4
n2600,4
n2601,5
n2602,5
n2603,6
n2604,9
n2605,13
n2606,16
n2607,23
n2608,26
n2609,37
n2610,48
n2611,66
n2612,77
n2613,112
n2679,1
n2680,1
n2681,2
n2682,2
n2683,2
n2684,2
n2685,3
n2686,4
n2687,4
n2688,6
n2689,7
n2690,9
n2691,11
n2692,15
n2693,19
n2694,25
n2695,37
n2696,46
n2697,60
n2698,83
n2699,109
n2767,1
n2768,2
n2769,3
n2770,4
n2771,5
n2772,5
n2773,6
n2774,8
n2775,8
n2776,8
n2777,10
n2778,14
n2779,20
n2780,29
n2781,40
n2782,44
n2783,61
n2784,78
n2785,110
n2848,1
n2849,2
n2850,3
n2851,3
n2852,3
n2853,3
n2854,3
n2855,3
n2856,3
n2857,4
n2858,4
n2859,5
n2860,7
n2861,11
n2862,12
n2863,18
n2864,18
n2865,20
n2866,26
n2867,35
n2868,42
n2869,59
n2870,73
n2871,107
n2935,1
n2936,1
n2937,1
n2938,1
n2939,1
n2940,1
n2941,2
n2942,3
n2943,3
n2944,4
n2945,5
n2946,5
n2947,6
n2948,8
n2949,11
n2950,14
n2951,24
n2952,27
n2953,35
n2954,49
n2955,69
n2956,85
n2957,117
n3023,1
n3024,2
n3025,2
n3026,2
n3027,2
n3028,3
n3029,3
n3030,5
n3031,5
n3032,6
n3033,8
n3034,10
n3035,13
n3036,20
n3037,28
n3038,32
n3039,41
n3040,53
n3041,68
n3042,80
n3043,110
n3104,1
n3105,2
n3106,2
n3107,2
n3108,2
n3109,2
n3110,2
n3111,2
n3112,2
n3113,3
n3114,3
n3115,3
n3116,3
n3117,6
n3118,6
n3119,11
n3120,11
n3121,13
n3122,16
n3123,23
n3124,28
n3125,37
n3126,48
n3127,63
n3128,81
n3129,111
n3197,1
n3198,2
n3199,2
n3200,2
n3201,3
n3202,3
n3203,3
n3204,5
n3205,7
n3206,9
n3207,15
n3208,16
n3209,22
n3210,30
n3211,43
n3212,54
n3213,71
n3214,88
n3215,115
n3279,1
n3280,1
n3281,1
n3282,1
n3283,1
n3284,1
n3285,1
n3286,3
n3287,3
n3288,3
n3289,4
n3290,6
n3291,7
n3292,11
n3293,16
n3294,18
n3295,26
n3296,32
n3297,41
n3298,49
n3299,63
n3300,75
n3301,108
n3360,1
n3361,2
n3362,2
n3363,2
n3364,2
n3365,3
n3366,3
n3367,3
n3368,3
n3369,4
n3370,4
n3371,4
n3372,4
n3373,6
n3374,7
n3375,8
n3376,8
n3377,8
n3378,9
n3379,12
n3380,17
n3381,22
n3382,29
n3383,37
n3384,47
n3385,62
n3386,73
n3387,115
n3453,1
n3454,1
n3455,1
n3456,1
n3457,1
n3458,1
n3459,1
n3460,2
n3461,3
n3462,4
n3463,7
n3464,8
n3465,12
n3466,17
n3467,29
n3468,36
n3469,50
n3470,57
n3471,67
n3472,80
n3473,116
n3542,1
n3543,1
n3544,1
n3545,1
n3546,2
n3547,2
n3548,6
n3549,9
n3550,10
n3551,15
n3552,19
n3553,25
n3554,28
n3555,39
n3556,47
n3557,62
n3558,87
n3559,117
n3617,1
n3618,1
n3619,1
n3620,1
n3621,2
