node,count
n1002,1
n1008,4
n1009,3
n1010,3
n1011,27
n1012,25
n1013,26
n1014,1
n1016,1
n1017,1
n1018,2
n1019,2
n1020,1
n1023,1
n1024,4
n1025,2
n1028,1
n1029,1
n1030,1
n1036,2
n1037,2
n1038,2
n1048,2
n1049,2
n1050,2
n1058,2
n1061,2
n1062,2
n1063,2
n1064,25
n1065,24
n1066,1
n1067,1
n1068,3
n1069,1
n1070,1
n1071,1
n1072,1
n1073,2
n1074,1
n1075,1
n1076,2
n1077,1
n1078,3
n1079,1
n1082,1
n1083,1
n1088,1
n1089,1
n1090,1
n1091,2
n1092,1
n1093,1
n1094,1
n1095,1
n1096,4
n1097,2
n1098,3
n1099,1
n1100,2
n1101,4
n1102,1
n1103,2
n1104,2
n1105,2
n1106,2
n1107,2
n1108,2
n1109,2
n1110,2
n1111,2
n1112,2
n1113,3
n1114,2
n1115,2
n1116,26
n1117,23
n1118,25
n1119,64
n1120,88
n1128,1
n1130,1
n1132,1
n1136,1
n1145,1
n1150,1
n1152,1
n1153,1
n1156,23
n1157,23
n1164,1
n1165,1
n1173,1
n1174,1
n1175,1
n1176,1
n1177,1
n1178,2
n1179,1
n1180,2
n1181,3
n1182,1
n1186,1
n1188,1
n1189,1
n1190,1
n1191,1
n1192,24
n1193,24
n1194,25
n1197,1
n1199,1
n1200,1
n1201,2
n1203,1
n1205,1
n1208,1
n1209,2
n1218,3
n1223,1
n1225,1
n1226,2
n1229,23
n1230,23
n1231,1
n1233,1
n1236,1
n1237,3
n1241,1
n1245,5
n1252,1
n1253,1
n1254,2
n1256,1
n1258,1
n1262,2
n1265,23
n1266,23
n1267,25
n1268,64
n1269,105
n1274,2
n1275,2
n1276,3
n1277,3
n1278,1
n1280,1
n1281,2
n1283,2
n1284,5
n1285,3
n1286,3
n1287,1
n1288,2
n1289,2
n1290,1
n1291,1
n1292,1
n1293,4
n1294,3
n1296,2
n1297,2
n1301,4
n1302,3
n1303,3
n1304,26
n1305,24
n1308,1
n1312,2
n1313,2
n1320,2
n1321,2
n1322,2
n1323,1
n1324,1
n1325,2
n1329,4
n1330,2
n1333,1
n1337,2
n1338,2
n1339,2
n1340,25
n1341,25
n1342,26
n1346,1
n1348,1
n1349,3
n1350,2
n1354,2
n1356,2
n1357,3
n1358,2
n1359,2
n1361,1
n1362,1
n1366,6
n1367,2
n1370,1
n1372,1
n1373,1
n1374,4
n1375,2
n1376,2
n1377,25
n1378,23
n1379,1
n1380,2
n1381,4
n1382,1
n1383,1
n1384,1
n1385,5
n1386,1
n1389,1
n1393,4
n1394,1
n1395,1
n1399,1
n1401,1
n1402,1
n1403,1
n1405,1
n1406,1
n1409,1
n1410,2
n1411,1
n1412,1
n1413,24
n1414,24
n1415,25
n1416,64
n1417,87
n1419,2
n1420,1
n1421,2
n1422,1
n1423,1
n1424,2
n1425,4
n1426,3
n1432,1
n1433,5
n1434,2
n1435,4
n1436,1
n1437,2
n1438,3
n1439,1
n1440,1
n1441,1
n1442,5
n1443,3
n1445,2
n1446,2
n1448,1
n1449,1
n1450,5
n1451,2
n1452,3
n1453,28
n1454,25
n1455,1
n1456,1
n1457,1
n1458,1
n1459,2
n1460,2
n1461,5
n1462,2
n1467,3
n1468,3
n1469,6
n1470,1
n1471,2
n1472,1
n1474,1
n1478,5
n1479,1
n1480,2
n1481,2
n1482,2
n1483,2
n1484,2
n1485,2
n1486,8
n1487,3
n1488,3
n1489,27
n1490,25
n1491,26
n1497,1
n1498,3
n1499,2
n1500,1
n1502,1
n1506,3
n1507,2
n1508,2
n1509,1
n1510,1
n1511,1
n1512,1
n1513,2
n1514,3
n1515,5
n1516,3
n1518,1
n1519,2
n1522,1
n1523,4
n1524,2
n1525,3
n1526,26
n1527,26
n1528,1
n1529,2
n1530,2
n1531,1
n1532,1
n1533,2
n1534,7
n1535,3
n1536,2
n1538,2
n1539,1
n1541,1
n1542,8
n1543,2
n1544,3
n1549,1
n1550,1
n1551,7
n1552,2
n1553,1
n1554,2
n1555,2
n1556,1
n1557,3
n1558,3
n1559,9
n1560,2
n1561,2
n1562,26
n1563,25
n1564,27
n1565,64
n1566,105
n1571,1
n1572,1
n1573,4
n1574,1
n1575,1
n1576,1
n1577,1
n1578,1
n1579,1
n1580,2
n1581,4
n1582,1
n1583,1
n1584,1
n1585,1
n1586,2
n1587,1
n1588,1
n1589,1
n1590,2
n1591,1
n1592,1
n1594,1
n1598,2
n1599,1
n1600,2
n1601,25
n1602,23
n1603,1
n1604,1
n1605,1
n1606,1
n1607,1
n1608,1
n1609,4
n1610,3
n1617,3
n1618,3
n1619,3
n1621,2
n1622,3
n1626,4
n1627,3
n1634,3
n1635,3
n1636,3
n1637,26
n1638,24
n1639,26
n1642,1
n1644,2
n1645,3
n1646,6
n1647,1
n1649,1
n1650,3
n1652,1
n1653,2
n1654,6
n1655,1
n1656,1
n1663,2
n1664,1
n1666,2
n1667,2
n1669,1
n1670,1
n1671,4
n1672,1
n1673,1
n1674,24
n1675,23
n1678,1
n1682,3
n1683,2
n1684,2
n1685,2
n1686,3
n1687,1
n1688,1
n1689,1
n1690,4
n1691,2
n1692,2
n1693,1
n1695,1
n1696,2
n1698,2
n1699,6
n1700,2
n1707,4
n1708,2
n1709,2
n1710,25
n1711,24
n1712,26
n1713,64
n1714,89
n1716,4
n1717,4
n1718,4
n1719,4
n1720,4
n1721,4
n1722,27
n1723,25
n1724,3
n1725,3
n1726,3
n1727,3
n1728,3
n1729,3
n1730,26
n1731,24
n1732,27
n1733,3
n1734,3
n1735,3
n1736,3
n1737,3
n1738,3
n1739,26
n1740,23
n1741,1
n1742,1
n1743,1
n1744,1
n1745,1
n1746,1
n1747,24
n1748,24
n1749,25
n1750,64
n1751,104
n1752,2
n1753,3
