node,count
Cin,128
beqz,128
bgez,128
bltz,128
bnez,128
halt,128
invA,128
invB,128
jump,128
mem_write,128
n100,27
n101,57
n102,116
n103,30
n104,89
n106,69
n107,62
n108,32
n109,66
n110,39
n111,59
n112,69
n113,109
n114,50
n115,96
n117,42
n118,88
n119,65
n120,69
n121,109
n123,12
n124,34
n125,83
n127,82
n128,60
n129,123
n131,45
n132,104
n134,24
n135,69
n136,28
n137,110
n139,35
n140,69
n141,39
n142,69
n143,69
n145,18
n146,18
n147,77
n148,45
n149,27
n150,45
n151,104
n153,69
n154,69
n156,69
n158,17
n159,39
n160,39
n161,69
n162,69
n164,39
n165,69
n166,69
n167,69
n169,39
n170,69
n171,69
n173,39
n174,69
n175,69
n177,69
n179,49
n180,59
n181,30
n182,51
n183,94
n184,36
n185,69
n186,128
n193,30
n194,69
n195,69
n197,35
n198,94
n200,64
n201,35
n202,69
n203,69
n205,39
n206,69
n207,69
n35,6
n36,93
n37,51
n38,18
n39,27
n40,27
n41,86
n42,12
n43,42
n44,87
n45,93
n46,57
n47,63
n48,122
n50,37
n51,41
n52,106
n53,69
n54,66
n55,45
n56,104
n57,53
n58,84
n59,24
n60,36
n61,95
n63,2
n64,22
n65,35
n66,2
n67,32
n68,69
n69,69
n71,1
n72,26
n73,30
n74,39
n75,51
n76,51
n77,110
n78,128
n80,26
n81,17
n82,29
n83,3
n84,32
n85,4
n86,40
n87,44
n88,53
n89,33
n90,35
n91,29
n92,34
n93,59
n94,118
n95,17
n96,39
n97,85
n99,21
reg_write,128
sel_pc_opA,128
sel_pc_opB,128
sel_wb,128
sign,128
