node,count
n1000,76
n10000,8
n10001,60
n10002,60
n10003,82
n10004,128
n10006,43
n1001,93
n10012,13
n10013,36
n10014,47
n10016,6
n10017,6
n10018,6
n10019,80
n10020,71
n10021,122
n10022,16
n10023,23
n10024,3
n10025,8
n10026,5
n10027,8
n10028,8
n10029,9
n1003,2
n10030,20
n10031,14
n10032,7
n10034,2
n10035,2
n10036,2
n10037,2
n10038,2
n10039,6
n1004,8
n10040,3
n10041,4
n10048,4
n1005,8
n10050,3
n10057,3
n10059,5
n1006,61
n10065,1
n10066,5
n10068,2
n1007,102
n10075,2
n1008,60
n1009,5
n10095,1
n1010,11
n10102,1
n1013,3
n1014,49
n1015,76
n1016,55
n1020,6
n1021,9
n1022,9
n1023,37
n1024,46
n1025,46
n1028,9
n1029,20
n1030,23
n1031,23
n1032,69
n1033,43
n1034,53
n1035,53
n1036,119
n1037,8
n1040,2
n1041,2
n1042,4
n1043,10
n1044,12
n1045,12
n1046,2
n1048,2
n1049,2
n1050,2
n10509,2
n1051,5
n10510,2
n10511,3
n10512,3
n10514,11
n10515,14
n10516,18
n10519,5
n1052,3
n10520,5
n10521,6
n10522,27
n10523,6
n10524,80
n10525,87
n10526,95
n10527,128
n1053,6
n10530,89
n10532,75
n10533,3
n10534,18
n10535,15
n10536,18
n10537,18
n10538,26
n10539,50
n1054,7
n10540,88
n10541,12
n10548,7
n10549,8
n1055,4
n10550,4
n10557,2
n10558,5
n10559,4
n10566,2
n10567,3
n10568,3
n10575,1
n10576,2
n10577,5
n1058,1
n10584,1
n10585,4
n10586,2
n1059,1
n10593,2
n10594,2
n1060,2
n1061,2
n10612,1
n10613,1
n1062,3
n10620,1
n10621,1
n1063,3
n1064,4
n1079,1
n1080,1
n1081,1
n11010,1
n11014,1
n11015,1
n11025,2
n11026,2
n11027,3
n11028,3
n11029,3
n11030,5
n11033,1
n11034,3
n11035,3
n11036,2
n11037,2
n11038,2
n11039,3
n11040,4
n11041,2
n11042,2
n11043,2
n11044,3
n11045,5
n11047,1
n11048,3
n11049,3
n11050,11
n11052,54
n11053,60
n11054,72
n11055,89
