node,count
n1000,32
n10000,27
n100000,121
n100001,121
n100002,123
n100003,116
n100004,125
n100005,120
n100006,120
n100007,103
n100008,93
n100009,92
n10001,34
n100010,126
n100011,102
n100012,120
n100013,123
n100014,113
n100015,85
n100016,114
n100017,117
n100018,120
n100019,118
n10002,31
n100020,82
n100021,89
n100022,118
n100023,116
n100024,89
n100025,120
n100026,87
n100027,117
n100028,102
n100029,114
n10003,26
n100030,89
n100031,119
n100032,111
n100033,88
n100034,113
n100035,83
n100036,83
n100037,113
n100038,94
n100039,120
n10004,21
n100040,119
n100041,96
n100042,116
n100043,83
n100044,118
n100045,102
n100046,118
n100047,98
n100048,93
n100049,120
n10005,26
n100050,95
n100051,121
n100052,90
n100053,119
n100054,116
n100055,81
n100056,116
n100057,118
n100058,86
n100059,94
n10006,27
n100060,118
n100061,99
n100062,117
n100063,123
n100064,94
n100065,89
n100066,123
n100067,118
n100068,86
n100069,86
n10007,28
n100070,118
n100071,120
n100072,85
n100073,122
n100074,120
n100075,82
n100076,99
n100077,120
n100078,107
n100079,115
n10008,26
n100080,84
n100081,88
n100082,88
n100083,118
n100084,80
n100085,113
n100086,80
n100087,104
n100088,84
n100089,121
n10009,29
n100090,110
n100091,75
n100092,118
n100093,83
n100094,111
n100095,117
n100096,68
n100097,120
n100098,82
n100099,111
n1001,33
n10010,31
n100100,101
n100101,114
n100102,79
n100103,112
n100104,116
n100105,113
n100106,101
n100107,84
n100108,115
n100109,75
n10011,18
n100110,113
n100111,76
n100112,115
n100113,95
n100114,82
n100115,116
n100116,77
n100117,121
n100118,94
n100119,122
n10012,26
n100120,126
n100121,122
n100122,122
n100123,97
n100124,120
n100125,107
n100126,123
n100127,75
n100128,123
n100129,107
n10013,20
n100130,70
n100131,126
n100132,66
n100133,74
n100134,116
n100135,56
n100136,118
n100137,103
n100138,79
n100139,124
n10014,29
n100140,107
n100141,116
n100142,108
n100143,119
n100144,119
n100145,73
n100146,119
n100147,108
n100148,70
n100149,103
n10015,27
n100150,94
n100151,112
n100152,118
n100153,123
n100154,120
n100155,122
n100156,121
n100157,116
n100158,125
n100159,89
n10016,31
n100160,120
n100161,110
n100162,123
n100163,94
n100164,85
n100165,85
n100166,122
n100167,119
n100168,119
n100169,126
n10017,28
n100170,84
n100171,109
n100172,126
n100173,121
n100174,105
n100175,85
n100176,121
n100177,120
n100178,100
n100179,54
n10018,18
n100180,86
n100181,74
n100182,121
n100183,97
n100184,123
n100185,110
n100186,98
n100187,120
n100188,123
n100189,86
n10019,28
n100190,103
n100191,123
n100192,60
n100193,81
n100194,94
n100195,110
n100196,122
n100197,94
n100198,94
n100199,90
n1002,27
n10020,24
n100200,122
n100201,120
n100202,95
n100203,94
n100204,120
n100205,96
n100206,120
n100207,123
n100208,114
n100209,101
n10021,28
n100210,110
n100211,106
n100212,81
n100213,118
n100214,125
n100215,90
n100216,102
n100217,125
n100218,105
n100219,88
n10022,25
n100220,124
n100221,122
n100222,105
n100223,122
n100224,71
n100225,67
n100226,90
n100227,87
n100228,115
n100229,122
n10023,28
n100230,117
n100231,123
n100232,123
n100233,101
n100234,93
n100235,123
n100236,67
n100237,88
n100238,91
n100239,110
n10024,23
n100240,125
n100241,91
n100242,89
n100243,96
n100244,115
n100245,68
n100246,70
n100247,90
n100248,93
n100249,117
n10025,28
n100250,120
n100251,82
n100252,125
n100253,122
n100254,103
n100255,121
n100256,80
n100257,122
n100258,110
n100259,120
n10026,27
n100260,120
n100261,89
n100262,98
n100263,120
n100264,124
n100265,101
n100266,79
n100267,124
n100268,123
n100269,89
n10027,21
n100270,118
n100271,60
n100272,64
n100273,81
n100274,95
n100275,111
n100276,122
n100277,105
n100278,120
n100279,126
n10028,23
n100280,95
n100281,108
n100282,126
n100283,125
n100284,93
n100285,102
n100286,125
n100287,120
n100288,119
n100289,102
n10029,28
n100290,83
n100291,119
n100292,102
n100293,106
n100294,116
n100295,96
n100296,100
n100297,120
n100298,117
n100299,90
n1003,24
n10030,25
n100300,98
n100301,117
n100302,123
n100303,97
n100304,101
n100305,123
n100306,126
n100307,125
n100308,96
n100309,100
n10031,34
n100310,125
n100311,97
n100312,96
n100313,125
n100314,123
n100315,121
n100316,122
n100317,80
n100318,116
n100319,103
n10032,34
n100320,115
n100321,113
n100322,117
n100323,106
n100324,108
n100325,88
n100326,112
n100327,117
n100328,119
n100329,114
n10033,34
n100330,116
n100331,85
n100332,94
n100333,101
n100334,89
n100335,109
n100336,102
n100337,82
n100338,78
n100339,102
n10034,34
n100340,113
n100341,113
n100342,99
n100343,117
n100344,119
n100345,119
n100346,101
n100347,119
n100348,108
n100349,82
n10035,33
n100350,121
n100351,84
n100352,120
n100353,102
n100354,121
n100355,111
n100356,83
n100357,117
n100358,95
n100359,122
n10036,33
n100360,98
n100361,116
n100362,117
n100363,82
n100364,86
n100365,114
n100366,84
n100367,126
n100368,91
n100369,122
n10037,27
n100370,109
n100371,103
n100372,64
n100373,99
n100374,108
n100375,119
n100376,122
n100377,123
n100378,102
n100379,61
n10038,33
n100380,123
n100381,97
n100382,114
n100383,118
n100384,115
n100385,123
n100386,106
n100387,87
n100388,121
n100389,123
n10039,30
n100390,59
n100391,127
n100392,112
n100393,113
n100394,124
n100395,123
n100396,125
n100397,122
n100398,74
n100399,124
n1004,34
n10040,34
n100400,90
n100401,115
n100402,112
n100403,123
n100404,126
n100405,67
n100406,122
n100407,101
n100408,93
n100409,117
n10041,28
n100410,112
n100411,121
n100412,109
n100413,96
n100414,118
n100415,118
n100416,65
n100417,122
n100418,96
n100419,117
n10042,34
n100420,120
n100421,123
n100422,123
n100423,127
n100424,90
n100425,106
n100426,125
n100427,102
n100428,73
n100429,126
n10043,34
n100430,109
n100431,114
n100432,113
n100433,124
n100434,125
n100435,61
n100436,122
n100437,106
n100438,116
n100439,116
n10044,24
n100440,123
n100441,116
n100442,90
n100443,123
n100444,31
n100445,66
n100446,124
n100447,86
n100448,114
n100449,107
n10045,34
n100450,117
n100451,125
n100452,122
n100453,119
n100454,127
n100455,115
n100456,73
n100457,94
n100458,115
n100459,111
n10046,21
n100460,121
n100461,105
n100462,65
n100463,122
n100464,93
n100465,103
n100466,119
n100467,118
n100468,121
n100469,124
n10047,34
n100470,94
n100471,127
n100472,101
n100473,60
n100474,115
n100475,60
n100476,67
n100477,56
n100478,117
n100479,125
n10048,30
n100480,118
n100481,107
n100482,113
n100483,71
n100484,123
n100485,125
n100486,66
n100487,121
n100488,98
n100489,100
n10049,34
n100490,117
n100491,114
n100492,119
n100493,123
n100494,88
n100495,70
n100496,88
n100497,91
n100498,110
n100499,123
n1005,30
n10050,25
n100500,87
n100501,124
n100502,115
n100503,79
n100504,120
n100505,106
n100506,66
n100507,99
n100508,87
n100509,61
n10051,34
n100510,72
n100511,36
n100512,62
n100513,125
n100514,19
n100515,74
n100516,122
n100517,93
n100518,97
n100519,117
n10052,32
n100520,120
n100521,123
n100522,123
n100523,69
n100524,122
n100525,124
n100526,121
n100527,75
n100528,122
n100529,116
n10053,27
n100530,114
n100531,123
n100532,123
n100533,122
n100534,121
n100535,125
n100536,120
n100537,99
n100538,121
n100539,124
n10054,21
n100540,88
n100541,96
n100542,124
n100543,110
n100544,119
n100545,91
n100546,122
n100547,124
n100548,123
n100549,82
n10055,34
n100550,117
n100551,114
n100552,80
n100553,116
n100554,91
n100555,120
n100556,93
n100557,115
n100558,89
n100559,118
n10056,21
n100560,115
n100561,83
n100562,81
n100563,111
n100564,95
n100565,96
n100566,118
n100567,119
n100568,81
n100569,109
n10057,32
n100570,75
n100571,109
n100572,94
n100573,120
n100574,85
n100575,116
n100576,93
n100577,81
n100578,109
n100579,71
n10058,31
n100580,112
n100581,77
n100582,115
n100583,95
n100584,97
n100585,121
n100586,120
n100587,99
n100588,86
n100589,120
n10059,33
n100590,96
n100591,84
n100592,97
n100593,123
n100594,124
n100595,93
n100596,101
n100597,124
n100598,123
n100599,124
n1006,33
n10060,34
n100600,121
n100601,85
n100602,125
n100603,84
n100604,122
n100605,109
n100606,121
n100607,80
n100608,118
n100609,107
n10061,21
n100610,89
n100611,118
n100612,100
n100613,125
n100614,125
n100615,79
n100616,98
n100617,125
n100618,121
n100619,125
n10062,34
n100620,76
n100621,98
n100622,125
n100623,90
n100624,124
n100625,109
n100626,127
n100627,87
n100628,119
n100629,121
n10063,24
n100630,79
n100631,122
n100632,84
n100633,122
n100634,107
n100635,118
n100636,117
n100637,109
n100638,105
n100639,68
n10064,25
n100640,113
n100641,75
n100642,114
n100643,81
n100644,116
n100645,99
n100646,90
n100647,113
n100648,88
n100649,123
n10065,32
n100650,121
n100651,60
n100652,118
n100653,92
n100654,121
n100655,100
n100656,120
n100657,91
n100658,124
n100659,106
n10066,32
n100660,70
n100661,125
n100662,111
n100663,120
n100664,120
n100665,123
n100666,104
n100667,74
n100668,121
n100669,104
n10067,34
n100670,113
n100671,110
n100672,113
n100673,100
n100674,98
n100675,123
n100676,110
n100677,67
n100678,125
n100679,105
n10068,28
n100680,112
n100681,115
n100682,123
n100683,121
n100684,120
n100685,123
n100686,89
n100687,121
n100688,83
n100689,118
n10069,27
n100690,101
n100691,121
n100692,92
n100693,87
n100694,86
n100695,121
n100696,119
n100697,120
n100698,122
n100699,108
n1007,32
n10070,33
n100700,92
n100701,122
n100702,72
n100703,79
n100704,90
n100705,114
n100706,121
n100707,87
n100708,82
n100709,99
n10071,29
n100710,125
n100711,72
n100712,69
n100713,81
n100714,83
n100715,107
n100716,120
n100717,82
n100718,119
n100719,107
n10072,23
n100720,79
n100721,124
n100722,126
n100723,90
n100724,99
n100725,126
n100726,124
n100727,103
n100728,86
n100729,124
n10073,34
n100730,124
n100731,125
n100732,106
n100733,79
n100734,125
n100735,93
n100736,95
n100737,124
n100738,122
n100739,119
n10074,25
n100740,104
n100741,123
n100742,96
n100743,123
n100744,106
n100745,124
n100746,125
n100747,121
n100748,107
n100749,85
n10075,24
n100750,121
n100751,64
n100752,82
n100753,90
n100754,109
n100755,122
n100756,121
n100757,82
n100758,120
n100759,104
n10076,32
n100760,85
n100761,120
n100762,80
n100763,122
n100764,103
n100765,97
n100766,124
n100767,120
n100768,105
n100769,96
n10077,31
n100770,120
n100771,71
n100772,119
n100773,114
n100774,104
n100775,77
n100776,119
n100777,104
n100778,111
n100779,109
n10078,33
n100780,125
n100781,99
n100782,68
n100783,122
n100784,95
n100785,110
n100786,113
n100787,113
n100788,121
n100789,106
n10079,34
n100790,91
n100791,121
n100792,107
n100793,70
n100794,122
n100795,106
n100796,87
n100797,113
n100798,116
n100799,126
n1008,33
n10080,33
n100800,123
n100801,105
n100802,75
n100803,122
n100804,123
n100805,121
n100806,119
n100807,116
n100808,120
n100809,83
n10081,30
n100810,99
n100811,120
n100812,66
n100813,84
n100814,88
n100815,109
n100816,125
n100817,96
n100818,97
n100819,92
n10082,17
n100820,126
n100821,72
n100822,87
n100823,88
n100824,116
n100825,121
n100826,81
n100827,124
n100828,121
n100829,86
n10083,34
n100830,106
n100831,121
n100832,122
n100833,102
n100834,90
n100835,122
n100836,120
n100837,118
n100838,104
n100839,83
n10084,30
n100840,118
n100841,98
n100842,96
n100843,118
n100844,90
n100845,99
n100846,124
n100847,120
n100848,82
n100849,104
n10085,33
n100850,120
n100851,109
n100852,83
n100853,99
n100854,109
n100855,117
n100856,119
n100857,88
n100858,97
n100859,119
n10086,33
n100860,98
n100861,98
n100862,125
n100863,127
n100864,123
n100865,124
n100866,84
n100867,123
n100868,105
n100869,120
n10087,34
n100870,111
n100871,119
n100872,99
n100873,124
n100874,119
n100875,111
n100876,80
n100877,108
n100878,108
n100879,113
n10088,34
n100880,111
n100881,101
n100882,82
n100883,110
n100884,96
n100885,87
n100886,113
n100887,92
n100888,84
n100889,113
n10089,18
n100890,86
n100891,104
n100892,117
n100893,114
n100894,113
n100895,95
n100896,91
n100897,113
n100898,118
n100899,97
n1009,31
n10090,34
n100900,117
n100901,77
n100902,116
n100903,106
n100904,116
n100905,88
n100906,118
n100907,114
n100908,81
n100909,116
n10091,28
n100910,78
n100911,109
n100912,97
n100913,117
n100914,82
n100915,108
n100916,115
n100917,77
n100918,113
n100919,92
n10092,32
n100920,111
n100921,84
n100922,122
n100923,86
n100924,123
n100925,101
n100926,83
n100927,123
n100928,119
n100929,75
n10093,32
n100930,93
n100931,93
n100932,114
n100933,110
n100934,116
n100935,126
n100936,65
n100937,125
n100938,87
n100939,95
n10094,34
n100940,111
n100941,115
