node,count
n1000,55
n1001,37
n1002,40
n1003,55
n1004,55
n1005,113
n1018,18
n1019,44
n1020,34
n1021,56
n1022,67
n1023,67
n1024,63
n1026,3
n1027,25
n1028,20
n1029,45
n1030,23
n1031,39
n1032,55
n1033,57
n1034,113
n1036,1
n1037,1
n1038,1
n1039,1
n1040,4
n1044,6
n1045,7
n1046,15
n1048,53
n1049,21
n1050,38
n1051,52
n1052,53
n1053,107
n1055,1
n1056,1
n1057,1
n1058,1
n1061,1
n1062,2
n1064,52
n1065,27
n1066,41
n1067,52
n1068,110
n1072,4
n1076,2
n1077,2
n1078,11
n1080,33
n1081,52
n1082,36
n1083,52
n1084,52
n1085,110
n1087,2
n1100,4
n1101,23
n1102,29
n1103,34
n1104,51
n1107,5
n1108,5
n1109,1
n1110,1
n1111,3
n1112,5
n1113,5
n1114,9
n1115,4
n1116,9
n1117,75
n1119,51
n1120,1
n1121,14
n1122,29
n1123,50
n1124,51
n1125,104
n1134,1
n1136,28
n1137,39
n1138,75
n1140,45
n1141,11
n1142,75
n1144,1
n1149,2
n1150,5
n1151,5
n1152,5
n1153,8
n1154,15
n1155,70
n1157,33
n1158,59
n1159,75
n1162,82
n1164,1
n1165,1
n1166,1
n1167,1
n1168,3
n1169,4
n1172,2
n1173,3
n1174,10
n1175,26
n1176,12
n1177,14
n1178,18
n1179,15
n1180,20
n1181,34
n1182,15
n1183,34
n1184,41
n1185,70
n1187,6
n1189,2
n1190,3
n1191,5
n1192,7
n1193,5
n1194,9
n1195,22
n1196,4
n1197,18
n1198,22
n1199,38
n1200,13
n1201,35
n1202,41
n1203,70
n1205,10
n1207,1
n1208,9
n1209,10
n1210,15
n1211,36
n1212,68
n1215,5
n1216,5
n1217,5
n1218,9
n1219,2
n1220,4
n1221,9
n1222,13
n1223,5
n1224,1
n1225,8
n1226,13
n1227,18
n1228,2
n1229,13
n1230,18
n1231,41
n1232,36
n1233,41
n1234,70
n1236,90
n1237,120
n1238,116
n1240,24
n1241,53
n1243,2
n1244,6
n1245,48
n1246,97
n1247,68
n1248,62
n1249,72
n1250,26
n1251,57
n1252,75
n1253,75
n1255,61
n1256,26
n1257,75
n1258,75
n1260,60
n1261,26
n1262,75
n1263,75
n1265,59
n1266,26
n1267,75
n1268,75
n1270,26
n1271,75
n1272,37
n1273,72
n1274,75
n1276,40
n1277,73
n1278,75
n1280,62
n1281,26
