node,count
n100,3
n102,1
n103,7
n104,1
n105,2
n106,4
n107,5
n109,4
n110,5
n111,7
n115,3
n116,7
n117,7
n120,4
n121,7
n122,19
n123,43
n126,1
n127,1
n128,1
n129,2
n137,1
n138,2
n139,3
n140,18
n141,42
n143,1
n144,26
n145,42
n169,5
n172,1
n173,2
n174,2
n175,2
n176,2
n177,4
n178,8
n179,7
n180,1
n182,1
n183,1
n184,1
n185,1
n186,3
n187,3
n188,3
n189,4
n190,17
n191,24
n192,2
n194,7
n195,11
n196,25
n197,35
n20,4
n202,10
n203,13
n204,4
n205,12
n206,12
n207,23
n208,27
n210,2
n211,3
n212,5
n213,16
n214,7
n215,17
n216,18
n217,28
n218,48
n220,3
n222,1
n224,1
n225,1
n226,1
n227,3
n228,1
n237,1
n238,3
n239,14
n242,1
n243,1
n244,1
n245,5
n246,15
n247,5
n248,15
n249,16
n250,50
n252,3
n253,20
n254,2
n255,5
n256,1
n257,4
n258,21
n259,21
n260,43
n261,8
n262,1
n263,24
n264,44
n265,84
n266,4
n267,4
n268,5
n269,16
n270,36
n271,16
n272,38
n274,1
n275,10
n276,21
n277,30
n28,2
n30,2
n44,6
n45,12
n46,1
n53,37
n58,1
n59,4
n60,5
n61,7
n62,30
n63,45
n64,1
n65,1
n66,1
n67,3
n68,5
n69,5
n70,13
n71,8
n72,10
n73,13
n74,25
n75,21
n76,29
n77,39
n93,2
n99,3
