node,count
n10003,5
n10004,21
n10005,21
n10006,27
n10007,22
n10008,16
n10009,11
n10010,24
n10011,26
n10012,8
n10013,15
n10014,15
n10015,26
n10016,20
n10017,14
n10018,18
n10019,1
n10023,11
n10025,14
n10026,11
n10027,21
n10028,11
n10029,11
n10030,10
n10031,23
n10032,4
n10037,4
n10039,9
n10040,4
n10041,27
n10042,4
n10043,4
n10044,10
n10049,6
n10050,9
n10051,9
n10052,23
n10053,1
n10054,11
n10055,1
n10056,10
n10057,12
n10058,1
n10059,1
n10060,7
n10061,1
n10066,4
n10067,12
n10068,12
n10069,3
n10070,2
n10071,19
n10072,2
n10073,26
n10074,1
n10075,1
n10076,1
n10077,25
n10078,9
n10079,23
n10084,4
n10085,7
n10086,7
n10087,9
n10088,14
n10089,9
n10090,7
n10091,27
n10092,19
n10093,29
n10094,23
n10095,17
n10096,4
n10097,17
n10098,10
n10099,15
n101,8
n1010,1
n10104,14
n10106,23
n10107,14
n10108,18
n10109,14
n10110,14
n10111,26
n10112,10
n10113,15
n10118,15
n10120,10
n10121,15
n10122,2
n10123,15
n10124,15
n10125,24
n10126,7
n10127,13
n10128,1
n10132,15
n10134,11
n10135,15
n10136,4
n10137,15
n10138,15
n10139,30
n10144,1
n10145,8
n10146,8
n10147,8
n10148,11
n10149,2
n10150,12
n10151,5
n10152,5
n10153,15
n10154,18
n10155,1
n10156,19
n10161,1
n10162,5
n10163,5
n10164,7
n10165,17
n10166,5
n10167,20
n10168,17
n10169,20
n10170,26
n10171,26
n10172,10
n10173,2
n10174,10
n10180,1
n10181,1
n10182,4
n10183,7
n10184,1
n10185,8
n10186,13
n10187,12
n10188,16
n10189,16
n10190,5
n10191,2
n10192,5
n10193,3
n10194,12
n10199,16
n10201,13
n10202,16
n10203,5
n10204,16
n10205,16
n10206,18
n10207,4
n10208,8
n10213,7
n10215,6
n10216,7
n10217,3
n10218,7
n10219,7
n10220,4
n10221,2
n10222,3
n10227,6
n10229,6
n10230,6
n10231,3
n10232,6
n10233,6
