node,count
n1176,1
n1177,3
n1178,2
n1179,2
n1180,2
n1181,1
n1182,2
n1183,2
n1184,2
n1185,6
n1186,3
n1192,1
n1193,2
n1194,3
n1195,16
n1196,1
n1197,12
n1198,4
n1199,5
n1200,6
n1202,1
n1203,22
n1204,6
n1205,5
n1206,9
n1207,19
n1208,22
n1209,26
n1210,30
n1211,31
n1212,6
n1213,13
n1214,2
n1748,2
n1756,3
n1766,4
n1768,4
n1769,1
n1770,2
n1771,2
n1774,4
n1775,1
n1776,1
n1777,1
n1778,2
n1779,1
n1780,3
n1781,6
n1782,6
n1783,4
n1784,13
n1785,13
n1786,7
n1787,11
n1788,6
n1789,6
n1790,6
n1791,45
n1792,128
n1793,116
n1794,114
n1795,119
n1798,115
n1799,114
n1800,120
n1801,7
n1802,6
n1803,7
n1806,7
n1807,7
n1808,8
n1809,6
n1810,5
n1811,6
n1812,115
n1813,115
n1814,119
n1816,114
n1817,115
n1818,119
n1826,115
n1827,115
n1828,120
n1829,7
n1830,9
n1831,9
n1833,7
n1834,6
n1835,8
n1836,118
n1837,116
n1838,121
n1840,118
n1841,116
n1842,121
n1843,6
n1844,6
n1845,7
n1848,6
n1849,7
n1850,7
n1851,113
n1852,113
n1853,118
n1855,7
n1856,8
n1857,9
n1858,115
n1859,115
n1860,120
n1863,117
n1864,117
n1865,120
n1866,4
n1867,5
n1868,6
n1871,8
n1872,8
n1873,9
n1874,114
n1875,113
n1876,119
n1878,9
n1879,9
n1880,10
n1881,116
n1882,113
n1883,120
n1891,5
n1892,6
n1893,7
n1894,114
n1895,114
n1896,118
n1899,117
n1900,114
n1901,120
n1902,8
n1903,9
n1904,9
n1907,5
n1908,5
n1909,7
n1910,116
n1911,116
n1912,119
n1914,6
n1915,7
n1916,7
n1917,118
n1918,115
n1919,120
n1927,117
n1928,115
n1929,120
n1930,6
n1931,7
n1932,7
n1934,6
n1935,7
n1936,8
n1937,114
n1938,116
n1939,120
n1941,114
n1942,116
n1943,120
n1944,7
n1945,7
n1946,7
n1949,7
n1950,6
n1951,7
n1952,117
n1953,116
n1954,120
n1956,6
n1957,6
n1958,7
n1959,116
n1960,116
n1961,119
n1964,113
n1965,112
n1966,118
n1967,7
n1968,8
n1969,9
n1972,6
n1973,7
n1974,7
n1975,117
n1976,115
n1977,121
n1979,9
n1980,8
n1981,9
n1982,114
n1983,117
n1984,122
n1992,6
n1993,6
n1994,7
n1995,114
n1996,114
n1997,118
n2000,116
n2001,114
n2002,119
n2003,6
n2004,7
n2005,7
n2008,6
n2009,6
n2010,6
n2011,115
n2012,117
n2013,120
n2015,8
n2016,7
n2017,8
n2018,113
n2019,116
n2020,119
n2028,118
n2029,116
n2030,120
n2031,6
n2032,4
n2033,6
n2035,4
n2036,3
n2037,4
n2038,118
n2039,116
n2040,119
n2042,115
n2043,114
n2044,118
n2045,6
n2046,6
n2047,8
n2050,8
n2051,9
n2052,9
n2053,115
n2054,116
n2055,121
n2057,5
n2058,5
n2059,7
n2060,117
n2061,114
n2062,119
n2065,113
n2066,114
n2067,118
n2068,6
n2069,7
n2070,8
n2073,9
n2074,7
n2075,9
n2076,114
n2077,115
n2078,119
n2080,7
n2081,7
n2082,7
n2083,113
n2084,113
n2085,119
n2093,8
n2094,8
n2095,8
n2096,114
n2097,114
n2098,120
n2101,114
n2102,115
n2103,120
n2104,9
n2105,8
n2106,9
n2109,5
n2110,5
n2111,5
n2112,114
n2113,118
n2114,119
n2116,8
n2117,8
n2118,8
n2119,112
n2120,116
n2121,120
n2129,8
n2130,8
n2131,8
n2132,115
n2133,114
n2134,120
n2136,117
n2137,114
n2138,120
n2139,8
n2140,7
n2141,9
n2144,116
n2145,113
n2146,120
n2147,8
n2148,9
n2149,9
n2151,8
n2152,9
n2153,9
n2154,115
n2155,116
n2156,122
n2158,7
n2159,8
n2160,9
n2161,114
n2162,113
n2163,119
n2166,115
n2167,115
n2168,120
n2169,7
n2170,6
n2171,7
n2174,8
n2175,6
n2176,8
n2177,115
n2178,112
n2179,117
n2181,7
n2182,8
n2183,8
n2184,115
n2185,115
n2186,120
n2190,7
n2191,6
n2192,8
n2193,121
n2194,116
n2195,122
n2198,6
n2199,6
n2200,8
n2201,117
n2202,115
n2203,119
n2206,6
n2207,6
n2208,7
n2209,117
n2210,116
n2211,120
n2213,7
n2214,8
n2215,8
n2216,112
n2217,114
n2218,118
n2235,7
n2236,8
n2237,8
n2238,113
n2239,114
