node,count
n10002,1
n10003,1
n10032,1
n10037,1
n10038,2
n10039,2
n10047,1
n10048,3
n10049,4
n10050,4
n10051,17
n10052,38
n10053,5
n10054,49
n10055,77
n10056,80
n10057,76
n10058,30
n10059,43
n10060,121
n10061,11
n10062,23
n10063,53
n10064,27
n10065,85
n10067,20
n10068,74
n10069,30
n10070,19
n10071,11
n10072,11
n10074,40
n10075,1
n10091,1
n10094,1
n10095,2
n10096,1
n10097,1
n10098,2
n10099,3
n10100,1
n10101,2
n10102,2
n10103,3
n10104,2
n10105,3
n10108,4
n10111,8
n10125,2
n10126,3
n10127,2
n10129,2
n10130,3
n10131,3
n10132,3
n10137,2
n10138,3
n10139,12
n10140,38
n10142,11
n10143,40
n10144,75
n10145,38
n10147,3
n10152,21
n10153,15
n10158,92
n10159,125
n10160,125
n10161,35
n10162,80
n10163,108
n10164,90
n10165,128
n10166,128
n10167,94
n10186,1
n10193,16
n10194,45
n10195,71
n10196,109
n10197,128
n10200,128
n10201,6
n10202,1
n10203,1
n10204,3
n10205,5
n10206,10
n10207,1
n10208,11
n10209,11
n10210,1
n10211,1
n10213,1
n10214,1
n10215,4
n10217,8
n10218,11
n10219,23
n10220,1
n10221,128
n10222,1
n10223,128
n10224,23
n10225,14
n10226,37
n10229,2
n10231,2
n10232,27
n10233,38
n10234,60
n10235,35
n10236,32
n10237,6
n10238,13
n10239,23
n10244,3
n10255,1
n10256,7
n10259,1
n10261,1
n10263,1
n10265,22
n10266,22
n10267,1
n10268,23
n10269,23
n10270,23
n10271,25
n10272,53
n10273,10
n10274,10
n10275,26
n10276,56
n10277,56
n10278,65
n10279,104
n10284,1
n10285,8
n10286,31
n10287,20
n10288,20
n10289,31
n10290,65
n10291,65
n10292,128
n10293,35
n10295,10
n10296,2
n10298,1
n10299,12
n10300,18
n10301,21
n10302,8
n10303,3
n10304,13
n10305,23
n10306,32
n10307,14
n10308,20
n10309,25
n10310,10
n10311,15
n10316,1
n10317,1
n10318,3
n10319,5
n10320,1
n10321,3
n10322,20
n10323,4
n10325,50
n10326,4
n10327,15
n10328,9
n10329,1
n10332,2
n10333,2
n10334,15
n10335,37
n10336,20
n10337,49
n10338,19
n10339,57
n10342,16
n10346,1
n10348,1
n10350,1
n10353,1
n10354,1
n10356,3
n10365,1
n10366,2
n10367,2
n10368,6
n10369,1
n10370,2
n10371,3
n10372,27
n10373,5
n10374,48
n10375,1
n10376,4
n10377,3
n10378,16
n10380,10
n10381,23
n10382,7
n10383,13
n10384,26
n10385,11
n10386,29
n10387,45
n10388,95
n10389,11
n10390,17
