node,count
n10000,67
n10001,61
n10002,18
n10003,122
n10004,128
n10005,2
n10009,3
n1001,9
n10010,19
n10011,19
n10012,19
n10013,6
n10014,38
n10015,41
n10016,32
n10017,3
n10018,62
n10019,86
n1002,75
n10025,43
n10026,43
n10027,51
n10028,8
n10029,80
n1003,63
n10030,89
n10031,87
n10036,3
n10037,18
n10038,18
n10039,17
n1004,66
n10040,5
n10041,27
n10042,29
n10043,24
n10048,2
n10049,45
n1005,78
n10050,45
n10051,45
n10052,4
n10053,100
n10054,102
n10055,27
n10056,1
n1006,81
n10060,3
n10061,16
n10062,16
n10063,13
n10064,3
n10065,33
n10066,33
n10067,6
n1007,50
n10072,1
n10073,17
n10074,17
n10075,19
n10076,4
n10077,23
n10078,26
n10079,3
n1008,70
n10080,1
n10084,2
n10085,28
n10086,28
n10087,40
n10088,5
n10089,80
n1009,64
n10090,85
n10091,11
n10092,1
n10096,2
n10097,11
n10098,11
n10099,13
n1010,67
n10100,7
n10101,27
n10102,31
n10103,11
n10109,5
n1011,64
n10110,5
n10111,3
n10112,2
n10113,7
n10114,7
n1012,15
n10120,2
n10121,2
n10122,2
n10124,8
n10125,8
n10126,37
n10127,46
n10128,55
n10129,15
n1013,122
n10130,14
n10131,18
n10132,19
n10138,4
n10139,4
n1014,128
n10140,4
n10142,7
n10143,7
n10144,22
n10147,11
n10149,1
n1015,125
n10150,1
n10151,14
n10154,9
n10155,8
n10157,6
n10158,12
n10159,1
n1016,47
n10160,1
n10161,2
n10162,32
n10163,55
n10164,2
n10165,4
n10166,11
n10167,33
n10168,41
n10169,75
n1017,128
n10170,87
n10171,68
n10172,68
n10173,85
n10176,31
n10177,26
n1018,127
n10180,7
n10181,24
n10182,25
n10183,26
n10184,32
n10185,23
n10186,26
n10187,11
n10188,26
n10189,27
n1019,66
n10190,103
n10191,25
n10192,26
n10193,20
n10194,24
n10195,24
n10196,24
n10197,22
n10198,24
n10199,29
n10200,84
n10201,87
n10202,8
n10203,87
n10204,87
n10205,92
n10207,5
n1021,66
n10213,8
n10214,8
n10215,8
n10217,16
n10218,16
n10219,21
n1022,128
n10220,5
n10221,56
n10222,61
n10223,59
n10224,41
n10225,59
n1023,6
n10231,29
n10232,29
n10233,31
n10234,2
n10235,54
n10236,56
n10237,61
n10238,37
n10239,37
n10240,1
n10241,43
n10242,1
n10247,1
n10248,45
n10249,45
n10250,49
n10251,6
n10252,82
n10253,87
n10254,19
n10255,1
n10256,95
n10257,95
n10258,98
n10259,10
n10260,97
n10261,23
n10262,3
n10266,3
n10267,50
n10268,50
n10269,54
n1027,9
n10270,10
n10271,95
n10272,102
n10273,19
n10274,111
n10275,20
n10276,112
n10277,8
n10278,9
n10279,45
n1028,73
n10280,122
n10281,9
n10282,128
n10283,127
n10284,10
n10285,127
n10286,128
n1029,55
n10291,6
n10292,77
n10293,77
n10294,72
n10295,7
n10296,127
n10297,128
n10298,128
n10299,119
n1030,70
n10300,122
n10301,128
n10302,128
n10303,120
n10304,26
n10305,128
n10306,2
n1031,68
n10310,8
n10311,68
n10312,68
n10313,66
n10314,14
n10315,122
n10316,128
n10317,120
n10318,111
n10319,128
n1032,77
n10320,128
n10321,104
n10322,128
n10323,126
n10324,123
n10325,128
n10326,128
n10327,124
n10329,128
n1033,47
n10330,128
n10331,1
n10335,3
n10336,50
n10337,50
n10338,52
n10339,8
n1034,65
n10340,93
n10341,98
n10342,99
n10347,4
n10348,21
n10349,21
n1035,65
n10350,19
n10351,6
n10352,30
n10353,32
n10354,19
n10355,111
n10356,6
n1036,67
n10361,1
n10362,15
n10363,15
n10364,18
n10365,5
n10366,29
n10367,33
n10368,8
n1037,66
n10374,3
n10375,3
n10376,4
n10377,1
n10378,9
n10379,10
n1038,17
n10380,12
n10385,2
n10386,5
n10387,5
n10388,4
n10389,3
n1039,120
n10390,11
n10391,12
n10392,14
n10393,1
n10397,1
n10398,12
n10399,12
n1040,128
n10400,12
n10401,3
n10402,24
n10403,26
n10404,16
n10405,29
n10406,1
n1041,2
n10410,3
n10411,15
n10412,15
n10413,11
n10414,3
n10415,24
n10416,25
n10417,24
n10418,7
n10419,9
n10420,10
n10421,19
n10422,6
n10423,27
n10424,39
n10425,42
n10426,12
n10427,6
n10428,6
n10429,76
n10430,4
n10431,20
n10432,21
n10434,28
n10435,28
n10436,25
n10437,24
n10438,24
n10439,23
n10440,12
n10441,23
n10442,23
n10443,11
n10444,25
n10445,24
n10446,20
n10447,24
n10448,22
n10449,9
n1045,9
n10450,12
n10451,11
n10452,6
n10453,12
n10454,14
n10455,5
n10456,9
n10457,9
n10458,4
n10459,9
n1046,68
n10460,10
n10461,2
n10462,3
n10463,63
n10465,5
n10466,5
n10467,87
n10468,2
n10469,88
n1047,68
n10470,2
n10476,2
n10477,2
n10478,3
n10479,1
n1048,61
n10480,4
n10481,5
n10482,74
n10485,75
n10486,6
n10487,74
n10488,6
n10489,6
n1049,11
n10490,1
n10494,1
n10495,3
n10496,3
n10497,2
n10498,1
n10499,5
n1050,126
n10500,5
n10501,7
n10502,1
n10503,5
n10504,5
n10505,6
n10506,5
n10507,7
n10508,5
n1051,128
n10513,4
n10514,8
n10515,8
n10516,5
n10517,5
n10518,14
n10519,15
n1052,128
n10520,26
n10521,3
n10522,11
n10523,11
n10524,27
n10525,4
n10526,31
n10527,4
n10528,2
n1053,128
n10532,4
n10533,15
n10534,15
n10535,13
n10536,6
n10537,23
n10538,25
n10539,19
n1054,2
n10540,4
n10541,22
n10542,22
n10543,30
n10544,3
n10545,33
n10546,3
n1055,26
n10552,39
n10553,39
n10554,42
n10555,4
n10556,78
n10557,81
n10558,13
n1056,56
n10560,82
n10561,82
n10562,90
n10564,93
n10565,2
n10566,1
n10570,2
n10571,3
n10572,3
n10573,1
n10574,2
n10575,3
n10576,3
n10577,3
n10579,3
n10580,3
n10581,4
n10582,4
n10584,4
n10585,1
n10590,1
n10591,34
n10592,34
n10593,34
n10594,2
n10595,58
n10596,59
n10597,44
n10599,19
n1060,10
n10600,19
n10601,61
n10602,1
n10603,61
n10604,1
n1061,45
n10610,35
n10611,35
n10612,39
n10613,4
n10614,74
n10615,78
n10616,14
n10618,82
n10619,82
n1062,45
n10620,89
n10622,90
n10623,7
n10624,1
n10628,7
n10629,49
n1063,44
n10630,49
n10631,47
n10632,12
n10633,88
n10634,93
n10635,108
n10636,1
n10638,99
n10639,111
n1064,19
n10640,108
n10641,102
n10642,111
n10643,1
n10647,3
n10648,49
n10649,49
n1065,85
n10650,55
n10651,12
n10652,103
n10653,112
n10654,103
n10655,109
n10656,103
n10657,101
n10658,17
n10659,17
n1066,94
n10660,12
n10661,125
n10662,12
n10663,128
n10664,5
n10665,5
n10666,97
n10667,5
n10668,126
n10669,128
n1067,3
n10670,126
n10671,26
n10672,128
n10673,7
n10677,13
n10678,110
n10679,82
n1068,99
n10680,94
n10681,111
n10682,110
n10683,71
n10684,107
n10685,62
n10686,67
n10687,61
n10688,20
n10689,121
n1069,3
n10690,128
n10691,126
n10692,31
n10693,128
n10694,128
n10695,30
n10697,3
n10701,7
n10702,97
n10703,77
n10704,88
n10705,98
n10706,103
n10707,60
n10708,90
n10709,28
n10710,29
n10711,23
n10712,8
n10713,42
n10714,43
n10715,11
n10716,11
n10717,128
n10718,1
n10722,8
n10723,68
n10724,68
n10725,67
n10726,15
n10727,108
n10728,115
n10729,109
n10730,1
n10734,1
n10735,2
n10736,2
n10737,1
n10738,1
n10739,4
n10740,4
n10741,92
n10742,3
n10746,7
n10747,20
n10748,20
n10749,15
n1075,5
n10750,8
n10751,34
n10752,35
n10753,31
n10754,32
n10755,3
n10756,68
n1076,5
n10761,2
n10762,23
n10763,23
n10764,35
n10765,8
n10766,48
n10767,49
n10768,10
n1077,8
n10778,6
n10779,6
n1078,3
n10780,2
n10786,9
n10787,9
n10788,9
n1079,14
n10790,13
n10791,13
n10792,11
n10793,21
n10795,26
n10796,48
n1080,17
n10800,3
n10801,24
n10802,24
n10803,27
n10804,10
n10805,48
n10806,57
n10807,1
n10808,58
n10809,2
n1081,122
n10814,1
n10815,5
n10816,5
n10817,5
n10818,1
n10819,8
n10820,8
n10821,44
n10824,46
n10825,21
n10826,44
n10827,10
n10828,21
n10829,1
n1083,1
n10833,2
n10834,7
n10835,7
n10836,9
n10837,3
n10838,13
n10839,14
n1084,126
n10840,8
n10841,22
n10842,16
n10843,17
n10844,5
n10845,11
n10846,11
n10847,12
n10848,11
n10849,19
