node,count
F,128
n1000,30
n1001,38
n1002,4
n1003,17
n1004,34
n1005,72
n1006,74
n1007,104
n1009,35
n1010,14
n1011,6
n1012,8
n1013,13
n1014,28
n1016,1
n1017,2
n1018,6
n1019,10
n1020,24
n1021,41
n1022,82
n1023,95
n1024,95
n1029,1
n1030,1
n1031,1
n1032,2
n1033,2
n1034,3
n1035,7
n1036,11
n1037,25
n1038,44
n1039,54
n1040,5
n1041,5
n1042,5
n1043,37
n1044,55
n1047,1
n1048,1
n1049,6
n1050,14
n1051,27
n1052,54
n1053,90
n1054,96
n1055,108
n1058,1
n1059,2
n1060,4
n1061,6
n1062,14
n1063,19
n1064,24
n1065,32
n1066,37
n1067,2
n1068,3
n1069,4
n1070,6
n1071,10
n1072,18
n1073,40
n1074,77
n1075,62
n1076,110
n1078,65
n1079,24
n1082,1
n1083,3
n1084,3
n1085,13
n1086,22
n1087,50
n1098,2
n1099,6
n1100,14
n1101,21
n1102,49
n1103,101
n1104,128
n1107,3
n1108,20
n1109,28
n1110,56
n1111,2
n1112,9
n1113,22
n473,1
n474,1
n475,1
n476,1
n477,1
n479,1
n480,1
n481,1
n483,1
n485,1
n486,1
n487,1
n489,1
n490,2
n491,1
n492,1
n493,1
n494,2
n495,3
n496,2
n497,5
n498,6
n499,7
n500,3
n501,8
n502,4
n503,18
n504,19
n505,22
n506,4
n507,4
n508,92
n509,104
n510,116
n512,2
n513,6
n514,9
n515,10
n516,9
n517,15
n518,29
n519,61
n520,6
n521,8
n522,35
n523,67
n524,52
n525,72
n526,66
n527,72
n528,47
n529,46
n530,71
n531,73
n532,51
n533,24
n534,72
n535,75
n536,46
n537,44
n538,57
n539,71
n540,54
n541,58
n542,65
n543,75
n544,39
n545,47
n546,64
n547,69
n548,52
n549,39
n550,70
n551,76
n552,46
n553,42
n554,61
n555,73
n556,51
n557,53
n558,67
n559,77
n560,41
n561,56
n562,70
n563,74
n564,45
n565,45
n566,68
n567,69
n568,50
n569,45
n570,77
n571,83
n572,49
n573,39
n574,55
n575,65
n576,49
n577,50
n578,73
n579,79
n580,45
n581,45
n582,55
n583,64
n584,45
n585,44
n586,74
n587,82
n588,42
n589,39
n590,55
n591,65
n592,43
n593,51
n594,70
n595,78
n596,47
n597,44
n598,59
n599,66
n600,48
n601,49
n602,73
n603,83
n604,48
n605,43
n606,53
n607,69
n608,51
n609,49
n610,68
n611,80
n612,42
n613,55
n614,60
n615,73
n616,41
n617,44
n618,65
n619,69
n620,40
n621,43
n622,64
n623,75
n624,34
n625,31
n626,59
n627,66
n628,52
n629,53
n630,70
n631,79
n632,38
n633,54
n634,63
n635,70
n636,50
n637,41
n638,67
n639,71
n640,40
n641,37
n642,65
n643,75
n644,53
n645,38
n646,58
n647,67
n648,41
n649,62
n650,72
n651,84
n652,44
n653,51
n654,60
n655,69
n656,38
n657,41
n658,66
n659,75
n660,49
n661,36
n662,62
n663,71
n664,40
n665,49
n666,64
n667,72
n668,52
n669,52
n670,64
n671,72
n672,48
n673,41
n674,67
n675,74
n676,60
n677,39
n678,62
n679,72
n680,40
n681,51
n682,63
n683,77
n684,48
n685,49
n686,60
n687,71
n688,46
n689,46
n690,67
n691,74
n692,49
n693,42
n694,62
n695,70
n696,44
n697,39
n698,65
n699,70
n700,57
n701,48
n702,67
n703,75
n704,42
n705,48
n706,65
n707,73
n708,51
n709,39
n710,61
n711,67
n712,41
n713,40
n714,69
n715,74
n716,57
n717,45
n718,63
n719,70
n720,43
n721,54
n722,69
n723,80
n724,47
n725,46
n726,63
n727,73
n728,33
n729,42
n730,63
n731,70
n732,55
n733,51
n734,67
n735,79
n736,33
n737,36
n738,56
n739,62
n740,60
n741,69
n742,82
n743,101
n744,24
n745,28
n746,32
n747,42
n748,74
n749,64
n750,94
n751,109
n752,16
n753,20
n754,26
n755,30
n756,70
n757,86
n758,114
n760,18
n761,5
n762,19
n763,26
n764,59
n765,63
n766,73
n767,35
n768,66
n769,76
n770,9
n771,9
n772,9
n773,59
n774,81
n775,24
n776,44
n777,56
n778,60
n779,68
n780,23
n781,52
n782,40
n783,76
n784,81
n785,17
n786,43
n787,33
n788,56
n789,65
n790,20
n791,51
n792,58
n793,72
n794,84
n795,23
n796,41
n797,60
n798,56
n799,75
n800,27
n801,50
n802,43
n803,66
n804,77
n805,24
n806,53
n807,52
n808,66
n809,80
n810,26
n811,48
n812,59
n813,62
n814,76
n815,28
n816,48
n817,59
n818,73
n819,83
n820,19
n821,35
n822,44
n823,57
n824,68
n825,15
n826,39
n827,39
n828,65
n829,76
n830,28
n831,47
n832,51
n833,64
n834,79
n835,18
n836,46
n837,52
n838,58
n839,68
n840,20
n841,38
n842,55
n843,74
n844,82
n845,25
n846,53
n847,43
n848,57
n849,71
n850,20
n851,40
n852,45
n853,68
n854,81
n855,23
n856,42
n857,58
n858,58
n859,76
n860,30
n861,54
n862,59
n863,67
n864,80
n865,32
n866,53
n867,60
n868,66
n869,85
n870,28
n871,51
n872,42
n873,57
n874,70
n875,22
n876,49
n877,51
n878,67
n879,78
n880,18
n881,37
n882,51
n883,61
n884,71
n885,34
n886,65
n887,60
n888,74
n889,89
n890,15
n891,31
