node,count
n100,73
n1007,121
n1008,44
n1009,44
n101,67
n1010,126
n1011,86
n1012,108
n1013,128
n1014,106
n1015,79
n1018,116
n1019,50
n102,70
n1020,98
n1021,128
n1023,126
n1024,79
n1025,125
n1026,92
n1027,38
n103,90
n1031,71
n1032,92
n1033,120
n1034,113
n1035,40
n1036,3
n104,78
n1040,76
n1041,113
n1042,112
n1043,42
n1047,77
n1048,112
n1049,97
n105,35
n1050,96
n1051,110
n1052,57
n1053,80
n1054,95
n1055,103
n1056,60
n1057,106
n1058,106
n1059,128
n106,60
n1060,113
n1061,127
n1062,128
n1063,105
n1064,127
n1065,108
n1066,128
n1067,126
n1068,128
n1069,105
n107,41
n1070,47
n1071,127
n1072,118
n1073,81
n1074,128
n1075,124
n1076,37
n108,22
n1080,57
n1081,124
n1082,123
n1083,39
n1087,58
n1088,123
n1089,90
n109,48
n110,42
n112,73
n1129,6
n113,83
n1130,128
n115,27
n116,63
n117,61
n1175,113
n1176,50
n1177,52
n1178,50
n1179,127
n118,1
n1180,112
n1181,55
n1182,102
n1183,127
n1186,106
n1187,50
n1188,96
n1189,104
n119,14
n1190,104
n1191,122
n1192,116
n1193,123
n1194,123
n1195,8
n1196,8
n1199,103
n120,22
n1200,59
n1201,59
n1202,95
n1203,106
n1204,75
n1205,23
n1209,34
n121,83
n1210,75
n1211,35
n1212,46
n1213,68
n1214,121
n1215,123
n1216,78
n1217,107
n1218,118
n1219,85
n122,90
n1220,121
n1221,121
n1222,121
n1223,76
n1224,99
n1225,89
n1226,105
n1227,107
n1228,80
n1229,69
n1230,93
n1231,53
n1232,70
n1233,110
n1234,124
n1235,84
n1236,127
n1237,114
n1238,73
n1239,93
n124,15
n1240,127
n1241,123
n1242,128
n1243,41
n1248,73
n1249,128
n125,11
n1250,127
n1251,43
n1255,77
n1256,127
n1257,127
n1258,55
n126,81
n1262,84
n1263,127
n1264,115
n1265,108
n1266,128
n1267,127
n1268,89
n1269,123
n1270,16
n1271,28
n1272,115
n1273,102
n1274,26
n1275,110
n1276,9
n1277,21
n1278,115
n1279,124
n128,12
n1280,89
n1281,101
n1282,121
n1283,122
n1284,93
n1285,116
n1286,122
n1287,118
n1288,66
n1289,118
n1290,98
n1291,122
n1292,126
n1293,105
n1294,59
n1295,121
n1296,127
n1297,47
n130,83
n1301,86
n1302,127
n1303,127
n1304,127
n1305,127
n1306,127
n1307,122
n1308,67
n1309,122
n131,83
n1310,99
n1311,106
n1312,106
n1313,6
n1314,6
n1317,68
n132,2
n1321,59
n1322,127
n1323,126
n1324,86
n1325,127
n1326,124
n1327,123
n1328,127
n1329,40
n1333,62
n1334,127
n1335,127
n1336,40
n134,88
n1340,61
n1341,127
