node,count
n1000,26
n10000,2
n10001,2
n10004,1
n10005,1
n10006,1
n10007,2
n10008,2
n10009,9
n1001,3
n10012,7
n10013,11
n1002,16
n10021,7
n10024,7
n10025,9
n1003,26
n10031,1
n10032,1
n10034,1
n10035,8
n10036,1
n10037,1
n10038,8
n10039,8
n1004,3
n10042,1
n10044,2
n10045,9
n10048,9
n10049,9
n1005,3
n10056,2
n10057,9
n1006,25
n10060,9
n10061,9
n10066,2
n10068,1
n10069,9
n1007,28
n10070,1
n10071,1
n10072,8
n10073,9
n10076,1
n10078,1
n1008,2
n10080,4
n10081,11
n10082,1
n10083,1
n10084,11
n10085,12
n10087,1
n10088,3
n10089,2
n1009,7
n10090,4
n10092,1
n10093,8
n10096,8
n10097,8
n10099,1
n1010,31
n10104,1
n10105,8
n10108,8
n10109,8
n1011,31
n10112,1
n10115,1
n10116,5
n10117,12
n10118,2
n10119,2
n10120,11
n10121,12
n10123,1
n10124,2
n10127,2
n10128,4
n10129,11
n10130,2
n10131,2
n10132,9
n10133,11
n10134,1
n10135,2
n10138,1
n10139,2
n10140,8
n10141,15
n10144,11
n10145,15
n10148,4
n10150,1
n10152,4
n10153,11
n10154,1
n10155,1
n10156,12
n10157,12
n10159,4
n1016,4
n10160,3
n10161,1
n10162,6
n10163,1
n10164,3
n10165,10
n10166,2
n10167,2
n10168,10
n10169,12
n1017,4
n10171,2
n10172,3
n10173,1
n10174,1
n10175,1
n10176,3
n10177,10
n1018,4
n10180,9
n10181,10
n10182,1
n10183,3
n10184,1
n10186,2
n10188,6
n10189,13
n1019,13
n10190,2
n10191,2
n10192,13
n10193,14
n10194,1
n10195,1
n10196,3
n10197,1
n10198,3
n10199,2
n1020,13
n10200,10
n10201,17
n10204,15
n10205,17
n10207,3
n10208,5
n10209,2
n1021,13
n10210,7
n10211,6
n10212,15
n10213,24
n10214,1
n10215,1
n10216,18
n10217,24
n10218,1
n10219,3
n1022,19
n10220,7
n10222,2
n10224,5
n10225,12
n10226,1
n10227,1
n10228,13
n10229,13
n1023,31
n10230,2
n10231,7
n10232,2
n10234,7
n10235,2
n10236,13
n10237,20
n10238,9
n10239,9
n1024,128
n10240,20
n10241,22
n10242,1
n10243,2
n10244,5
n10245,5
n10246,5
n10247,7
n10248,18
n10249,25
n1025,2
n10250,2
n10251,2
n10252,18
n10253,25
n10255,4
n10256,5
n10257,1
n10258,4
n10259,6
n1026,20
n10260,7
n10261,16
n10262,1
n10263,1
n10264,10
n10265,18
n10266,1
n10267,5
n10268,9
n10270,8
n10271,1
n10272,8
n10273,15
n10274,3
n10275,3
n10276,14
n10277,15
n10278,5
n10279,13
n1028,5
n10280,19
n10281,7
n10282,20
n10283,2
n10284,11
n10285,20
n10286,9
n10287,9
n10288,23
n10289,29
n10290,1
n10291,12
n10292,31
n10293,31
n10298,2
n10299,2
n1030,5
n10300,2
n10301,6
n10302,6
n10303,6
n10304,13
n10305,31
n10306,128
n10308,16
n10310,11
n10312,11
n10317,11
n10318,11
n10319,18
n1035,5
n10356,1
n10359,1
n1036,5
n1037,12
n10389,1
n1039,5
n10392,1
n10393,1
n10398,1
n1040,9
n10404,1
n10405,1
n10415,1
n10420,3
n10422,1
n1043,2
n10431,2
n10436,1
n10437,1
n10440,1
n10441,1
n10448,1
n10449,1
n1045,1
n10450,1
n10451,1
n10452,1
n10453,1
n1046,1
n10460,1
n10461,1
n10464,1
n10465,1
n1047,3
n10472,1
n10473,1
n10476,1
n10477,1
n1048,5
n1049,4
n10494,1
n10496,1
n10497,1
n1050,4
n10500,1
n10501,1
n10504,1
n10505,1
n10506,1
n10508,2
n10509,4
n1051,24
n10512,4
n10513,4
n10516,2
n10518,2
n1052,5
n10521,7
n10522,1
n10523,3
n10524,10
n10525,10
n10527,2
n10528,2
n10529,2
n1053,9
n10530,2
n10533,7
n10535,1
n10536,9
n10537,9
n10538,2
n10539,2
n1054,2
n10540,2
n10542,2
n10543,1
n10544,2
n10546,1
n10547,9
n1055,11
n10550,9
n10551,9
n10552,3
n10553,2
n10554,3
n10556,1
n10557,10
n10560,10
n10561,10
n10563,1
n10564,3
n10566,1
n10569,8
n1057,7
n10572,8
n10573,8
n10575,3
n10576,1
n10577,1
n10578,2
n10580,2
n10581,9
n10584,9
n10585,9
n1059,2
n10590,1
n10593,9
n10596,9
n10597,9
n10598,1
n10599,1
n1060,5
n10600,2
n10601,1
n10602,5
n10604,3
n10605,11
n10606,1
n10607,2
n10608,12
n10609,13
n1061,11
n10611,2
n10612,4
n10613,1
n10614,1
n10617,7
n1062,11
n10620,7
n10621,7
n10622,1
n10623,4
n10626,1
n10629,10
n1063,20
n10632,10
n10633,10
n10636,3
n10639,1
n1064,1
n10640,2
n10641,11
n10643,2
n10644,12
n10645,13
n10647,4
n10648,5
n1065,14
n10650,6
n10652,1
n10653,9
n10655,2
n10656,11
n10657,11
n10658,3
n10659,5
n1066,20
n10660,3
n10661,1
n10662,2
n10664,4
n10665,12
n10667,1
n10668,13
n10669,13
n1067,10
n10671,3
n10672,4
n10673,1
n10674,4
n10675,1
n10676,6
n10677,16
n10678,2
n10679,4
n1068,2
n10680,14
n10681,18
n10682,1
n10683,3
n10684,8
n10686,4
n10688,1
n10689,10
n1069,7
n10690,1
n10691,1
n10692,11
n10693,12
n10694,1
n10695,8
n10696,6
n10697,4
n10698,10
n1070,6
n10700,2
n10701,13
n10702,1
n10703,1
n10704,14
n10705,14
n10706,1
n10707,2
n10708,4
n10709,1
n1071,5
n10710,4
n10712,2
n10713,13
n10714,1
n10715,2
n10716,15
n10717,15
n10718,1
n10719,5
n1072,14
n10720,6
n10721,3
n10722,9
n10723,2
n10724,7
n10725,20
n10726,3
n10727,6
n10728,22
n10729,24
n1073,3
n10730,1
n10731,6
n10732,18
n10734,16
n10735,2
n10736,7
n10737,19
n10738,2
n10739,2
n1074,10
n10740,17
n10741,19
n10742,6
n10743,18
n10744,17
n10745,16
n10746,17
n10748,6
n10749,18
n1075,15
n10750,1
n10751,4
n10752,22
n10753,22
n10755,4
n10756,12
n10757,7
n10758,8
n1076,4
n10760,2
n10761,14
n10762,4
n10763,7
n10764,21
n10765,21
n10766,3
n10767,11
n10768,12
n10769,7
n1077,11
n10770,20
n10772,3
n10773,10
n10774,5
n10775,8
n10776,15
n10777,15
n10778,6
n10779,10
n1078,9
n10780,12
n10781,7
n10782,28
n10783,3
n10784,11
n10785,21
n10786,1
n10787,1
n10788,18
n10789,21
n1079,5
n10790,2
n10791,5
n10792,26
n10793,31
n10798,11
n10799,11
n1080,8
n10800,11
n10801,9
n10802,9
n10803,9
n10804,21
n10805,31
n10806,128
n10808,13
n1081,1
