node,count
n1000,108
n10000,106
n10001,108
n10002,110
n10003,114
n10004,53
n10005,108
n10006,5
n10007,3
n10008,20
n10009,118
n1001,73
n10010,108
n10011,108
n10012,62
n10013,108
n10014,108
n10015,108
n10016,109
n10017,117
n10018,116
n10019,125
n1002,91
n10020,126
n10021,62
n10022,108
n10023,127
n10024,6
n10025,5
n10026,14
n10027,108
n10028,108
n10029,62
n1003,91
n10030,108
n10031,108
n10032,108
n10033,123
n10034,123
n10035,128
n10036,43
n10037,36
n10038,75
n10039,114
n1004,117
n10040,117
n10041,103
n10042,21
n10043,49
n10044,116
n10045,112
n10046,110
n10047,109
n10048,115
n10049,123
n1005,30
n10050,120
n10051,126
n10052,23
n10053,120
n10054,120
n10055,114
n10056,116
n10057,49
n10058,116
n10059,121
n1006,60
n10060,126
n10061,72
n10062,48
n10063,121
n10064,76
n10065,117
n10066,88
n10067,119
n10068,118
n10069,97
n1007,128
n10070,73
n10071,111
n10072,97
n10073,88
n10074,126
n10075,52
n10076,36
n10077,70
n10078,117
n10079,21
n1008,108
n10080,50
n10081,119
n10082,95
n10083,110
n10084,119
n10085,54
n10086,105
n10087,109
n10088,112
n10089,123
n1009,110
n10090,115
n10091,114
n10092,118
n10093,118
n10094,60
n10095,118
n10096,124
n10097,3
n10098,4
n10099,15
n1010,111
n10100,118
n10101,118
n10102,115
n10103,109
n10104,109
n10105,84
n10106,75
n10107,104
n10108,77
n10109,55
n1011,119
n10110,104
n10111,104
n10112,77
n10113,67
n10114,75
n10115,98
n10116,106
n10117,116
n10118,71
n10119,102
n1012,120
n10120,91
n10121,72
n10122,35
n10123,106
n10124,59
n10125,73
n10126,73
n10127,48
n10128,42
n10129,62
n1013,67
n10130,59
n10131,47
n10132,56
n10133,78
n10134,109
n10135,56
n10136,128
n10137,105
n10138,74
n10139,128
n1014,128
n10140,128
n10141,105
n10142,128
n10143,128
n10144,88
n10145,128
n10146,113
n10147,81
n10149,88
n1015,128
n10150,128
n10151,128
n10152,105
n10153,128
n10154,114
n10155,114
n10156,46
n10157,118
n10158,41
n10159,113
n1016,9
n10160,117
n10161,113
n10162,113
n10163,32
n10164,116
n10165,74
n10166,62
n10167,18
n10168,74
n10169,62
n1017,8
n10170,72
n10171,72
n10172,66
n10173,57
n10174,105
n10175,58
n10176,111
n10177,20
n10178,26
n10179,105
n1018,26
n10180,96
n10181,21
n10182,105
n10183,22
n10184,32
n10185,127
n10186,127
n10187,27
n10188,127
n10189,106
n1019,128
n10190,116
n10191,109
n10192,121
n10193,122
n10194,68
n10195,122
n10196,126
n10197,5
n10198,13
n10199,23
n1020,128
n10200,122
n10201,122
n10202,127
n10203,99
n10204,23
n10205,99
n10206,103
n10207,103
n10208,104
n10209,99
n1021,113
n10210,23
n10211,99
n10212,112
n10213,57
n10214,119
n10215,83
n10216,109
n10217,80
n10218,115
n10219,61
n1022,128
n10220,116
n10221,101
n10222,112
n10223,107
n10224,116
n10225,97
n10226,113
n10227,110
n10228,105
n10229,63
n1023,60
n10230,103
n10231,95
n10232,82
n10233,56
n10234,82
n10235,85
n10236,52
n10237,55
n10238,80
n10239,7
n1024,128
n10240,13
n10241,106
n10242,13
n10243,118
n10244,128
n10245,128
n10246,49
n10247,114
n10248,117
n10249,48
n1025,128
n10250,51
n10251,35
n10252,51
n10253,40
n10254,76
n10255,111
n10256,112
n10257,112
n10258,120
n10259,122
n1026,89
n10260,128
n10261,6
n10262,22
n10263,103
n10264,53
n10265,103
n10266,103
n10267,110
n10268,114
n10269,111
n1027,122
n10270,120
n10271,121
n10272,57
n10273,103
n10274,4
n10275,8
n10276,16
n10277,125
n10278,103
n10279,103
n1028,128
n10280,118
n10281,103
n10282,103
n10283,103
n10284,27
n10285,30
n10286,109
n10287,112
n10288,112
n10289,121
n1029,128
n10290,122
n10291,56
n10292,103
n10293,128
n10294,19
n10295,103
n10296,103
n10297,118
n10298,103
n10299,103
n1030,128
n10300,103
n10301,45
n10302,113
n10303,34
n10304,53
n10305,114
n10306,114
n10307,119
n10308,119
n10309,127
n1031,86
n10310,5
n10311,4
n10312,16
n10313,114
n10314,56
n10315,114
n10316,114
n10317,114
n10318,112
n10319,107
n1032,128
n10320,114
n10321,117
n10322,58
n10323,114
n10324,3
n10325,7
n10326,21
n10327,125
n10328,114
n10329,114
n1033,104
n10330,127
n10331,114
n10332,114
n10333,114
n10334,90
n10335,87
n10336,127
n10337,66
n10338,30
n10339,61
n1034,110
n10340,117
n10341,16
n10342,53
n10343,127
n10344,87
n10345,96
n10346,126
n10347,53
n10348,96
n10349,96
n1035,128
n10350,97
n10351,96
n10352,127
n10353,55
n10354,37
n10355,73
n10356,123
n10357,128
n10358,98
n10359,26
n1036,128
n10360,48
n10361,117
n10362,99
n10363,126
n10364,45
n10365,40
n10366,75
n10367,113
