node,count
maj,128
n10000,12
n10001,7
n10002,9
n10003,12
n10004,12
n10006,1
n10007,16
n10008,23
n10009,1
n10010,11
n10012,2
n10013,2
n10014,2
n10015,11
n10016,6
n10017,2
n10018,6
n10019,8
n10021,3
n10022,8
n10023,12
n10024,1
n10025,2
n10026,11
n10027,15
n10028,1
n10029,10
n1003,23
n10030,9
n10031,6
n10032,9
n10033,3
n10034,2
n10035,4
n10036,12
n10039,1
n1004,12
n10040,1
n10041,7
n10044,4
n10045,10
n10046,13
n10047,13
n10048,7
n10049,18
n1005,25
n10050,15
n10051,35
n10052,13
n10053,26
n10054,11
n10055,34
n10056,20
n10057,35
n10058,21
n10059,19
n1006,14
n10060,43
n10061,10
n10062,45
n10063,42
n10064,21
n10065,10
n10066,36
n10067,7
n10068,15
n10069,2
n1007,24
n10070,14
n10071,33
n10072,28
n10073,14
n10074,19
n10077,18
n10078,35
n10079,18
n1008,31
n10080,58
n10081,53
n10082,33
n10083,9
n10084,21
n10085,6
n10086,6
n10087,3
n10088,2
n10089,3
n1009,24
n10090,34
n10092,7
n10093,45
n10094,46
n10095,34
n10096,22
n10097,3
n10098,5
n10099,2
n1010,11
n10100,2
n10104,30
n10106,4
n10107,39
n10108,45
n10109,33
n1011,31
n10110,33
n10111,41
n10112,27
n10113,36
n10114,38
n10115,26
n10116,20
n10117,31
n10118,26
n10119,19
n1012,15
n10120,31
n10121,17
n10122,38
n10123,16
n10124,47
n10125,61
n10126,31
n10127,5
n10128,22
n10129,5
n1013,17
n10130,6
n10131,4
n10132,1
n10133,4
n10134,33
n10136,7
n10137,33
n10138,33
n10139,41
n1014,26
n10140,21
n10141,5
n10142,11
n10143,2
n10144,3
n10148,28
n1015,16
n10150,11
n10151,28
n10152,45
n10153,30
n10154,24
n10155,38
n10156,28
n10157,31
n10158,38
n10159,19
n1016,14
n10160,56
n10161,54
n10162,22
n10163,5
n10164,13
n10165,4
n10166,6
n10167,3
n10168,4
n10169,4
n1017,4
