circuit,vector_seed,effective_seed,vectors,engine,count_mode,seconds,inputs,outputs,gates,candidate_nodes,candidate_coverage,cache_hit,shard_count,wall_seconds,sharded
adder,7089,7601,128,numba,opposite_flip,1.4755086000077426,256,129,1020,892,892,False,,,
arbiter,7089,7834,128,numba,opposite_flip,0.1564444999967236,256,129,11839,11711,11711,False,,,
bar,7089,7398,128,numba,opposite_flip,0.047272900003008544,135,128,3336,3208,3208,False,,,
cavlc,7089,7610,128,numba,opposite_flip,0.008808999991742894,10,11,693,682,682,False,,,
ctrl,7089,7526,128,numba,opposite_flip,0.002339600003324449,7,26,175,164,164,False,,,
dec,7089,7389,128,numba,opposite_flip,0.0031893999985186383,8,256,304,48,48,False,,,
div,7089,7412,128,numba,opposite_flip,5.789666199998464,128,128,57247,57119,57119,False,,,
hyp,7089,,128,,opposite_flip,8163.517032200034,,,,214207,,False,8,2331.326775499998,True
i2c,7089,7343,128,numba,opposite_flip,0.4292407000029925,147,142,1357,1357,1357,False,,,
int2float,7089,8004,128,numba,opposite_flip,0.012050200006342493,11,7,260,253,253,False,,,
log2,7089,7461,128,numba,opposite_flip,41.679434300007415,32,32,32060,32028,32028,False,,,
max,7089,7415,128,numba,opposite_flip,0.1202871999994386,512,130,2865,2735,2735,False,,,
mem_ctrl,7089,7940,128,numba,opposite_flip,3.788973499991698,1204,1231,47110,47110,47110,False,,,
multiplier,7089,8184,128,numba,opposite_flip,2.4813501999888103,128,128,27062,26934,26934,False,,,
priority,7089,7987,128,numba,opposite_flip,0.03907110000727698,128,8,978,971,971,False,,,
router,7089,7762,128,numba,opposite_flip,0.01194250000116881,60,30,284,254,254,False,,,
sin,7089,7419,128,numba,opposite_flip,0.8075473999924725,24,25,5416,5391,5391,False,,,
sqrt,7089,7547,128,numba,opposite_flip,34.95950260000245,128,64,24618,24554,24554,False,,,
square,7089,7746,128,numba,opposite_flip,1.0697614000091562,64,128,18486,18358,18358,False,,,
voter,7089,7649,128,numba,opposite_flip,2.4148990999965463,1001,1,13758,13758,13758,False,,,
