circuit,vector_seed,vectors,budget,method,method_value,static_value,oracle_value,row_ideal_ratio_raw,loss
adder,7089,128,0.05,selector_family_diagnostics:static_proximity,4365.0,4365.0,5760.0,0.7578125,False
adder,7089,128,0.1,selector_family_diagnostics:static_proximity,8720.0,8720.0,11520.0,0.7569444444444444,False
adder,7089,128,0.2,selector_family_diagnostics:static_proximity,17245.0,17245.0,22912.0,0.7526623603351955,False
adder,7089,128,0.05,selector_family_diagnostics:dist_avg_inv,4365.0,4365.0,5760.0,0.7578125,False
adder,7089,128,0.1,selector_family_diagnostics:dist_avg_inv,8720.0,8720.0,11520.0,0.7569444444444444,False
adder,7089,128,0.2,selector_family_diagnostics:dist_avg_inv,17245.0,17245.0,22912.0,0.7526623603351955,False
adder,7089,128,0.05,selector_family_diagnostics:pagerank,5760.0,4365.0,5760.0,1.0,False
adder,7089,128,0.1,selector_family_diagnostics:pagerank,11520.0,8720.0,11520.0,1.0,False
adder,7089,128,0.2,selector_family_diagnostics:pagerank,21268.0,17245.0,22912.0,0.9282472067039106,False
adder,7089,128,0.05,selector_family_diagnostics:betweenness,5089.0,4365.0,5760.0,0.8835069444444444,False
adder,7089,128,0.1,selector_family_diagnostics:betweenness,10154.0,8720.0,11520.0,0.8814236111111111,False
adder,7089,128,0.2,selector_family_diagnostics:betweenness,20140.0,17245.0,22912.0,0.8790153631284916,False
adder,7089,128,0.05,selector_family_diagnostics:eigen,5760.0,4365.0,5760.0,1.0,False
adder,7089,128,0.1,selector_family_diagnostics:eigen,11520.0,8720.0,11520.0,1.0,False
adder,7089,128,0.2,selector_family_diagnostics:eigen,22912.0,17245.0,22912.0,1.0,False
adder,7089,128,0.05,selector_family_diagnostics:out_deg,5760.0,4365.0,5760.0,1.0,False
adder,7089,128,0.1,selector_family_diagnostics:out_deg,11520.0,8720.0,11520.0,1.0,False
adder,7089,128,0.2,selector_family_diagnostics:out_deg,22372.0,17245.0,22912.0,0.97643156424581,False
adder,7089,128,0.05,selector_family_diagnostics:inv_depth,4365.0,4365.0,5760.0,0.7578125,False
adder,7089,128,0.1,selector_family_diagnostics:inv_depth,8720.0,8720.0,11520.0,0.7569444444444444,False
adder,7089,128,0.2,selector_family_diagnostics:inv_depth,17245.0,17245.0,22912.0,0.7526623603351955,False
adder,7089,128,0.05,selector_family_diagnostics:cache_struct,5760.0,4365.0,5760.0,1.0,False
adder,7089,128,0.1,selector_family_diagnostics:cache_struct,11520.0,8720.0,11520.0,1.0,False
