circuit,chosen_family,family_reason,chosen_family_rank,family_count,chosen_family_ratio,best_family,best_family_ratio,median_family_ratio,diagnostic_only
adder,mass_balance,relative-mass-balance-frontier,2,29,1.0,eigen,1.0,0.8587778683012621,True
arbiter,pdom_dist,relative-pdom-static-aligned,5,29,0.9266569972843458,union_dist_pr_topo_edge_pr,0.988606020556056,0.44736907133769244,True
bar,pdom_dist,relative-pdom-static-aligned,5,29,0.9813706036179152,final_score,0.9814283534680719,0.6949561293561249,True
cavlc,pdom_dist,relative-pdom-static-aligned,1,29,0.9007607358816319,pdom_dist,0.9007607358816319,0.44750146398933155,True
ctrl,pdom_dist,relative-pdom-static-aligned,6,29,0.9518639894903976,inv_depth,0.964203321109935,0.7302261328696003,True
dec,index_mid,relative-structural-lowdim-index-tail,12,29,1.0,static_proximity,1.0,1.0,True
div,inv_depth,relative-depth-frontier,1,29,0.7599346695552651,inv_depth,0.7599346695552651,0.3000191217426794,True
hyp,index_mid,relative-mid-index,1,29,0.8034547864636181,index_mid,0.8034547864636181,0.36439168729918786,True
i2c,pdom_dist,relative-pdom-static-aligned,5,29,0.9883296099785908,static_proximity,0.9883296099785908,0.47344090188173144,True
int2float,pdom_dist,relative-pdom-static-aligned,1,29,0.9212362494877947,pdom_dist,0.9212362494877947,0.5852878582898068,True
log2,sink_reach_near_pr,relative-sink-gnn-frontier,1,29,0.6610079825692738,sink_reach_near_pr,0.6610079825692738,0.4426953014581462,True
max,pdom_dist,relative-pdom-static-aligned,1,29,0.5035551550705171,pdom_dist,0.5035551550705171,0.36793791885260596,True
mem_ctrl,pdom_dist,relative-pdom-static-aligned,1,29,0.9122354145545962,pdom_dist,0.9122354145545962,0.26218653458870367,True
multiplier,pdom_dist,relative-pdom-static-aligned,6,29,0.5927545891577765,sink_reach_near_pr,0.7345605459564761,0.4570838874319969,True
priority,wl3_common_dist,relative-wl-common-cache-repair,4,29,0.7110029133307152,mass_balance,0.7508305074182795,0.6524214377751522,True
router,pdom_dist,relative-pdom-static-aligned,1,29,0.7834531948704562,pdom_dist,0.7834531948704562,0.28727072554227534,True
sin,mass_balance,relative-mass-balance-frontier,2,29,0.7462478042802432,cache_struct,0.7533509935898952,0.5747978801628987,True
sqrt,role_depth_resonance_idx_inv_dist,relative-role-depth-source,2,29,0.691360653934538,role_depth_resonance_orig_idx_inv_dist,0.691360653934538,0.3834998388040472,True
square,mass_balance,relative-mass-balance-frontier,2,29,0.8382646612689392,out_deg,0.8395324442079827,0.7958793235693037,True
voter,index_mid,relative-mid-index,2,29,0.6138388035435037,inv_depth,0.6143579933500536,0.3886251840300444,True
