circuit,vector_seed,vectors,budget,method,method_value,static_value,oracle_value,row_ideal_ratio_raw,loss
adder,7089,128,0.05,standard_scoap_testability,4441.0,4365.0,5760.0,0.7710069444444444,False
adder,7089,128,0.1,standard_scoap_testability,8802.0,8720.0,11520.0,0.7640625,False
adder,7089,128,0.2,standard_scoap_testability,17353.0,17245.0,22912.0,0.7573760474860335,False
adder,7089,128,0.05,scoap_co_only,4405.0,4365.0,5760.0,0.7647569444444444,False
adder,7089,128,0.1,scoap_co_only,8775.0,8720.0,11520.0,0.76171875,False
adder,7089,128,0.2,scoap_co_only,17307.0,17245.0,22912.0,0.7553683659217877,False
adder,7089,128,0.05,scoap_min_fault_cost,4441.0,4365.0,5760.0,0.7710069444444444,False
adder,7089,128,0.1,scoap_min_fault_cost,8802.0,8720.0,11520.0,0.7640625,False
adder,7089,128,0.2,scoap_min_fault_cost,17353.0,17245.0,22912.0,0.7573760474860335,False
adder,7089,128,0.05,scoap_avg_fault_cost,4474.0,4365.0,5760.0,0.7767361111111111,False
adder,7089,128,0.1,scoap_avg_fault_cost,8823.0,8720.0,11520.0,0.7658854166666667,False
adder,7089,128,0.2,scoap_avg_fault_cost,17403.0,17245.0,22912.0,0.7595583100558659,False
adder,7089,128,0.05,scoap_worst_fault_cost,5001.0,4365.0,5760.0,0.8682291666666667,False
adder,7089,128,0.1,scoap_worst_fault_cost,10051.0,8720.0,11520.0,0.8724826388888889,False
adder,7089,128,0.2,scoap_worst_fault_cost,20014.0,17245.0,22912.0,0.8735160614525139,False
adder,7089,128,0.05,segr_structure_derived_selector,5760.0,4365.0,5760.0,1.0,False
adder,7089,128,0.1,segr_structure_derived_selector,11520.0,8720.0,11520.0,1.0,False
adder,7089,128,0.2,segr_structure_derived_selector,22912.0,17245.0,22912.0,1.0,False
arbiter,7089,128,0.05,standard_scoap_testability,42932.0,36110.0,43102.0,0.9960558674771472,False
arbiter,7089,128,0.1,standard_scoap_testability,56945.0,50079.0,57142.0,0.9965524482867243,False
arbiter,7089,128,0.2,standard_scoap_testability,63016.0,61694.0,63284.0,0.9957651223057961,False
arbiter,7089,128,0.05,scoap_co_only,42932.0,36110.0,43102.0,0.9960558674771472,False
arbiter,7089,128,0.1,scoap_co_only,56945.0,50079.0,57142.0,0.9965524482867243,False
arbiter,7089,128,0.2,scoap_co_only,63016.0,61694.0,63284.0,0.9957651223057961,False
arbiter,7089,128,0.05,scoap_min_fault_cost,42932.0,36110.0,43102.0,0.9960558674771472,False
arbiter,7089,128,0.1,scoap_min_fault_cost,56945.0,50079.0,57142.0,0.9965524482867243,False
arbiter,7089,128,0.2,scoap_min_fault_cost,63016.0,61694.0,63284.0,0.9957651223057961,False
arbiter,7089,128,0.05,scoap_avg_fault_cost,42932.0,36110.0,43102.0,0.9960558674771472,False
arbiter,7089,128,0.1,scoap_avg_fault_cost,56945.0,50079.0,57142.0,0.9965524482867243,False
arbiter,7089,128,0.2,scoap_avg_fault_cost,63016.0,61694.0,63284.0,0.9957651223057961,False
arbiter,7089,128,0.05,scoap_worst_fault_cost,2516.0,36110.0,43102.0,0.058373161338220965,True
arbiter,7089,128,0.1,scoap_worst_fault_cost,6213.0,50079.0,57142.0,0.10872913093696406,True
arbiter,7089,128,0.2,scoap_worst_fault_cost,12715.0,61694.0,63284.0,0.20091966373806966,True
arbiter,7089,128,0.05,segr_structure_derived_selector,36402.0,36110.0,43102.0,0.8445547770405085,False
arbiter,7089,128,0.1,segr_structure_derived_selector,53987.0,50079.0,57142.0,0.944786671800077,False
arbiter,7089,128,0.2,segr_structure_derived_selector,62691.0,61694.0,63284.0,0.9906295430124518,False
bar,7089,128,0.05,standard_scoap_testability,15463.0,15463.0,16311.0,0.9480105450309607,False
bar,7089,128,0.1,standard_scoap_testability,26551.0,28736.0,28736.0,0.9239629732739421,True
bar,7089,128,0.2,standard_scoap_testability,36104.0,39326.0,39500.0,0.9140253164556962,True
bar,7089,128,0.05,scoap_co_only,15463.0,15463.0,16311.0,0.9480105450309607,False
bar,7089,128,0.1,scoap_co_only,28736.0,28736.0,28736.0,1.0,False
bar,7089,128,0.2,scoap_co_only,39346.0,39326.0,39500.0,0.9961012658227848,False
bar,7089,128,0.05,scoap_min_fault_cost,15463.0,15463.0,16311.0,0.9480105450309607,False
bar,7089,128,0.1,scoap_min_fault_cost,26551.0,28736.0,28736.0,0.9239629732739421,True
bar,7089,128,0.2,scoap_min_fault_cost,36104.0,39326.0,39500.0,0.9140253164556962,True
bar,7089,128,0.05,scoap_avg_fault_cost,14614.0,15463.0,16311.0,0.8959597817423824,True
bar,7089,128,0.1,scoap_avg_fault_cost,28736.0,28736.0,28736.0,1.0,False
bar,7089,128,0.2,scoap_avg_fault_cost,39346.0,39326.0,39500.0,0.9961012658227848,False
bar,7089,128,0.05,scoap_worst_fault_cost,14493.0,15463.0,16311.0,0.888541475078168,True
bar,7089,128,0.1,scoap_worst_fault_cost,27880.0,28736.0,28736.0,0.9702115812917594,True
bar,7089,128,0.2,scoap_worst_fault_cost,39349.0,39326.0,39500.0,0.9961772151898735,False
bar,7089,128,0.05,segr_structure_derived_selector,15463.0,15463.0,16311.0,0.9480105450309607,False
bar,7089,128,0.1,segr_structure_derived_selector,28736.0,28736.0,28736.0,1.0,False
bar,7089,128,0.2,segr_structure_derived_selector,39346.0,39326.0,39500.0,0.9961012658227848,False
cavlc,7089,128,0.05,standard_scoap_testability,2285.0,2088.0,2488.0,0.9184083601286174,False
cavlc,7089,128,0.1,standard_scoap_testability,3132.0,2810.0,3300.0,0.9490909090909091,False
cavlc,7089,128,0.2,standard_scoap_testability,3772.0,3512.0,3979.0,0.9479768786127167,False
cavlc,7089,128,0.05,scoap_co_only,2175.0,2088.0,2488.0,0.8741961414790996,False
cavlc,7089,128,0.1,scoap_co_only,3164.0,2810.0,3300.0,0.9587878787878787,False
cavlc,7089,128,0.2,scoap_co_only,3798.0,3512.0,3979.0,0.9545111837145012,False
cavlc,7089,128,0.05,scoap_min_fault_cost,2285.0,2088.0,2488.0,0.9184083601286174,False
cavlc,7089,128,0.1,scoap_min_fault_cost,3132.0,2810.0,3300.0,0.9490909090909091,False
cavlc,7089,128,0.2,scoap_min_fault_cost,3772.0,3512.0,3979.0,0.9479768786127167,False
cavlc,7089,128,0.05,scoap_avg_fault_cost,2207.0,2088.0,2488.0,0.8870578778135049,False
cavlc,7089,128,0.1,scoap_avg_fault_cost,3026.0,2810.0,3300.0,0.916969696969697,False
cavlc,7089,128,0.2,scoap_avg_fault_cost,3778.0,3512.0,3979.0,0.949484795174667,False
cavlc,7089,128,0.05,scoap_worst_fault_cost,1855.0,2088.0,2488.0,0.7455787781350482,True
cavlc,7089,128,0.1,scoap_worst_fault_cost,2615.0,2810.0,3300.0,0.7924242424242425,True
cavlc,7089,128,0.2,scoap_worst_fault_cost,3764.0,3512.0,3979.0,0.9459663231967831,False
cavlc,7089,128,0.05,segr_structure_derived_selector,2088.0,2088.0,2488.0,0.8392282958199357,False
cavlc,7089,128,0.1,segr_structure_derived_selector,3038.0,2810.0,3300.0,0.9206060606060606,False
cavlc,7089,128,0.2,segr_structure_derived_selector,3750.0,3512.0,3979.0,0.9424478512188992,False
ctrl,7089,128,0.05,standard_scoap_testability,1152.0,1152.0,1152.0,1.0,False
ctrl,7089,128,0.1,standard_scoap_testability,1881.0,2123.0,2176.0,0.8644301470588235,True
ctrl,7089,128,0.2,standard_scoap_testability,3340.0,3423.0,3890.0,0.8586118251928021,True
ctrl,7089,128,0.05,scoap_co_only,1152.0,1152.0,1152.0,1.0,False
ctrl,7089,128,0.1,scoap_co_only,2058.0,2123.0,2176.0,0.9457720588235294,True
ctrl,7089,128,0.2,scoap_co_only,3388.0,3423.0,3890.0,0.8709511568123394,True
ctrl,7089,128,0.05,scoap_min_fault_cost,1152.0,1152.0,1152.0,1.0,False
ctrl,7089,128,0.1,scoap_min_fault_cost,1881.0,2123.0,2176.0,0.8644301470588235,True
ctrl,7089,128,0.2,scoap_min_fault_cost,3340.0,3423.0,3890.0,0.8586118251928021,True
ctrl,7089,128,0.05,scoap_avg_fault_cost,1034.0,1152.0,1152.0,0.8975694444444444,True
ctrl,7089,128,0.1,scoap_avg_fault_cost,1800.0,2123.0,2176.0,0.8272058823529411,True
ctrl,7089,128,0.2,scoap_avg_fault_cost,3242.0,3423.0,3890.0,0.8334190231362468,True
ctrl,7089,128,0.05,scoap_worst_fault_cost,1012.0,1152.0,1152.0,0.8784722222222222,True
ctrl,7089,128,0.1,scoap_worst_fault_cost,1697.0,2123.0,2176.0,0.7798713235294118,True
ctrl,7089,128,0.2,scoap_worst_fault_cost,3088.0,3423.0,3890.0,0.7938303341902314,True
ctrl,7089,128,0.05,segr_structure_derived_selector,1152.0,1152.0,1152.0,1.0,False
ctrl,7089,128,0.1,segr_structure_derived_selector,2123.0,2123.0,2176.0,0.9756433823529411,False
ctrl,7089,128,0.2,segr_structure_derived_selector,3423.0,3423.0,3890.0,0.8799485861182519,False
dec,7089,128,0.05,standard_scoap_testability,384.0,384.0,384.0,1.0,False
dec,7089,128,0.1,standard_scoap_testability,640.0,640.0,640.0,1.0,False
dec,7089,128,0.2,standard_scoap_testability,1280.0,1280.0,1280.0,1.0,False
dec,7089,128,0.05,scoap_co_only,384.0,384.0,384.0,1.0,False
dec,7089,128,0.1,scoap_co_only,640.0,640.0,640.0,1.0,False
dec,7089,128,0.2,scoap_co_only,1280.0,1280.0,1280.0,1.0,False
dec,7089,128,0.05,scoap_min_fault_cost,384.0,384.0,384.0,1.0,False
dec,7089,128,0.1,scoap_min_fault_cost,640.0,640.0,640.0,1.0,False
dec,7089,128,0.2,scoap_min_fault_cost,1280.0,1280.0,1280.0,1.0,False
dec,7089,128,0.05,scoap_avg_fault_cost,384.0,384.0,384.0,1.0,False
dec,7089,128,0.1,scoap_avg_fault_cost,640.0,640.0,640.0,1.0,False
dec,7089,128,0.2,scoap_avg_fault_cost,1280.0,1280.0,1280.0,1.0,False
dec,7089,128,0.05,scoap_worst_fault_cost,384.0,384.0,384.0,1.0,False
dec,7089,128,0.1,scoap_worst_fault_cost,640.0,640.0,640.0,1.0,False
dec,7089,128,0.2,scoap_worst_fault_cost,1280.0,1280.0,1280.0,1.0,False
dec,7089,128,0.05,segr_structure_derived_selector,384.0,384.0,384.0,1.0,False
dec,7089,128,0.1,segr_structure_derived_selector,640.0,640.0,640.0,1.0,False
dec,7089,128,0.2,segr_structure_derived_selector,1280.0,1280.0,1280.0,1.0,False
div,7089,128,0.05,standard_scoap_testability,66573.0,34215.0,120176.0,0.5539625216349354,False
div,7089,128,0.1,standard_scoap_testability,80580.0,47417.0,143757.0,0.5605292264028882,False
div,7089,128,0.2,standard_scoap_testability,86529.0,81956.0,151704.0,0.5703804777725043,False
div,7089,128,0.05,scoap_co_only,73094.0,34215.0,120176.0,0.608224603914259,False
div,7089,128,0.1,scoap_co_only,83617.0,47417.0,143757.0,0.5816551541837963,False
div,7089,128,0.2,scoap_co_only,88457.0,81956.0,151704.0,0.5830894373253177,False
div,7089,128,0.05,scoap_min_fault_cost,66573.0,34215.0,120176.0,0.5539625216349354,False
div,7089,128,0.1,scoap_min_fault_cost,80580.0,47417.0,143757.0,0.5605292264028882,False
div,7089,128,0.2,scoap_min_fault_cost,86529.0,81956.0,151704.0,0.5703804777725043,False
div,7089,128,0.05,scoap_avg_fault_cost,63437.0,34215.0,120176.0,0.5278674610571162,False
div,7089,128,0.1,scoap_avg_fault_cost,78780.0,47417.0,143757.0,0.5480080969970158,False
div,7089,128,0.2,scoap_avg_fault_cost,86114.0,81956.0,151704.0,0.5676448874123293,False
div,7089,128,0.05,scoap_worst_fault_cost,59071.0,34215.0,120176.0,0.4915374117960325,False
div,7089,128,0.1,scoap_worst_fault_cost,77375.0,47417.0,143757.0,0.538234659877432,False
div,7089,128,0.2,scoap_worst_fault_cost,85720.0,81956.0,151704.0,0.565047724516163,False
div,7089,128,0.05,segr_structure_derived_selector,89238.0,34215.0,120176.0,0.7425609106643589,False
div,7089,128,0.1,segr_structure_derived_selector,110055.0,47417.0,143757.0,0.7655627204240489,False
div,7089,128,0.2,segr_structure_derived_selector,117067.0,81956.0,151704.0,0.7716803775773875,False
hyp,7089,128,0.05,standard_scoap_testability,263681.0,764617.0,1316997.0,0.20021381977331762,True
hyp,7089,128,0.1,standard_scoap_testability,550729.0,1083944.0,2574553.0,0.21391247334974264,True
hyp,7089,128,0.2,standard_scoap_testability,1188638.0,1536353.0,4877593.0,0.2436935595077326,True
hyp,7089,128,0.05,scoap_co_only,261703.0,764617.0,1316997.0,0.19871191809852262,True
hyp,7089,128,0.1,scoap_co_only,549587.0,1083944.0,2574553.0,0.2134689012034322,True
hyp,7089,128,0.2,scoap_co_only,1190454.0,1536353.0,4877593.0,0.24406587429496476,True
hyp,7089,128,0.05,scoap_min_fault_cost,263681.0,764617.0,1316997.0,0.20021381977331762,True
hyp,7089,128,0.1,scoap_min_fault_cost,550729.0,1083944.0,2574553.0,0.21391247334974264,True
hyp,7089,128,0.2,scoap_min_fault_cost,1188638.0,1536353.0,4877593.0,0.2436935595077326,True
hyp,7089,128,0.05,scoap_avg_fault_cost,266417.0,764617.0,1316997.0,0.2022912732527105,True
hyp,7089,128,0.1,scoap_avg_fault_cost,552758.0,1083944.0,2574553.0,0.2147005713224781,True
hyp,7089,128,0.2,scoap_avg_fault_cost,1189070.0,1536353.0,4877593.0,0.24378212778310943,True
hyp,7089,128,0.05,scoap_worst_fault_cost,270522.0,764617.0,1316997.0,0.20540821277497215,True
hyp,7089,128,0.1,scoap_worst_fault_cost,554320.0,1083944.0,2574553.0,0.21530727858389398,True
hyp,7089,128,0.2,scoap_worst_fault_cost,1188531.0,1536353.0,4877593.0,0.24367162245804436,True
hyp,7089,128,0.05,segr_structure_derived_selector,1109611.0,764617.0,1316997.0,0.8425311523109013,False
hyp,7089,128,0.1,segr_structure_derived_selector,2157635.0,1083944.0,2574553.0,0.8380619859059029,False
hyp,7089,128,0.2,segr_structure_derived_selector,3559527.0,1536353.0,4877593.0,0.7297712211740504,False
i2c,7089,128,0.05,standard_scoap_testability,8704.0,8704.0,8704.0,1.0,False
i2c,7089,128,0.1,standard_scoap_testability,17181.0,17408.0,17408.0,0.9869600183823529,True
i2c,7089,128,0.2,standard_scoap_testability,27611.0,27645.0,28648.0,0.963802010611561,True
i2c,7089,128,0.05,scoap_co_only,8704.0,8704.0,8704.0,1.0,False
i2c,7089,128,0.1,scoap_co_only,17408.0,17408.0,17408.0,1.0,False
i2c,7089,128,0.2,scoap_co_only,27824.0,27645.0,28648.0,0.9712370846132365,False
i2c,7089,128,0.05,scoap_min_fault_cost,8704.0,8704.0,8704.0,1.0,False
i2c,7089,128,0.1,scoap_min_fault_cost,17181.0,17408.0,17408.0,0.9869600183823529,True
i2c,7089,128,0.2,scoap_min_fault_cost,27611.0,27645.0,28648.0,0.963802010611561,True
i2c,7089,128,0.05,scoap_avg_fault_cost,8704.0,8704.0,8704.0,1.0,False
i2c,7089,128,0.1,scoap_avg_fault_cost,15492.0,17408.0,17408.0,0.8899356617647058,True
i2c,7089,128,0.2,scoap_avg_fault_cost,26572.0,27645.0,28648.0,0.9275342083216979,True
i2c,7089,128,0.05,scoap_worst_fault_cost,8505.0,8704.0,8704.0,0.9771369485294118,True
i2c,7089,128,0.1,scoap_worst_fault_cost,14926.0,17408.0,17408.0,0.857421875,True
i2c,7089,128,0.2,scoap_worst_fault_cost,24404.0,27645.0,28648.0,0.8518570231778833,True
i2c,7089,128,0.05,segr_structure_derived_selector,8704.0,8704.0,8704.0,1.0,False
i2c,7089,128,0.1,segr_structure_derived_selector,17408.0,17408.0,17408.0,1.0,False
i2c,7089,128,0.2,segr_structure_derived_selector,27645.0,27645.0,28648.0,0.9649888299357722,False
int2float,7089,128,0.05,standard_scoap_testability,514.0,535.0,591.0,0.8697123519458545,True
int2float,7089,128,0.1,standard_scoap_testability,879.0,869.0,938.0,0.9371002132196162,False
int2float,7089,128,0.2,standard_scoap_testability,1219.0,1151.0,1324.0,0.9206948640483383,False
int2float,7089,128,0.05,scoap_co_only,496.0,535.0,591.0,0.8392554991539763,True
int2float,7089,128,0.1,scoap_co_only,863.0,869.0,938.0,0.920042643923241,True
int2float,7089,128,0.2,scoap_co_only,1239.0,1151.0,1324.0,0.9358006042296072,False
int2float,7089,128,0.05,scoap_min_fault_cost,514.0,535.0,591.0,0.8697123519458545,True
int2float,7089,128,0.1,scoap_min_fault_cost,879.0,869.0,938.0,0.9371002132196162,False
int2float,7089,128,0.2,scoap_min_fault_cost,1219.0,1151.0,1324.0,0.9206948640483383,False
int2float,7089,128,0.05,scoap_avg_fault_cost,531.0,535.0,591.0,0.8984771573604061,True
