circuit,vector_seed,vectors,method_ratio,loss_rows,random_mean,random_p05,random_p95,gate,random_passed,seconds,chosen_family,seed_eval_mode,engine,shard_count
adder,7089,256,1.0,0,0.8597042048966739,0.8406813629927063,0.8781120801973411,0.8597042048966739,True,0.7627275999839185,mass_balance,candidate_sharded,numba,1
arbiter,7089,256,0.927599674569048,0,0.12994515245868224,0.11584264270946118,0.14463750896148914,0.5,True,4.120622599977651,pdom_dist,candidate_sharded,numba,3
bar,7089,256,0.9909861011872689,0,0.2615993500498509,0.2383874740952218,0.2865690589545995,0.5,True,1.1967627999838442,pdom_dist,candidate_sharded,numba,1
cavlc,7089,256,0.8917901040416214,0,0.15546319031186215,0.10215172536177362,0.21617047703300943,0.5,True,0.9574319000093965,pdom_dist,candidate_sharded,numba,1
ctrl,7089,256,0.9438822530051849,0,0.4770214539022885,0.3753071545056767,0.5796536382733463,0.5,True,0.9027948000148172,pdom_dist,candidate_sharded,numba,1
dec,7089,256,1.0,0,1.0,1.0,1.0,1.0,True,0.8858849999814993,index_mid,candidate_sharded,numba,1
div,7089,256,0.7765187598792878,0,0.12242561806635337,0.11380930930165517,0.13113750210887787,0.5,True,121.22263689998363,inv_depth,candidate_sharded,numba,14
hyp,7089,256,0.8137705751803513,0,0.4408241271276699,0.4374545772160005,0.44419900474125296,0.5,True,18824.358993399946,index_mid,candidate_sharded,numba,53
i2c,7089,256,0.9901967846894548,0,0.28166229616336497,0.2420202871227125,0.3235159020614592,0.5,True,1.1201559000037378,pdom_dist,candidate_sharded,numba,1
int2float,7089,256,0.9329524691642977,0,0.19604913057735673,0.11620297133746424,0.2984210280993752,0.5,True,0.9326239999936661,pdom_dist,candidate_sharded,numba,1
log2,7089,256,0.6569785245048501,0,0.2461163231236876,0.2387065081290227,0.2541361508075368,0.5,True,143.92101510000066,sink_reach_near_pr,candidate_sharded,numba,8
max,7089,256,0.5172657826113336,0,0.20426294922419116,0.17363157887147154,0.23655881681385132,0.5,True,1.3059579999971902,pdom_dist,candidate_sharded,numba,1
mem_ctrl,7089,256,0.9123196455088508,0,0.1388693981335811,0.13259869449675277,0.1453607890334487,0.5,True,98.91446360004193,pdom_dist,candidate_sharded,numba,12
multiplier,7089,256,0.5928968355635006,0,0.27713823358191486,0.26856902583207215,0.28613612712179404,0.5,True,27.618032399986987,pdom_dist,candidate_sharded,numba,7
priority,7089,256,0.7184421409165633,0,0.3543830371716904,0.30010996705189896,0.4094152179200866,0.5,True,1.1486493999982486,wl3_common_dist,candidate_sharded,numba,1
router,7089,256,0.7581412843019539,0,0.12526420187848444,0.03422954108026599,0.2451450112126354,0.5,True,1.0168918999988819,pdom_dist,candidate_sharded,numba,1
sin,7089,256,0.7446721454093748,0,0.34268658244634354,0.3211926801638545,0.36538468216266184,0.5,True,4.468789699996705,mass_balance,candidate_sharded,numba,2
sqrt,7089,256,0.6871940731647013,0,0.19531250391756208,0.185021714631912,0.20589795221849286,0.5,True,121.43769920000341,role_depth_resonance_idx_inv_dist,candidate_sharded,numba,6
square,7089,256,0.838453827059878,0,0.7095509132328693,0.7007105922488555,0.7192695185890794,0.7095509132328693,True,14.864912800025195,mass_balance,candidate_sharded,numba,5
voter,7089,256,0.645600876998405,0,0.4177885409525014,0.4067946595703561,0.42978897646207015,0.5,True,13.856646699976409,index_mid,candidate_sharded,numba,4
