circuit,inputs,outputs,gates,nets,candidate_nodes,candidate_coverage,unresolved_wire_count,observed_output_count,batched_fault_seconds,seed_eval_mode,engine,chosen_family,protocol,shard_count,candidate_total
adder,256,129,1020,1276,892,892,0,129,0.7627275999839185,candidate_sharded,numba,mass_balance,epfl_gate_level_random_vector_stuck_at_candidate_sharded,1,892
arbiter,256,129,11839,12095,11711,11711,0,129,4.120622599977651,candidate_sharded,numba,pdom_dist,epfl_gate_level_random_vector_stuck_at_candidate_sharded,3,11711
bar,135,128,3336,3471,3208,3208,0,128,1.1967627999838442,candidate_sharded,numba,pdom_dist,epfl_gate_level_random_vector_stuck_at_candidate_sharded,1,3208
cavlc,10,11,693,703,682,682,0,11,0.9574319000093965,candidate_sharded,numba,pdom_dist,epfl_gate_level_random_vector_stuck_at_candidate_sharded,1,682
ctrl,7,26,175,182,164,164,0,26,0.9027948000148172,candidate_sharded,numba,pdom_dist,epfl_gate_level_random_vector_stuck_at_candidate_sharded,1,164
dec,8,256,304,312,48,48,0,256,0.8858849999814993,candidate_sharded,numba,index_mid,epfl_gate_level_random_vector_stuck_at_candidate_sharded,1,48
div,128,128,57247,57375,57119,57119,0,128,121.22263689998363,candidate_sharded,numba,inv_depth,epfl_gate_level_random_vector_stuck_at_candidate_sharded,14,57119
hyp,256,128,214335,214591,214207,214207,0,128,18824.358993399946,candidate_sharded,numba,index_mid,epfl_gate_level_random_vector_stuck_at_candidate_sharded,53,214207
i2c,147,142,1357,1504,1357,1357,0,142,1.1201559000037378,candidate_sharded,numba,pdom_dist,epfl_gate_level_random_vector_stuck_at_candidate_sharded,1,1357
int2float,11,7,260,271,253,253,0,7,0.9326239999936661,candidate_sharded,numba,pdom_dist,epfl_gate_level_random_vector_stuck_at_candidate_sharded,1,253
log2,32,32,32060,32092,32028,32028,0,32,143.92101510000066,candidate_sharded,numba,sink_reach_near_pr,epfl_gate_level_random_vector_stuck_at_candidate_sharded,8,32028
max,512,130,2865,3377,2735,2735,0,130,1.3059579999971902,candidate_sharded,numba,pdom_dist,epfl_gate_level_random_vector_stuck_at_candidate_sharded,1,2735
mem_ctrl,1204,1231,47110,48314,47110,47110,0,1231,98.91446360004193,candidate_sharded,numba,pdom_dist,epfl_gate_level_random_vector_stuck_at_candidate_sharded,12,47110
multiplier,128,128,27062,27190,26934,26934,0,128,27.618032399986987,candidate_sharded,numba,pdom_dist,epfl_gate_level_random_vector_stuck_at_candidate_sharded,7,26934
priority,128,8,978,1106,971,971,0,8,1.1486493999982486,candidate_sharded,numba,wl3_common_dist,epfl_gate_level_random_vector_stuck_at_candidate_sharded,1,971
router,60,30,284,344,254,254,0,30,1.0168918999988819,candidate_sharded,numba,pdom_dist,epfl_gate_level_random_vector_stuck_at_candidate_sharded,1,254
sin,24,25,5416,5440,5391,5391,0,25,4.468789699996705,candidate_sharded,numba,mass_balance,epfl_gate_level_random_vector_stuck_at_candidate_sharded,2,5391
sqrt,128,64,24618,24746,24554,24554,0,64,121.43769920000341,candidate_sharded,numba,role_depth_resonance_idx_inv_dist,epfl_gate_level_random_vector_stuck_at_candidate_sharded,6,24554
square,64,128,18486,18550,18358,18358,0,128,14.864912800025195,candidate_sharded,numba,mass_balance,epfl_gate_level_random_vector_stuck_at_candidate_sharded,5,18358
voter,1001,1,13758,14759,13758,13758,0,1,13.856646699976409,candidate_sharded,numba,index_mid,epfl_gate_level_random_vector_stuck_at_candidate_sharded,4,13758
