circuit,vector_seed,vectors,budget,method_value,static_value,oracle_value,row_ideal_ratio_raw,loss,chosen_family
adder,7089,256,0.05,11520.0,8790.0,11520.0,1.0,False,mass_balance
adder,7089,256,0.1,23040.0,17393.0,23040.0,1.0,False,mass_balance
adder,7089,256,0.2,45824.0,34497.0,45824.0,1.0,False,mass_balance
arbiter,7089,256,0.05,73600.0,73014.0,87070.0,0.8452968875617319,False,pdom_dist
arbiter,7089,256,0.1,109556.0,101764.0,115976.0,0.9446437193902186,False,pdom_dist
arbiter,7089,256,0.2,128042.0,125946.0,128963.0,0.9928584167551934,False,pdom_dist
bar,7089,256,0.05,30426.0,30426.0,31207.0,0.974973563623546,False,pdom_dist
bar,7089,256,0.1,57094.0,57094.0,57094.0,1.0,False,pdom_dist
bar,7089,256,0.2,85672.0,85596.0,85845.0,0.9979847399382609,False,pdom_dist
cavlc,7089,256,0.05,4123.0,4123.0,4979.0,0.8280779272946375,False,pdom_dist
cavlc,7089,256,0.1,6137.0,5653.0,6733.0,0.911480766374573,False,pdom_dist
cavlc,7089,256,0.2,7829.0,7243.0,8366.0,0.9358116184556539,False,pdom_dist
ctrl,7089,256,0.05,2304.0,2304.0,2304.0,1.0,False,pdom_dist
ctrl,7089,256,0.1,4243.0,4243.0,4352.0,0.9749540441176471,False,pdom_dist
ctrl,7089,256,0.2,6797.0,6797.0,7934.0,0.8566927148979078,False,pdom_dist
dec,7089,256,0.05,768.0,768.0,768.0,1.0,False,index_mid
dec,7089,256,0.1,1280.0,1280.0,1280.0,1.0,False,index_mid
dec,7089,256,0.2,2560.0,2560.0,2560.0,1.0,False,index_mid
div,7089,256,0.05,176379.0,67786.0,237490.0,0.7426796917764958,False,inv_depth
div,7089,256,0.1,218709.0,94875.0,277659.0,0.7876892159087225,False,inv_depth
div,7089,256,0.2,232490.0,152862.0,290908.0,0.7991873719526448,False,inv_depth
hyp,7089,256,0.05,2300183.0,1545905.0,2682760.0,0.8573942506970433,False,index_mid
hyp,7089,256,0.1,4502809.0,2081795.0,5287378.0,0.8516147322926411,False,index_mid
hyp,7089,256,0.2,7406466.0,2848885.0,10113940.0,0.7323027425513697,False,index_mid
i2c,7089,256,0.05,17408.0,17408.0,17408.0,1.0,False,pdom_dist
i2c,7089,256,0.1,34816.0,34816.0,34816.0,1.0,False,pdom_dist
i2c,7089,256,0.2,53893.0,53893.0,55526.0,0.9705903540683644,False,pdom_dist
int2float,7089,256,0.05,1246.0,1246.0,1353.0,0.9209164818920916,False,pdom_dist
int2float,7089,256,0.1,2021.0,2021.0,2152.0,0.9391263940520446,False,pdom_dist
int2float,7089,256,0.2,2946.0,2815.0,3138.0,0.9388145315487572,False,pdom_dist
log2,7089,256,0.05,271307.0,102097.0,393911.0,0.6887520277423073,False,sink_reach_near_pr
log2,7089,256,0.1,450694.0,153246.0,706247.0,0.6381535072007386,False,sink_reach_near_pr
log2,7089,256,0.2,739512.0,295367.0,1148257.0,0.6440300385715044,False,sink_reach_near_pr
max,7089,256,0.05,18029.0,18029.0,32682.0,0.5516492258735696,False,pdom_dist
max,7089,256,0.1,34621.0,34000.0,64784.0,0.5344066436157076,False,pdom_dist
max,7089,256,0.2,55542.0,36299.0,119255.0,0.4657414783447235,False,pdom_dist
mem_ctrl,7089,256,0.05,522562.0,522562.0,571437.0,0.9144700115673294,False,pdom_dist
mem_ctrl,7089,256,0.1,780505.0,774810.0,870362.0,0.8967590496827756,False,pdom_dist
mem_ctrl,7089,256,0.2,937208.0,906289.0,1012399.0,0.9257298752764473,False,pdom_dist
multiplier,7089,256,0.05,216831.0,118239.0,341865.0,0.6342591373787899,False,pdom_dist
multiplier,7089,256,0.1,373996.0,191565.0,649103.0,0.5761735810803524,False,pdom_dist
multiplier,7089,256,0.2,625262.0,320589.0,1100314.0,0.5682577882313594,False,pdom_dist
priority,7089,256,0.05,6093.0,5756.0,8667.0,0.7030114226375909,False,wl3_common_dist
priority,7089,256,0.1,11484.0,10095.0,15975.0,0.7188732394366197,False,wl3_common_dist
priority,7089,256,0.2,21195.0,20157.0,28898.0,0.7334417606754793,False,wl3_common_dist
router,7089,256,0.05,1556.0,1063.0,2286.0,0.6806649168853893,False,pdom_dist
router,7089,256,0.1,2209.0,1910.0,2877.0,0.767813694820994,False,pdom_dist
router,7089,256,0.2,2534.0,2276.0,3068.0,0.8259452411994785,False,pdom_dist
sin,7089,256,0.05,53663.0,31740.0,69120.0,0.7763744212962963,False,mass_balance
sin,7089,256,0.1,102813.0,57937.0,137674.0,0.7467858854976248,False,mass_balance
sin,7089,256,0.2,185982.0,111768.0,261631.0,0.7108561294342032,False,mass_balance
sqrt,7089,256,0.05,38873.0,11964.0,72121.0,0.5389969634364471,False,role_depth_resonance_idx_inv_dist
sqrt,7089,256,0.1,80466.0,26081.0,111782.0,0.7198475604301229,False,role_depth_resonance_idx_inv_dist
sqrt,7089,256,0.2,128898.0,54046.0,160573.0,0.8027376956275339,False,role_depth_resonance_idx_inv_dist
square,7089,256,0.05,203886.0,181065.0,235008.0,0.8675704656862745,False,mass_balance
square,7089,256,0.1,391482.0,343549.0,470016.0,0.8329120710784313,False,mass_balance
square,7089,256,0.2,763817.0,657176.0,937338.0,0.8148789444149283,False,mass_balance
voter,7089,256,0.05,41694.0,35381.0,70816.0,0.5887652507907818,False,index_mid
voter,7089,256,0.1,82273.0,74427.0,129046.0,0.6375478511538522,False,index_mid
voter,7089,256,0.2,160609.0,156835.0,226054.0,0.7104895290505808,False,index_mid
