circuit,vector_seed,vectors,method_ratio,loss_rows,random_mean,random_p05,random_p95,gate,random_passed,seconds,chosen_family
adder,7089,32,1.0,0,0.8584735160614525,0.8385860555038279,0.8780151432857438,0.8584735160614525,True,0.5506013999984134,mass_balance
arbiter,7089,32,0.9180001848096057,0,0.1268096583406608,0.11260738994539664,0.1420980165003398,0.5,True,0.08379220000642817,pdom_dist
bar,7089,32,0.9877225948737005,0,0.20845343260554844,0.18590433158946015,0.2319460548830358,0.5,True,0.06124699999054428,pdom_dist
cavlc,7089,32,0.88308273797492,0,0.1495263007455303,0.09585336247875889,0.21154285170308132,0.5,True,0.0329082000098424,pdom_dist
ctrl,7089,32,0.945133141196177,0,0.476616285471475,0.37294873400225526,0.5797332694244643,0.5,True,0.029230900006950833,pdom_dist
dec,7089,32,1.0,0,1.0,1.0,1.0,1.0,True,0.02003859999240376,index_mid
div,7089,32,0.7356205916083071,0,0.12177152033008258,0.11353543614131961,0.13049751237598106,0.5,True,3.5518544999940787,inv_depth
hyp,7089,32,0.8144426308817239,0,0.42005037024471314,0.4163009209752511,0.42380564298585316,0.5,True,5359.446727699993,index_mid
i2c,7089,32,0.986895301826293,0,0.2904378089886537,0.25062114386175144,0.3315564579728448,0.5,True,0.05042970000067726,pdom_dist
int2float,7089,32,0.9069381359703941,0,0.18316627139207783,0.10232246683859587,0.2834908842973359,0.5,True,0.028775400001904927,pdom_dist
log2,7089,32,0.6342897733015482,0,0.2565569263718156,0.24843167738525213,0.26467501734006166,0.5,True,16.129000000000815,sink_reach_near_pr
max,7089,32,0.5228178002181115,0,0.20642211324001342,0.17663299685222197,0.23871843046561927,0.5,True,0.05570860000443645,pdom_dist
mem_ctrl,7089,32,0.904259809789869,0,0.13902012271353767,0.13272818590104785,0.14548573422063252,0.5,True,0.28995069999655243,pdom_dist
multiplier,7089,32,0.5878627105441296,0,0.2694161352012535,0.2606233111324086,0.2789353623517865,0.5,True,0.5230489999958081,pdom_dist
priority,7089,32,0.6834748562977995,1,0.34374686803955556,0.2890619342334783,0.3989890936980624,0.5,True,0.03939949999039527,wl3_common_dist
router,7089,32,0.7647315619560856,0,0.12274528026665558,0.030649749939310838,0.24534067858840014,0.5,True,0.029241199983516708,pdom_dist
sin,7089,32,0.7512342541199237,0,0.34215664669198337,0.32038534730700724,0.365192557650294,0.5,True,0.3744336999952793,mass_balance
sqrt,7089,32,0.6191533260419981,0,0.1458412766773827,0.1278518659628174,0.16476704914626414,0.5,True,1.9391101999935927,role_depth_resonance_idx_inv_dist
square,7089,32,0.8374665259622367,0,0.7086912530637254,0.6991876872276689,0.718559084513435,0.7086912530637254,True,0.3581819999963045,mass_balance
voter,7089,32,0.5703285441914271,0,0.37976462337860845,0.36840402906033676,0.3914891716758011,0.5,True,0.978812300003483,index_mid
