circuit,chosen_family,seed_ratio_mean,seed_ratio_std,seed_ratio_min,seed_ratio_max,loss_rows_total,random_gate_fail_total,seconds,seed_seconds_mean,batched_fault_seconds,seed_eval_mode,engine,count_mode,inputs,outputs,gates,nets,candidate_nodes,candidate_coverage,unresolved_wire_count,observed_output_count
adder,mass_balance,1.0,0.0,1.0,1.0,0,0,0.6078267999982927,0.5506013999984134,0.5186038000101689,separate,numba,opposite_flip,256,129,1020,1276,892,892,0,129
arbiter,pdom_dist,0.9180001848096057,0.0,0.9180001848096057,0.9180001848096057,0,0,0.8211456999997608,0.08379220000642817,0.009815299999900162,separate,numba,opposite_flip,256,129,11839,12095,11711,11711,0,129
bar,pdom_dist,0.9877225948737005,0.0,0.9877225948737005,0.9877225948737005,0,0,0.2529797999886796,0.06124699999054428,0.0038443999947048724,separate,numba,opposite_flip,135,128,3336,3471,3208,3208,0,128
cavlc,pdom_dist,0.88308273797492,0.0,0.88308273797492,0.88308273797492,0,0,0.07547779999731574,0.0329082000098424,0.0008832000021357089,separate,numba,opposite_flip,10,11,693,703,682,682,0,11
ctrl,pdom_dist,0.945133141196177,0.0,0.945133141196177,0.945133141196177,0,0,0.04153099999530241,0.029230900006950833,0.00043559999903663993,separate,numba,opposite_flip,7,26,175,182,164,164,0,26
dec,index_mid,1.0,0.0,1.0,1.0,0,0,0.03283670000382699,0.02003859999240376,0.0003215999895473942,separate,numba,opposite_flip,8,256,304,312,48,48,0,256
div,inv_depth,0.7356205916083071,0.0,0.7356205916083071,0.7356205916083071,0,0,7.29727960001037,3.5518544999940787,3.3015965999948094,separate,numba,opposite_flip,128,128,57247,57375,57119,57119,0,128
hyp,index_mid,0.8144426308817239,0.0,0.8144426308817239,0.8144426308817239,0,0,5375.604234800005,5359.446727699993,5356.792442699996,separate,numba,opposite_flip,256,128,214335,214591,214207,214207,0,128
i2c,pdom_dist,0.986895301826293,0.0,0.986895301826293,0.986895301826293,0,0,0.4317488999950001,0.05042970000067726,0.0027619000029517338,separate,numba,opposite_flip,147,142,1357,1504,1357,1357,0,142
int2float,pdom_dist,0.9069381359703941,0.0,0.9069381359703941,0.9069381359703941,0,0,0.05162620000191964,0.028775400001904927,0.0004076999903190881,separate,numba,opposite_flip,11,7,260,271,253,253,0,7
log2,sink_reach_near_pr,0.6342897733015482,0.0,0.6342897733015482,0.6342897733015482,0,0,18.109187099995324,16.129000000000815,15.934801600000355,separate,numba,opposite_flip,32,32,32060,32092,32028,32028,0,32
max,pdom_dist,0.5228178002181115,0.0,0.5228178002181115,0.5228178002181115,0,0,0.36216520000016317,0.05570860000443645,0.007703299997956492,separate,numba,opposite_flip,512,130,2865,3377,2735,2735,0,130
mem_ctrl,pdom_dist,0.904259809789869,0.0,0.904259809789869,0.904259809789869,0,0,4.716332399999374,0.28995069999655243,0.057376500000827946,separate,numba,opposite_flip,1204,1231,47110,48314,47110,47110,0,1231
multiplier,pdom_dist,0.5878627105441296,0.0,0.5878627105441296,0.5878627105441296,0,0,2.420849800008,0.5230489999958081,0.3456086000078358,separate,numba,opposite_flip,128,128,27062,27190,26934,26934,0,128
priority,wl3_common_dist,0.6834748562977995,0.0,0.6834748562977995,0.6834748562977995,1,0,0.13957179999852087,0.03939949999039527,0.0037699000095017254,separate,numba,opposite_flip,128,8,978,1106,971,971,0,8
router,pdom_dist,0.7647315619560856,0.0,0.7647315619560856,0.7647315619560856,0,0,0.05466199999500532,0.029241199983516708,0.0011535999947227538,separate,numba,opposite_flip,60,30,284,344,254,254,0,30
sin,mass_balance,0.7512342541199237,0.0,0.7512342541199237,0.7512342541199237,0,0,0.681000500000664,0.3744336999952793,0.2998988999897847,separate,numba,opposite_flip,24,25,5416,5440,5391,5391,0,25
sqrt,role_depth_resonance_idx_inv_dist,0.6191533260419981,0.0,0.6191533260419981,0.6191533260419981,0,0,3.5180815999920014,1.9391101999935927,1.8162383000017144,separate,numba,opposite_flip,128,64,24618,24746,24554,24554,0,64
square,mass_balance,0.8374665259622367,0.0,0.8374665259622367,0.8374665259622367,0,0,1.5980185000080382,0.3581819999963045,0.21041139999579173,separate,numba,opposite_flip,64,128,18486,18550,18358,18358,0,128
voter,index_mid,0.5703285441914271,0.0,0.5703285441914271,0.5703285441914271,0,0,1.915243700001156,0.978812300003483,0.87071350000042,separate,numba,opposite_flip,1001,1,13758,14759,13758,13758,0,1
