circuit,inputs,outputs,gates,nets,candidate_nodes,candidate_coverage,unresolved_wire_count,observed_output_count,batched_fault_seconds,seed_eval_mode,engine,count_mode,chosen_family,protocol
adder,256,129,1020,1276,892,892,0,129,0.5275154000119073,separate,numba,opposite_flip,mass_balance,epfl_gate_level_random_vector_stuck_at
arbiter,256,129,11839,12095,11711,11711,0,129,0.010690399998566136,separate,numba,opposite_flip,pdom_dist,epfl_gate_level_random_vector_stuck_at
bar,135,128,3336,3471,3208,3208,0,128,0.004601199994795024,separate,numba,opposite_flip,pdom_dist,epfl_gate_level_random_vector_stuck_at
cavlc,10,11,693,703,682,682,0,11,0.0008014999912120402,separate,numba,opposite_flip,pdom_dist,epfl_gate_level_random_vector_stuck_at
ctrl,7,26,175,182,164,164,0,26,0.00036449999606702477,separate,numba,opposite_flip,pdom_dist,epfl_gate_level_random_vector_stuck_at
dec,8,256,304,312,48,48,0,256,0.00034950001281686127,separate,numba,opposite_flip,index_mid,epfl_gate_level_random_vector_stuck_at
div,128,128,57247,57375,57119,57119,0,128,5.091081299993675,separate,numba,opposite_flip,inv_depth,epfl_gate_level_random_vector_stuck_at
hyp,256,128,214335,214591,214207,214207,0,128,5519.519719499993,separate,numba,opposite_flip,index_mid,epfl_gate_level_random_vector_stuck_at
i2c,147,142,1357,1504,1357,1357,0,142,0.003085999996983446,separate,numba,opposite_flip,pdom_dist,epfl_gate_level_random_vector_stuck_at
int2float,11,7,260,271,253,253,0,7,0.0004888999974355102,separate,numba,opposite_flip,pdom_dist,epfl_gate_level_random_vector_stuck_at
log2,32,32,32060,32092,32028,32028,0,32,22.649091800005408,separate,numba,opposite_flip,sink_reach_near_pr,epfl_gate_level_random_vector_stuck_at
max,512,130,2865,3377,2735,2735,0,130,0.010339100001147017,separate,numba,opposite_flip,pdom_dist,epfl_gate_level_random_vector_stuck_at
mem_ctrl,1204,1231,47110,48314,47110,47110,0,1231,0.07418560000951402,separate,numba,opposite_flip,pdom_dist,epfl_gate_level_random_vector_stuck_at
multiplier,128,128,27062,27190,26934,26934,0,128,0.6171300999994855,separate,numba,opposite_flip,pdom_dist,epfl_gate_level_random_vector_stuck_at
priority,128,8,978,1106,971,971,0,8,0.004266999996616505,separate,numba,opposite_flip,wl3_common_dist,epfl_gate_level_random_vector_stuck_at
router,60,30,284,344,254,254,0,30,0.0012878999987151474,separate,numba,opposite_flip,pdom_dist,epfl_gate_level_random_vector_stuck_at
sin,24,25,5416,5440,5391,5391,0,25,0.37398030000622384,separate,numba,opposite_flip,mass_balance,epfl_gate_level_random_vector_stuck_at
sqrt,128,64,24618,24746,24554,24554,0,64,12.135281199996825,separate,numba,opposite_flip,role_depth_resonance_idx_inv_dist,epfl_gate_level_random_vector_stuck_at
square,64,128,18486,18550,18358,18358,0,128,0.2542039999971166,separate,numba,opposite_flip,mass_balance,epfl_gate_level_random_vector_stuck_at
voter,1001,1,13758,14759,13758,13758,0,1,1.0763452999963192,separate,numba,opposite_flip,index_mid,epfl_gate_level_random_vector_stuck_at
