source,method,budget,H_method,H_static,O,oracle_count_weighted_ideal_ratio,static_oracle_count_weighted_ratio,rows
epfl20_seed7089_128rv_scoap_supplemental,scoap_avg_fault_cost,0.05,1020873.0,1380042.0,2412643.0,0.42313471160051447,0.5720042293866104,20
epfl20_seed7089_128rv_scoap_supplemental,scoap_avg_fault_cost,0.1,1808250.0,2073823.0,4414693.0,0.40959813060613726,0.4697547485181869,20
epfl20_seed7089_128rv_scoap_supplemental,scoap_avg_fault_cost,0.2,3077268.0,3045338.0,7685130.0,0.40041847047480006,0.3962636936525472,20
epfl20_seed7089_128rv_scoap_supplemental,scoap_co_only,0.05,1082313.0,1380042.0,2412643.0,0.4486005596352216,0.5720042293866104,20
epfl20_seed7089_128rv_scoap_supplemental,scoap_co_only,0.1,1866024.0,2073823.0,4414693.0,0.4226848843169842,0.4697547485181869,20
epfl20_seed7089_128rv_scoap_supplemental,scoap_co_only,0.2,3140141.0,3045338.0,7685130.0,0.408599594281424,0.3962636936525472,20
epfl20_seed7089_128rv_scoap_supplemental,scoap_min_fault_cost,0.05,1053603.0,1380042.0,2412643.0,0.4367007468572847,0.5720042293866104,20
epfl20_seed7089_128rv_scoap_supplemental,scoap_min_fault_cost,0.1,1835824.0,2073823.0,4414693.0,0.4158440915370559,0.4697547485181869,20
epfl20_seed7089_128rv_scoap_supplemental,scoap_min_fault_cost,0.2,3106023.0,3045338.0,7685130.0,0.40416011180032085,0.3962636936525472,20
epfl20_seed7089_128rv_scoap_supplemental,scoap_worst_fault_cost,0.05,965749.0,1380042.0,2412643.0,0.4002867394803127,0.5720042293866104,20
epfl20_seed7089_128rv_scoap_supplemental,scoap_worst_fault_cost,0.1,1711352.0,2073823.0,4414693.0,0.38764915250052495,0.4697547485181869,20
epfl20_seed7089_128rv_scoap_supplemental,scoap_worst_fault_cost,0.2,2988742.0,3045338.0,7685130.0,0.3888993419759978,0.3962636936525472,20
epfl20_seed7089_128rv_scoap_supplemental,segr_structure_derived_selector,0.05,1954938.0,1380042.0,2412643.0,0.8102889652551165,0.5720042293866104,20
epfl20_seed7089_128rv_scoap_supplemental,segr_structure_derived_selector,0.1,3537609.0,2073823.0,4414693.0,0.8013261624307738,0.4697547485181869,20
epfl20_seed7089_128rv_scoap_supplemental,segr_structure_derived_selector,0.2,5639681.0,3045338.0,7685130.0,0.7338432791637878,0.3962636936525472,20
epfl20_seed7089_128rv_scoap_supplemental,standard_scoap_testability,0.05,1053603.0,1380042.0,2412643.0,0.4367007468572847,0.5720042293866104,20
epfl20_seed7089_128rv_scoap_supplemental,standard_scoap_testability,0.1,1835824.0,2073823.0,4414693.0,0.4158440915370559,0.4697547485181869,20
epfl20_seed7089_128rv_scoap_supplemental,standard_scoap_testability,0.2,3106023.0,3045338.0,7685130.0,0.40416011180032085,0.3962636936525472,20
