node,static_rank,cache_struct_rank,gnn_rank,gnn_reliable,effective_gnn_weight,effective_struct_weight,static_freedom,residual_score,final_score,global_rank,chosen_family,family_reason,family_score,circuit
n386,0.4153287788215201,0.018915456874466267,0.9465841161400512,True,0.5285134178565376,0.47148658214346234,0.5846712211784799,0.5092007906213124,0.41585297920244985,3981,pdom_dist,relative-pdom-static-aligned,4.2650660406445845e-10,arbiter
n387,0.4153287788215201,0.05392826643894107,0.9283518360375748,True,0.5285134178565376,0.47148658214346234,0.5846712211784799,0.5160728558618289,0.4162445041664577,3213,pdom_dist,relative-pdom-static-aligned,6.26247645770138e-10,arbiter
n388,0.4153287788215201,0.04312553373185312,0.9571733561058924,True,0.5285134178565376,0.47148658214346234,0.5846712211784799,0.526212072419082,0.41682216986937354,3557,pdom_dist,relative-pdom-static-aligned,5.030820897419402e-10,arbiter
n389,0.4153287788215201,0.06938514090520922,0.8933817250213493,True,0.5285134178565376,0.47148658214346234,0.5846712211784799,0.5048783918785424,0.41560671742335425,11656,pdom_dist,relative-pdom-static-aligned,0.0,arbiter
n390,0.4153287788215201,0.018915456874466267,0.9465841161400512,True,0.5285134178565376,0.47148658214346234,0.5846712211784799,0.5092007906213124,0.41585297920244985,3980,pdom_dist,relative-pdom-static-aligned,4.2650660406445845e-10,arbiter
n391,0.4153287788215201,0.05392826643894107,0.9309137489325363,True,0.5285134178565376,0.47148658214346234,0.5846712211784799,0.5174268612021958,0.4163216464626379,3212,pdom_dist,relative-pdom-static-aligned,6.26247645770138e-10,arbiter
n392,0.4153287788215201,0.9962852263023058,0.992399658411614,True,0.5285134178565376,0.47148658214346234,0.5846712211784799,0.9942316515360825,0.4434868394345565,2443,pdom_dist,relative-pdom-static-aligned,1.0632433099807869e-09,arbiter
n393,0.4153287788215201,0.09163108454312553,0.9084543125533732,True,0.5285134178565376,0.47148658214346234,0.5846712211784799,0.5233331205634314,0.4166581461760276,11527,pdom_dist,relative-pdom-static-aligned,1.022461253167603e-14,arbiter
n394,0.4153287788215201,0.029675491033304868,0.9656276686592656,True,0.5285134178565376,0.47148658214346234,0.5846712211784799,0.5243387753806705,0.41671544175637254,2571,pdom_dist,relative-pdom-static-aligned,9.908034820724348e-10,arbiter
n395,0.4153287788215201,0.02425277540563621,0.9377455166524338,True,0.5285134178565376,0.47148658214346234,0.5846712211784799,0.5070459462691189,0.4157302103799915,3622,pdom_dist,relative-pdom-static-aligned,4.980458939809096e-10,arbiter
n396,0.4153287788215201,0.9846285226302306,0.9804440649017934,True,0.5285134178565376,0.47148658214346234,0.5846712211784799,0.9824169805742979,0.4428137173873727,2954,pdom_dist,relative-pdom-static-aligned,7.771991062867445e-10,arbiter
n397,0.4153287788215201,0.11306575576430401,0.8821093082835184,True,0.5285134178565376,0.47148658214346234,0.5846712211784799,0.5195155921867677,0.4164406485813511,11399,pdom_dist,relative-pdom-static-aligned,4.1898996091866116e-14,arbiter
n398,0.4153287788215201,0.013578138343296327,0.9519214346712211,True,0.5285134178565376,0.47148658214346234,0.5846712211784799,0.5095051610083378,0.4158703202201286,3979,pdom_dist,relative-pdom-static-aligned,4.2650660406445845e-10,arbiter
n399,0.4153287788215201,0.04859094790777114,0.9230572160546542,True,0.5285134178565376,0.47148658214346234,0.5846712211784799,0.5107581040863318,0.41594170465498864,3211,pdom_dist,relative-pdom-static-aligned,6.26247645770138e-10,arbiter
n400,0.4153287788215201,0.9910333048676345,0.9914602903501281,True,0.5285134178565376,0.47148658214346234,0.5846712211784799,0.9912589724243622,0.44331747578018355,2442,pdom_dist,relative-pdom-static-aligned,1.0632433099807869e-09,arbiter
n401,0.4153287788215201,0.1330059777967549,0.8552946199829206,True,0.5285134178565376,0.47148658214346234,0.5846712211784799,0.514745216757523,0.41616886404455317,11270,pdom_dist,relative-pdom-static-aligned,9.660760344880694e-14,arbiter
n402,0.4153287788215201,0.035098206660973526,0.9708795900939368,True,0.5285134178565376,0.47148658214346234,0.5846712211784799,0.529671223985648,0.4170192495164951,2570,pdom_dist,relative-pdom-static-aligned,9.908034820724348e-10,arbiter
n403,0.4153287788215201,0.04312553373185312,0.9571733561058924,True,0.5285134178565376,0.47148658214346234,0.5846712211784799,0.526212072419082,0.41682216986937354,3556,pdom_dist,relative-pdom-static-aligned,5.030820897419402e-10,arbiter
n404,0.4153287788215201,0.9793766011955594,0.9790777113578139,True,0.5285134178565376,0.47148658214346234,0.5846712211784799,0.9792186339058497,0.4426314966836364,2953,pdom_dist,relative-pdom-static-aligned,7.771991062867445e-10,arbiter
n405,0.4153287788215201,0.1523057216054654,0.8453031596925704,True,0.5285134178565376,0.47148658214346234,0.5846712211784799,0.5185641661747056,0.41638644260074825,11142,pdom_dist,relative-pdom-static-aligned,1.7605385619568714e-13,arbiter
n406,0.4153287788215201,0.018915456874466267,0.9465841161400512,True,0.5285134178565376,0.47148658214346234,0.5846712211784799,0.5092007906213124,0.41585297920244985,3978,pdom_dist,relative-pdom-static-aligned,4.2650660406445845e-10,arbiter
n407,0.4153287788215201,0.05392826643894107,0.9283518360375748,True,0.5285134178565376,0.47148658214346234,0.5846712211784799,0.5160728558618289,0.4162445041664577,3210,pdom_dist,relative-pdom-static-aligned,6.26247645770138e-10,arbiter
n408,0.4153287788215201,0.9962852263023058,0.9906917164816397,True,0.5285134178565376,0.47148658214346234,0.5846712211784799,0.9933289813091712,0.44343541123710306,2441,pdom_dist,relative-pdom-static-aligned,1.0632433099807869e-09,arbiter
n409,0.4153287788215201,0.16810418445772843,0.8363791631084543,True,0.5285134178565376,0.47148658214346234,0.5846712211784799,0.5212964774924282,0.41654211168316946,11013,pdom_dist,relative-pdom-static-aligned,2.820702058257782e-13,arbiter
n410,0.4153287788215201,0.029675491033304868,0.9656276686592656,True,0.5285134178565376,0.47148658214346234,0.5846712211784799,0.5243387753806705,0.41671544175637254,2569,pdom_dist,relative-pdom-static-aligned,9.908034820724348e-10,arbiter
n411,0.4153287788215201,0.02425277540563621,0.9377455166524338,True,0.5285134178565376,0.47148658214346234,0.5846712211784799,0.5070459462691189,0.4157302103799915,3621,pdom_dist,relative-pdom-static-aligned,4.980458939809096e-10,arbiter
n412,0.4153287788215201,0.9846285226302306,0.9785653287788215,True,0.5285134178565376,0.47148658214346234,0.5846712211784799,0.9814240433246957,0.4427571463701739,2952,pdom_dist,relative-pdom-static-aligned,7.771991062867445e-10,arbiter
n413,0.4153287788215201,0.18368915456874466,0.8274124679760888,True,0.5285134178565376,0.47148658214346234,0.5846712211784799,0.5239055630915952,0.4166907601766797,10885,pdom_dist,relative-pdom-static-aligned,4.166291646999642e-13,arbiter
n414,0.4153287788215201,0.013578138343296327,0.9519214346712211,True,0.5285134178565376,0.47148658214346234,0.5846712211784799,0.5095051610083378,0.4158703202201286,3977,pdom_dist,relative-pdom-static-aligned,4.2650660406445845e-10,arbiter
n415,0.4153287788215201,0.04859094790777114,0.9192997438087105,True,0.5285134178565376,0.47148658214346234,0.5846712211784799,0.508772229587127,0.415828562620591,3209,pdom_dist,relative-pdom-static-aligned,6.26247645770138e-10,arbiter
n416,0.4153287788215201,0.9910333048676345,0.9900939368061485,True,0.5285134178565376,0.47148658214346234,0.5846712211784799,0.9905368362428333,0.4432763332222208,2440,pdom_dist,relative-pdom-static-aligned,1.0632433099807869e-09,arbiter
n417,0.4153287788215201,0.20051238257899232,0.7478223740392826,True,0.5285134178565376,0.47148658214346234,0.5846712211784799,0.4897730567927027,0.4147461150325415,10757,pdom_dist,relative-pdom-static-aligned,5.818554130085347e-13,arbiter
n418,0.4153287788215201,0.4122117847993168,0.9742954739538856,True,0.5285134178565376,0.47148658214346234,0.5846712211784799,0.7092805564758096,0.4272522049640192,2568,pdom_dist,relative-pdom-static-aligned,9.908034820724348e-10,arbiter
n419,0.4153287788215201,0.04312553373185312,0.956532877882152,True,0.5285134178565376,0.47148658214346234,0.5846712211784799,0.5258735710839902,0.41680288429532847,3555,pdom_dist,relative-pdom-static-aligned,5.030820897419402e-10,arbiter
n420,0.4153287788215201,0.9997438087105038,0.9975234842015371,True,0.5285134178565376,0.47148658214346234,0.5846712211784799,0.9985703374155193,0.44373402914730437,2951,pdom_dist,relative-pdom-static-aligned,7.771991062867445e-10,arbiter
n421,0.4153287788215201,0.25721605465414177,0.7046968403074295,True,0.5285134178565376,0.47148658214346234,0.5846712211784799,0.49371565410488955,0.41497073823047775,10628,pdom_dist,relative-pdom-static-aligned,7.800391008973617e-13,arbiter
n422,0.4153287788215201,0.018915456874466267,0.9465841161400512,True,0.5285134178565376,0.47148658214346234,0.5846712211784799,0.5092007906213124,0.41585297920244985,3976,pdom_dist,relative-pdom-static-aligned,4.2650660406445845e-10,arbiter
n423,0.4153287788215201,0.05392826643894107,0.9283518360375748,True,0.5285134178565376,0.47148658214346234,0.5846712211784799,0.5160728558618289,0.4162445041664577,3208,pdom_dist,relative-pdom-static-aligned,6.26247645770138e-10,arbiter
n424,0.4153287788215201,0.9962852263023058,0.9912040990606319,True,0.5285134178565376,0.47148658214346234,0.5846712211784799,0.9935997823772447,0.4434508396963391,2439,pdom_dist,relative-pdom-static-aligned,1.0632433099807869e-09,arbiter
n425,0.4153287788215201,0.2835610589239966,0.7172502134927412,True,0.5285134178565376,0.47148658214346234,0.5846712211784799,0.512771596292436,0.41605642016421823,10500,pdom_dist,relative-pdom-static-aligned,1.013650479794568e-12,arbiter
n426,0.4153287788215201,0.029675491033304868,0.9656276686592656,True,0.5285134178565376,0.47148658214346234,0.5846712211784799,0.5243387753806705,0.41671544175637254,2567,pdom_dist,relative-pdom-static-aligned,9.908034820724348e-10,arbiter
n427,0.4153287788215201,0.02425277540563621,0.9377455166524338,True,0.5285134178565376,0.47148658214346234,0.5846712211784799,0.5070459462691189,0.4157302103799915,3620,pdom_dist,relative-pdom-static-aligned,4.980458939809096e-10,arbiter
n428,0.4153287788215201,0.9846285226302306,0.9797608881298036,True,0.5285134178565376,0.47148658214346234,0.5846712211784799,0.9820559124835335,0.4427931461083913,2950,pdom_dist,relative-pdom-static-aligned,7.771991062867445e-10,arbiter
n429,0.4153287788215201,0.3083262169086251,0.6944918872758327,True,0.5285134178565376,0.47148658214346234,0.5846712211784799,0.512419955213259,0.4160363859741968,10371,pdom_dist,relative-pdom-static-aligned,1.285356013911572e-12,arbiter
n430,0.4153287788215201,0.013578138343296327,0.9519214346712211,True,0.5285134178565376,0.47148658214346234,0.5846712211784799,0.5095051610083378,0.4158703202201286,3975,pdom_dist,relative-pdom-static-aligned,4.2650660406445845e-10,arbiter
n431,0.4153287788215201,0.04859094790777114,0.9230572160546542,True,0.5285134178565376,0.47148658214346234,0.5846712211784799,0.5107581040863318,0.41594170465498864,3207,pdom_dist,relative-pdom-static-aligned,6.26247645770138e-10,arbiter
n432,0.4153287788215201,0.9910333048676345,0.9910333048676345,True,0.5285134178565376,0.47148658214346234,0.5846712211784799,0.9910333048676345,0.4433046187308202,2438,pdom_dist,relative-pdom-static-aligned,1.0632433099807869e-09,arbiter
n433,0.4153287788215201,0.32924850555081125,0.6712211784799317,True,0.5285134178565376,0.47148658214346234,0.5846712211784799,0.5099856517341166,0.41589769541339766,10243,pdom_dist,relative-pdom-static-aligned,1.598036142222179e-12,arbiter
n434,0.4153287788215201,0.035098206660973526,0.973398804440649,True,0.5285134178565376,0.47148658214346234,0.5846712211784799,0.5310026625703421,0.417095106107739,2566,pdom_dist,relative-pdom-static-aligned,9.908034820724348e-10,arbiter
n435,0.4153287788215201,0.04312553373185312,0.9561912894961572,True,0.5285134178565376,0.47148658214346234,0.5846712211784799,0.525693037038608,0.4167925986558378,3554,pdom_dist,relative-pdom-static-aligned,5.030820897419402e-10,arbiter
n436,0.4153287788215201,0.9793766011955594,0.9789923142613152,True,0.5285134178565376,0.47148658214346234,0.5846712211784799,0.9791735003945043,0.4426289252737637,2949,pdom_dist,relative-pdom-static-aligned,7.771991062867445e-10,arbiter
n437,0.4153287788215201,0.35324508966695134,0.6496157130657557,True,0.5285134178565376,0.47148658214346234,0.5846712211784799,0.5098809407917262,0.41589172967434895,10114,pdom_dist,relative-pdom-static-aligned,1.954804883319867e-12,arbiter
n438,0.4153287788215201,0.018915456874466267,0.9465841161400512,True,0.5285134178565376,0.47148658214346234,0.5846712211784799,0.5092007906213124,0.41585297920244985,3974,pdom_dist,relative-pdom-static-aligned,4.2650660406445845e-10,arbiter
