node,static_rank,cache_struct_rank,gnn_rank,gnn_reliable,effective_gnn_weight,effective_struct_weight,static_freedom,residual_score,final_score,global_rank,chosen_family,family_reason,family_score,circuit
n137,0.35051546391752575,0.006185567010309278,0.5505154639175258,True,0.5565725389011809,0.4434274610988191,0.6494845360824743,0.3091446397317768,0.33709737264136147,949,wl3_common_dist,relative-wl-common-cache-repair,0.0,priority
n138,0.35051546391752575,0.005154639175257732,0.7154639175257732,True,0.5565725389011809,0.4434274610988191,0.6494845360824743,0.4004932776318697,0.3435196411046319,948,wl3_common_dist,relative-wl-common-cache-repair,0.0,priority
n139,0.35051546391752575,0.07422680412371134,0.7525773195876289,True,0.5565725389011809,0.4434274610988191,0.6494845360824743,0.4517780727803887,0.3471252200174542,947,wl3_common_dist,relative-wl-common-cache-repair,0.0,priority
n140,0.35051546391752575,0.02577319587628866,0.5092783505154639,True,0.5565725389011809,0.4434274610988191,0.6494845360824743,0.2948788873656225,0.3360944185346327,922,wl3_common_dist,relative-wl-common-cache-repair,2.2311877579773515e-11,priority
n141,0.35051546391752575,0.30412371134020616,0.6309278350515464,True,0.5565725389011809,0.4434274610988191,0.6494845360824743,0.48601391219760237,0.3495321716355313,926,wl3_common_dist,relative-wl-common-cache-repair,1.4166215990910023e-11,priority
n142,0.35051546391752575,0.04329896907216495,0.39484536082474225,True,0.5565725389011809,0.4434274610988191,0.6494845360824743,0.23896003687144604,0.3321630422351431,914,wl3_common_dist,relative-wl-common-cache-repair,6.813741016102635e-11,priority
n143,0.35051546391752575,0.027835051546391754,0.4587628865979381,True,0.5565725389011809,0.4434274610988191,0.6494845360824743,0.2676776507842202,0.33418203485957715,918,wl3_common_dist,relative-wl-common-cache-repair,4.510371714381846e-11,priority
n144,0.35051546391752575,0.041237113402061855,0.41649484536082476,True,0.5565725389011809,0.4434274610988191,0.6494845360824743,0.2500952620206493,0.3329459045410415,917,wl3_common_dist,relative-wl-common-cache-repair,4.510371714381846e-11,priority
n145,0.35051546391752575,0.41649484536082476,0.5577319587628866,True,0.5565725389011809,0.4434274610988191,0.6494845360824743,0.4951035441540843,0.35017121845657634,925,wl3_common_dist,relative-wl-common-cache-repair,1.9673299219072245e-11,priority
n146,0.35051546391752575,0.05670103092783505,0.3670103092783505,True,0.5565725389011809,0.4434274610988191,0.6494845360824743,0.22941065382397466,0.331491672601186,913,wl3_common_dist,relative-wl-common-cache-repair,6.813741016102635e-11,priority
n147,0.35051546391752575,0.47835051546391755,0.5536082474226804,True,0.5565725389011809,0.4434274610988191,0.6494845360824743,0.5202369024121507,0.3519382198900667,923,wl3_common_dist,relative-wl-common-cache-repair,2.208493109399455e-11,priority
n148,0.35051546391752575,0.06391752577319587,0.39278350515463917,True,0.5565725389011809,0.4434274610988191,0.6494845360824743,0.24695529887574916,0.3327251493470409,883,wl3_common_dist,relative-wl-common-cache-repair,2.6149615412143556e-10,priority
n149,0.35051546391752575,0.06494845360824743,0.32577319587628867,True,0.5565725389011809,0.4434274610988191,0.6494845360824743,0.2101163426206173,0.33013518552912513,908,wl3_common_dist,relative-wl-common-cache-repair,9.167472003820322e-11,priority
n150,0.35051546391752575,0.06288659793814433,0.3309278350515464,True,0.5565725389011809,0.4434274610988191,0.6494845360824743,0.21207098980856393,0.330272607052648,907,wl3_common_dist,relative-wl-common-cache-repair,9.167472003820322e-11,priority
n151,0.35051546391752575,0.5536082474226804,0.5628865979381443,True,0.5565725389011809,0.4434274610988191,0.6494845360824743,0.5587723225258873,0.35464745364553873,915,wl3_common_dist,relative-wl-common-cache-repair,6.185914766691203e-11,priority
n152,0.35051546391752575,0.0731958762886598,0.388659793814433,True,0.5565725389011809,0.4434274610988191,0.6494845360824743,0.24877442979769213,0.3328530433958097,882,wl3_common_dist,relative-wl-common-cache-repair,2.6149615412143556e-10,priority
n153,0.35051546391752575,0.5474226804123712,0.5556701030927835,True,0.5565725389011809,0.4434274610988191,0.6494845360824743,0.5520129693929994,0.354172237140341,927,wl3_common_dist,relative-wl-common-cache-repair,9.170438269506103e-12,priority
n154,0.35051546391752575,0.08350515463917525,0.36082474226804123,True,0.5565725389011809,0.4434274610988191,0.6494845360824743,0.23785362161280169,0.3320852556803984,903,wl3_common_dist,relative-wl-common-cache-repair,1.6437232323357456e-10,priority
n155,0.35051546391752575,0.12577319587628866,0.3783505154639175,True,0.5565725389011809,0.4434274610988191,0.6494845360824743,0.2663507959080302,0.33408875029154655,877,wl3_common_dist,relative-wl-common-cache-repair,3.3713046076687773e-10,priority
n156,0.35051546391752575,0.07628865979381444,0.3989690721649485,True,0.5565725389011809,0.4434274610988191,0.6494845360824743,0.2558837161608965,0.3333528619662486,876,wl3_common_dist,relative-wl-common-cache-repair,3.3713046076687773e-10,priority
n157,0.35051546391752575,0.6072164948453608,0.4948453608247423,True,0.5565725389011809,0.4434274610988191,0.6494845360824743,0.5446738074843003,0.3536562571634461,919,wl3_common_dist,relative-wl-common-cache-repair,4.256320703380171e-11,priority
n158,0.35051546391752575,0.08453608247422681,0.3597938144329897,True,0.5565725389011809,0.4434274610988191,0.6494845360824743,0.23773697720269618,0.33207705499198464,902,wl3_common_dist,relative-wl-common-cache-repair,1.6437232323357456e-10,priority
n159,0.35051546391752575,0.5865979381443299,0.5350515463917526,True,0.5565725389011809,0.4434274610988191,0.6494845360824743,0.557908632015403,0.35458673186079165,920,wl3_common_dist,relative-wl-common-cache-repair,4.2446581475479317e-11,priority
n160,0.35051546391752575,0.10309278350515463,0.3907216494845361,True,0.5565725389011809,0.4434274610988191,0.6494845360824743,0.2631791117045664,0.333865764947664,859,wl3_common_dist,relative-wl-common-cache-repair,4.86769426336374e-10,priority
n161,0.35051546391752575,0.1979381443298969,0.30927835051546393,True,0.5565725389011809,0.4434274610988191,0.6494845360824743,0.2599070455683789,0.33363572224928073,900,wl3_common_dist,relative-wl-common-cache-repair,1.8951464813475092e-10,priority
n162,0.35051546391752575,0.08969072164948454,0.33298969072164947,True,0.5565725389011809,0.4434274610988191,0.6494845360824743,0.22510424657801925,0.3311889105230481,899,wl3_common_dist,relative-wl-common-cache-repair,1.8951464813475092e-10,priority
n163,0.35051546391752575,0.6412371134020619,0.51340206185567,True,0.5565725389011809,0.4434274610988191,0.6494845360824743,0.5700876342023232,0.3554429769396149,901,wl3_common_dist,relative-wl-common-cache-repair,1.7060468535873088e-10,priority
n164,0.35051546391752575,0.0979381443298969,0.38969072164948454,True,0.5565725389011809,0.4434274610988191,0.6494845360824743,0.26031961701962286,0.33366472809634184,858,wl3_common_dist,relative-wl-common-cache-repair,4.86769426336374e-10,priority
n165,0.35051546391752575,0.6041237113402061,0.5515463917525774,True,0.5565725389011809,0.4434274610988191,0.6494845360824743,0.5748606190887008,0.3557785417714077,898,wl3_common_dist,relative-wl-common-cache-repair,1.8983046791129208e-10,priority
n166,0.35051546391752575,0.12886597938144329,0.38762886597938145,True,0.5565725389011809,0.4434274610988191,0.6494845360824743,0.27288629614865606,0.334548228813087,834,wl3_common_dist,relative-wl-common-cache-repair,6.052338681784798e-10,priority
n167,0.35051546391752575,0.23195876288659795,0.31958762886597936,True,0.5565725389011809,0.4434274610988191,0.6494845360824743,0.28073058330577355,0.33509972163426177,847,wl3_common_dist,relative-wl-common-cache-repair,5.456678967691244e-10,priority
