circuit,load_seconds,gnn_seconds,rank_seconds,total_seconds,runtime_no_fi,gnn_nonrandom,gnn_struct_agree,train_nodes,device,epochs,hidden,layers,gnn_reliable,effective_gnn_weight,effective_struct_weight,residual_step,chosen_family,family_reason,family_selector_mode,adaptive_parameter_mode,frontier_metric_mode,structural_effective_dim,structural_active_features,frontier_fraction,core_fraction,tail_quantile,family_peer_frontier_overlap,family_gnn_frontier_overlap,family_cache_frontier_overlap,family_static_core_overlap,family_tail_separation,family_frontier_mean,family_peer_frontier_overlap_pct,family_gnn_frontier_overlap_pct,family_cache_frontier_overlap_pct,family_static_core_overlap_pct,family_tail_separation_pct,family_frontier_mean_pct,distance_guard_active,distance_guard_mode,final_score_mean
adder,0.016165199998795288,2.7821943999988434,0.122929799999838,2.9395397000007506,True,0.7272902637485971,0.8593574635241301,2296,cuda,30,128,2,True,0.6201639644269968,0.37983603557300316,0.1219603441825664,pdom_dist,relative-pdom-static-aligned,v38_cross_benchmark_adaptive_no_hand_parameters,runtime_visible_signal_geometry,runtime_visible_structural_effective_dimension,3.9635258279583185,6.0,0.25230061400031734,0.10036607695580348,0.9579498976666138,0.47157685914335395,0.2840909090909091,0.0022172949002217295,1.0,-0.0011209236288477111,0.004424999130127572,0.8448275862068966,0.6379310344827587,0.25862068965517243,0.8793103448275862,0.05172413793103448,0.1896551724137931,False,auto_runtime_visible,0.5013472216952057
arbiter,0.14302369999859366,0.35783270000320044,1.7294174000016937,2.4029512999986764,True,0.7552485856105893,0.9307115979931683,8192,cuda,30,128,2,True,0.5285134178565376,0.47148658214346234,0.09744520352974666,pdom_dist,relative-pdom-static-aligned,v38_cross_benchmark_adaptive_no_hand_parameters,runtime_visible_signal_geometry,runtime_visible_structural_effective_dimension,4.387999811182717,6.0,0.2278942668710976,0.09626492281252226,0.9620176221881505,0.3770154402822975,0.06674660271782575,0.024764830101746977,0.7013574660633484,-8.535546105914423e-05,0.0003747152521634289,0.9137931034482759,0.5344827586206896,0.25862068965517243,0.9310344827586207,0.1206896551724138,0.22413793103448276,False,auto_runtime_visible,0.5014185127388575
bar,0.03878679999979795,0.28496589999849675,0.41117649999796413,0.7840762000014365,True,0.7494372661365762,0.7744192391643281,6807,cuda,30,128,2,True,0.5398459294736918,0.4601540705263081,0.17508574992204554,pdom_dist,relative-pdom-static-aligned,v38_cross_benchmark_adaptive_no_hand_parameters,runtime_visible_signal_geometry,runtime_visible_structural_effective_dimension,4.054210939435307,6.0,0.24665712143218813,0.0994608135858511,0.9588904797613019,0.4876363554800071,0.4142857142857143,0.21193573068094873,1.0,0.8978314551465212,0.3889755874656004,0.5517241379310345,0.5862068965517241,0.2413793103448276,0.9310344827586207,0.9827586206896551,0.43103448275862066,False,auto_runtime_visible,0.49528383501659445
cavlc,0.009833200001594378,0.250800400001026,0.0903727999975672,0.3613126000018383,True,0.7578928046989721,0.7810893906020557,1396,cuda,30,128,2,True,0.4944024123820893,0.5055975876179105,0.17951541850220265,pdom_dist,relative-pdom-static-aligned,v38_cross_benchmark_adaptive_no_hand_parameters,runtime_visible_signal_geometry,runtime_visible_structural_effective_dimension,3.951792849884219,6.0,0.25304970123352954,0.10048440668774915,0.9578250497944117,0.3536127679145928,0.3463035019455253,0.3007518796992481,0.6829268292682927,0.21287422181497825,0.1697765369362562,0.7068965517241379,0.6724137931034483,0.5172413793103449,0.8793103448275862,0.39655172413793105,0.3620689655172414,False,auto_runtime_visible,0.49637362964156356
ctrl,0.002638899997691624,0.2476591999984521,0.026107800000318093,0.2800573999993503,True,0.6589819785276074,0.580521472392638,357,cuda,30,128,2,True,0.49445001239560094,0.5055499876043991,0.15337423312883436,pdom_dist,relative-pdom-static-aligned,v38_cross_benchmark_adaptive_no_hand_parameters,runtime_visible_signal_geometry,runtime_visible_structural_effective_dimension,4.393547289850952,6.0,0.22760651792914338,0.09621354212497554,0.9620655803451428,0.3965105457525581,0.22580645161290322,0.26666666666666666,1.0,0.9085365140084226,0.39473699980978383,0.8103448275862069,0.5344827586206896,0.5689655172413793,0.9310344827586207,0.9482758620689655,0.39655172413793105,False,auto_runtime_visible,0.4988137302329721
dec,0.004110799996851711,0.2506437999982154,0.022990500001469627,0.28249419999701786,True,0.5,0.4406028368794326,616,cuda,30,128,2,True,0.4916837604992411,0.5083162395007589,0.5106382978723405,index_mid,relative-structural-lowdim-index-tail,v38_cross_benchmark_adaptive_no_hand_parameters,runtime_visible_signal_geometry,runtime_visible_structural_effective_dimension,1.2646887138055745,6.0,0.790708408388417,0.1376521471731656,0.8682152652685972,0.7406147785910278,0.7272727272727273,0.7272727272727273,0.0,0.3695652173913043,0.608695652173913,0.10344827586206896,0.08620689655172414,0.08620689655172414,0.1206896551724138,0.9482758620689655,0.5344827586206896,True,auto_runtime_visible,0.4704111805669265
div,0.7246442999967257,0.815389099996537,9.739291800000501,12.19675069999721,True,0.714242609597675,0.13314924804790085,8192,cuda,30,128,2,True,0.5237234469773274,0.47627655302267247,0.10092965439966387,inv_depth,relative-depth-frontier,v38_cross_benchmark_adaptive_no_hand_parameters,runtime_visible_signal_geometry,runtime_visible_structural_effective_dimension,5.476652653796476,6.0,0.1825932852080347,0.08713342035921946,0.9695677857986609,0.13381093332846813,0.1864406779661017,0.06325500790050462,0.11516916872059153,0.15588358749534026,0.8509073264270517,0.22413793103448276,0.39655172413793105,0.1206896551724138,0.9482758620689655,0.5689655172413793,0.8448275862068966,False,auto_runtime_visible,0.49998670227284026
hyp,3.0456318000033207,2.777215999998589,47.14574690000154,57.27175360000183,True,0.7170927897677937,0.8887596081575679,8192,cuda,30,128,2,True,0.5391939949019713,0.4608060050980287,0.10005835504140874,mass_balance,relative-mass-balance-frontier,v38_cross_benchmark_adaptive_no_hand_parameters,runtime_visible_signal_geometry,runtime_visible_structural_effective_dimension,5.148551902595655,6.0,0.19422937146576058,0.0896977480785801,0.9676284380890399,0.21473963767978313,0.21167819439388424,0.3927160741782152,0.032594383984952305,0.2624602408643508,0.9999999999989602,0.39655172413793105,0.7413793103448276,0.7413793103448276,0.46551724137931033,0.8793103448275862,0.9827586206896551,False,auto_runtime_visible,0.4999937962076674
i2c,0.018150100000639213,0.27854909999950905,0.18391539999720408,0.5009330000029877,True,0.7307741058259587,0.7628710361356932,2861,cuda,30,128,2,True,0.508140416989941,0.4918595830100591,0.1803834808259587,pdom_dist,relative-pdom-static-aligned,v38_cross_benchmark_adaptive_no_hand_parameters,runtime_visible_signal_geometry,runtime_visible_structural_effective_dimension,4.211699741931861,6.0,0.23743382987252334,0.09792689026036902,0.9604276950212461,0.4325673676383376,0.3130081300813008,0.3237704918032787,1.0,0.8960942739406756,0.4365326489130871,0.7758620689655172,0.5344827586206896,0.5344827586206896,0.9310344827586207,0.9482758620689655,0.46551724137931033,False,auto_runtime_visible,0.4984287593059815
int2float,0.004717799998616101,0.25176980000105686,0.0360450000007404,0.29742199999964214,True,0.6990327380952381,0.4974578373015873,531,cuda,30,128,2,True,0.517383370666653,0.4826166293333471,0.1984126984126984,pdom_dist,relative-pdom-static-aligned,v38_cross_benchmark_adaptive_no_hand_parameters,runtime_visible_signal_geometry,runtime_visible_structural_effective_dimension,3.98949948033654,6.0,0.2506580098402829,0.10010511557344919,0.9582236650266195,0.42376774717743176,0.23076923076923078,0.1743119266055046,1.0,0.5279983784870849,0.2803725193895713,0.43103448275862066,0.2413793103448276,0.2413793103448276,0.9137931034482759,0.9137931034482759,0.3620689655172414,False,auto_runtime_visible,0.49999633391714665
