node,static_rank,cache_struct_rank,gnn_rank,gnn_reliable,effective_gnn_weight,effective_struct_weight,static_freedom,residual_score,final_score,global_rank,chosen_family,family_reason,family_score,circuit
n386,0.8552188552188552,0.0005611672278338945,0.4775533108866442,True,0.5418996659048845,0.4581003340951155,0.1447811447811448,0.2590430505157979,0.8509641438479199,788,mass_balance,relative-mass-balance-frontier,0.813761326111845,adder
n387,0.8552188552188552,0.0005611672278338945,0.4775533108866442,True,0.5418996659048845,0.4581003340951155,0.1447811447811448,0.2590430505157979,0.8509641438479199,787,mass_balance,relative-mass-balance-frontier,0.813761326111845,adder
n389,0.26823793490460157,0.7744107744107744,0.9326599326599326,True,0.5418996659048845,0.4581003340951155,0.7317620650953984,0.8601659403957225,0.30038128760817284,408,mass_balance,relative-mass-balance-frontier,0.9315994511448468,adder
n390,0.26823793490460157,0.5600448933782267,0.9158249158249159,True,0.5418996659048845,0.4581003340951155,0.7317620650953984,0.7528419686777199,0.29080305743824186,407,mass_balance,relative-mass-balance-frontier,0.9315994511448468,adder
n391,0.26823793490460157,0.5622895622895623,0.8653198653198653,True,0.5418996659048845,0.4581003340951155,0.7317620650953984,0.7265015822607394,0.2884522845416734,406,mass_balance,relative-mass-balance-frontier,0.9315994511448468,adder
n392,0.6391694725028059,0.7272727272727273,0.17957351290684623,True,0.5418996659048845,0.4581003340951155,0.36083052749719413,0.4304747059914886,0.6361098718238888,202,mass_balance,relative-mass-balance-frontier,0.9976891490040938,adder
n393,0.8552188552188552,0.007295173961840628,0.09820426487093153,True,0.5418996659048845,0.4581003340951155,0.1447811447811448,0.056558779953193764,0.8473887660460243,786,mass_balance,relative-mass-balance-frontier,0.813761326111845,adder
n394,0.8552188552188552,0.007295173961840628,0.09820426487093153,True,0.5418996659048845,0.4581003340951155,0.1447811447811448,0.056558779953193764,0.8473887660460243,785,mass_balance,relative-mass-balance-frontier,0.813761326111845,adder
n396,0.26823793490460157,0.29180695847362514,0.9539842873176206,True,0.5418996659048845,0.4581003340951155,0.7317620650953984,0.6506406317439751,0.28168200169313595,584,mass_balance,relative-mass-balance-frontier,0.9028808454948536,adder
n397,0.26823793490460157,0.8260381593714927,0.7856341189674523,True,0.5418996659048845,0.4581003340951155,0.7317620650953984,0.8041432233753357,0.2953814868201802,126,mass_balance,relative-mass-balance-frontier,0.9999220555430214,adder
n398,0.26823793490460157,0.4332210998877666,0.8843995510662177,True,0.5418996659048845,0.4581003340951155,0.7317620650953984,0.6777145518448524,0.28409823950261526,405,mass_balance,relative-mass-balance-frontier,0.9315994511448468,adder
n399,0.26823793490460157,0.5555555555555556,0.8338945005611672,True,0.5418996659048845,0.4581003340951155,0.7317620650953984,0.7063873368624145,0.286657169535812,404,mass_balance,relative-mass-balance-frontier,0.9315994511448468,adder
n400,0.6391694725028059,0.7194163860830527,0.0707070707070707,True,0.5418996659048845,0.4581003340951155,0.36083052749719413,0.3678810248114217,0.633355310736941,201,mass_balance,relative-mass-balance-frontier,0.9976891490040938,adder
n401,0.8552188552188552,0.012906846240179574,0.19135802469135801,True,0.5418996659048845,0.4581003340951155,0.1447811447811448,0.10960948022320609,0.848325511876174,784,mass_balance,relative-mass-balance-frontier,0.813761326111845,adder
n402,0.8552188552188552,0.012906846240179574,0.19135802469135801,True,0.5418996659048845,0.4581003340951155,0.1447811447811448,0.10960948022320609,0.848325511876174,783,mass_balance,relative-mass-balance-frontier,0.813761326111845,adder
n404,0.26823793490460157,0.2962962962962963,0.8821548821548821,True,0.5418996659048845,0.4581003340951155,0.7317620650953984,0.6137728682405721,0.2783917029925434,583,mass_balance,relative-mass-balance-frontier,0.9028808454948536,adder
n405,0.26823793490460157,0.8406285072951739,0.7542087542087542,True,0.5418996659048845,0.4581003340951155,0.7317620650953984,0.7937976719700606,0.29445818822240793,125,mass_balance,relative-mass-balance-frontier,0.9999999113326259,adder
n406,0.26823793490460157,0.43097643097643096,0.8754208754208754,True,0.5418996659048845,0.4581003340951155,0.7317620650953984,0.6718207269341574,0.2835722394797663,403,mass_balance,relative-mass-balance-frontier,0.9315994511448468,adder
n407,0.26823793490460157,0.5488215488215489,0.8271604938271605,True,0.5418996659048845,0.4581003340951155,0.7317620650953984,0.6996533301284078,0.2860561866851805,402,mass_balance,relative-mass-balance-frontier,0.9315994511448468,adder
n408,0.6391694725028059,0.7171717171717171,0.04040404040404041,True,0.5418996659048845,0.4581003340951155,0.36083052749719413,0.3504315392360883,0.6325874109578116,200,mass_balance,relative-mass-balance-frontier,0.9976891490040938,adder
n409,0.8552188552188552,0.015151515151515152,0.39113355780022446,True,0.5418996659048845,0.4581003340951155,0.1447811447811448,0.21889605844908677,0.8502552459969936,782,mass_balance,relative-mass-balance-frontier,0.813761326111845,adder
n410,0.8552188552188552,0.015151515151515152,0.39113355780022446,True,0.5418996659048845,0.4581003340951155,0.1447811447811448,0.21889605844908677,0.8502552459969936,781,mass_balance,relative-mass-balance-frontier,0.813761326111845,adder
n412,0.26823793490460157,0.29741863075196406,0.8641975308641975,True,0.5418996659048845,0.4581003340951155,0.7317620650953984,0.6045559273647212,0.2775691283173953,582,mass_balance,relative-mass-balance-frontier,0.9028808454948536,adder
n413,0.26823793490460157,0.8496071829405163,0.745230078563412,True,0.5418996659048845,0.4581003340951155,0.7317620650953984,0.7930452649504443,0.29439103894065854,124,mass_balance,relative-mass-balance-frontier,0.9999999998991349,adder
n414,0.26823793490460157,0.4298540965207632,0.8731762065095399,True,0.5418996659048845,0.4581003340951155,0.7317620650953984,0.6700901998119297,0.2834177969369991,401,mass_balance,relative-mass-balance-frontier,0.9315994511448468,adder
n415,0.26823793490460157,0.5297418630751964,0.8249158249158249,True,0.5418996659048845,0.4581003340951155,0.7317620650953984,0.6896965343804542,0.285167582956654,400,mass_balance,relative-mass-balance-frontier,0.9315994511448468,adder
n416,0.6391694725028059,0.7160493827160493,0.028058361391694726,True,0.5418996659048845,0.4581003340951155,0.36083052749719413,0.3432272781148213,0.6322703729282417,199,mass_balance,relative-mass-balance-frontier,0.9976891490040938,adder
n417,0.8552188552188552,0.01739618406285073,0.4494949494949495,True,0.5418996659048845,0.4581003340951155,0.1447811447811448,0.2515503606884181,0.8508318412408538,780,mass_balance,relative-mass-balance-frontier,0.813761326111845,adder
n418,0.8552188552188552,0.01739618406285073,0.4494949494949495,True,0.5418996659048845,0.4581003340951155,0.1447811447811448,0.2515503606884181,0.8508318412408538,779,mass_balance,relative-mass-balance-frontier,0.813761326111845,adder
n420,0.26823793490460157,0.29854096520763185,0.8540965207631874,True,0.5418996659048845,0.4581003340951155,0.7317620650953984,0.5995963351547899,0.2771265047825476,581,mass_balance,relative-mass-balance-frontier,0.9028808454948536,adder
n421,0.26823793490460157,0.8552188552188552,0.7396184062850729,True,0.5418996659048845,0.4581003340951155,0.7317620650953984,0.7925750105631839,0.29434907063956517,123,mass_balance,relative-mass-balance-frontier,0.999999999999885,adder
n422,0.26823793490460157,0.4107744107744108,0.8720538720538721,True,0.5418996659048845,0.4581003340951155,0.7317620650953984,0.6607415967305359,0.2825834719428012,399,mass_balance,relative-mass-balance-frontier,0.9315994511448468,adder
n423,0.26823793490460157,0.5286195286195287,0.8181818181818182,True,0.5418996659048845,0.4581003340951155,0.7317620650953984,0.6855332365919868,0.28479602547657223,398,mass_balance,relative-mass-balance-frontier,0.9315994511448468,adder
