node,static_rank,cache_struct_rank,gnn_rank,gnn_reliable,effective_gnn_weight,effective_struct_weight,static_freedom,residual_score,final_score,global_rank,chosen_family,family_reason,family_score,circuit
n22,0.26945668135095446,0.3641703377386197,0.7254038179148311,True,0.4797152393622592,0.5202847606377408,0.7305433186490455,0.5374595431470128,0.27436926779523685,97,pdom_dist,relative-pdom-static-aligned,0.030533102234869672,cavlc
n23,0.26945668135095446,0.24669603524229075,0.8678414096916299,True,0.4797152393622592,0.5202847606377408,0.7305433186490455,0.5446689372250155,0.2753147350552109,536,pdom_dist,relative-pdom-static-aligned,0.0014062314702475644,cavlc
n24,0.26945668135095446,0.27606461086637296,0.8766519823788547,True,0.4797152393622592,0.5202847606377408,0.7305433186490455,0.5641755255494332,0.2778729029698768,330,pdom_dist,relative-pdom-static-aligned,0.004657251684019654,cavlc
n25,0.26945668135095446,0.26725403817914833,0.5814977973568282,True,0.4797152393622592,0.5202847606377408,0.7305433186490455,0.4180015583311651,0.2587030949707446,259,pdom_dist,relative-pdom-static-aligned,0.005846375619962986,cavlc
n26,0.26945668135095446,0.3788546255506608,0.5418502202643172,True,0.4797152393622592,0.5202847606377408,0.7305433186490455,0.45704609628371623,0.263823543640292,507,pdom_dist,relative-pdom-static-aligned,0.00182215907434386,cavlc
n27,0.26945668135095446,0.5594713656387665,0.2687224669603524,True,0.4797152393622592,0.5202847606377408,0.7305433186490455,0.41999468811493784,0.2589644815637159,404,pdom_dist,relative-pdom-static-aligned,0.003222344432509529,cavlc
n28,0.26945668135095446,0.25697503671071953,0.8002936857562408,True,0.4797152393622592,0.5202847606377408,0.7305433186490455,0.517613272487571,0.2717665526519021,260,pdom_dist,relative-pdom-static-aligned,0.005629420282374754,cavlc
n29,0.26945668135095446,0.39941262848751835,0.527165932452276,True,0.4797152393622592,0.5202847606377408,0.7305433186490455,0.46069783527829156,0.26430244653060225,329,pdom_dist,relative-pdom-static-aligned,0.0051143394503507045,cavlc
n30,0.26945668135095446,0.6123348017621145,0.8839941262848752,True,0.4797152393622592,0.5202847606377408,0.7305433186490455,0.7426539196505403,0.3012792359306756,422,pdom_dist,relative-pdom-static-aligned,0.0030162092014874705,cavlc
n31,0.26945668135095446,0.2878120411160059,0.5638766519823789,True,0.4797152393622592,0.5202847606377408,0.7305433186490455,0.42024444199721694,0.25899723523430057,499,pdom_dist,relative-pdom-static-aligned,0.00182215907434386,cavlc
n32,0.26945668135095446,0.5859030837004405,0.26284875183553597,True,0.4797152393622592,0.5202847606377408,0.7305433186490455,0.4309289975628531,0.26039844834116976,397,pdom_dist,relative-pdom-static-aligned,0.003222344432509529,cavlc
n33,0.7026431718061674,0.7577092511013216,0.002936857562408223,True,0.4797152393622592,0.5202847606377408,0.2973568281938326,0.39563343167077647,0.6970720702514978,310,pdom_dist,relative-pdom-static-aligned,0.005514710707719987,cavlc
n34,0.7026431718061674,0.6593245227606461,0.19970631424375918,True,0.4797152393622592,0.5202847606377408,0.2973568281938326,0.43883866384671494,0.6993783713975309,228,pdom_dist,relative-pdom-static-aligned,0.009329454060806854,cavlc
n35,0.26945668135095446,0.13509544787077826,0.7033773861967695,True,0.4797152393622592,0.5202847606377408,0.7305433186490455,0.4077089539400797,0.25735328382623684,186,pdom_dist,relative-pdom-static-aligned,0.011245324626642694,cavlc
