node,static_rank,cache_struct_rank,gnn_rank,gnn_reliable,effective_gnn_weight,effective_struct_weight,static_freedom,residual_score,final_score,global_rank,chosen_family,family_reason,family_score,circuit
n35,0.19631901840490798,0.22085889570552147,0.6748466257668712,True,0.466809583229644,0.5331904167703561,0.803680981595092,0.4327847187668322,0.18803379705526646,137,pdom_dist,relative-pdom-static-aligned,5.5683257955698864e-09,ctrl
n36,0.03680981595092025,0.12883435582822086,0.9938650306748467,True,0.466809583229644,0.5331904167703561,0.9631901840490797,0.532638964634232,0.04163152306030937,149,pdom_dist,relative-pdom-static-aligned,2.5387803207888784e-09,ctrl
n37,0.4049079754601227,0.15950920245398773,0.1656441717791411,True,0.466809583229644,0.5331904167703561,0.5950920245398773,0.16237306492778925,0.37409216313936877,109,pdom_dist,relative-pdom-static-aligned,1.6517852325150212e-08,ctrl
n38,0.19631901840490798,0.19631901840490798,0.6196319018404908,True,0.466809583229644,0.5331904167703561,0.803680981595092,0.39392552909721124,0.1832438596783231,128,pdom_dist,relative-pdom-static-aligned,7.962960972222718e-09,ctrl
n39,0.4049079754601227,0.22699386503067484,0.0736196319018405,True,0.466809583229644,0.5331904167703561,0.5950920245398773,0.15539730318563744,0.3734554729280428,92,pdom_dist,relative-pdom-static-aligned,2.0238088492065736e-08,ctrl
n40,0.5950920245398773,0.38650306748466257,0.15950920245398773,True,0.466809583229644,0.5331904167703561,0.4049079754601227,0.2805401559540072,0.5814630304988563,56,pdom_dist,relative-pdom-static-aligned,5.899997050001474e-08,ctrl
n41,0.8128834355828221,0.294478527607362,0.8773006134969326,True,0.466809583229644,0.5331904167703561,0.18711656441717794,0.5665454626185042,0.8147932144697433,22,pdom_dist,relative-pdom-static-aligned,2.6055529500026055e-07,ctrl
n42,0.19631901840490798,0.20245398773006135,0.6134969325153374,True,0.466809583229644,0.5331904167703561,0.803680981595092,0.39433277347476164,0.18329405823063885,127,pdom_dist,relative-pdom-static-aligned,7.962960972222718e-09,ctrl
n43,0.4049079754601227,0.2331288343558282,0.04294478527607362,True,0.466809583229644,0.5331904167703561,0.5950920245398773,0.14434909766798182,0.3724470835125468,91,pdom_dist,relative-pdom-static-aligned,2.0238088492065736e-08,ctrl
n44,0.03680981595092025,0.1656441717791411,0.9447852760736196,True,0.466809583229644,0.5331904167703561,0.9631901840490797,0.5293547059519312,0.04114634426818207,150,pdom_dist,relative-pdom-static-aligned,2.444275254936559e-09,ctrl
n45,0.19631901840490798,0.39263803680981596,0.9386503067484663,True,0.466809583229644,0.5331904167703561,0.803680981595092,0.6475217969781492,0.2145031384359004,131,pdom_dist,relative-pdom-static-aligned,7.630135784293676e-09,ctrl
n46,0.4049079754601227,0.13496932515337423,0.2331288343558282,True,0.466809583229644,0.5331904167703561,0.5950920245398773,0.18079112473419817,0.37577321229554855,90,pdom_dist,relative-pdom-static-aligned,2.0238088492065736e-08,ctrl
n47,0.5950920245398773,0.5030674846625767,0.3496932515337423,True,0.466809583229644,0.5331904167703561,0.4049079754601227,0.4314709228175393,0.5908362009352607,55,pdom_dist,relative-pdom-static-aligned,5.899997050001474e-08,ctrl
n48,0.8128834355828221,0.3496932515337423,0.901840490797546,True,0.466809583229644,0.5331904167703561,0.18711656441717794,0.6074408741758771,0.815966866143216,21,pdom_dist,relative-pdom-static-aligned,2.6055529500026055e-07,ctrl
n50,0.03680981595092025,0.3006134969325153,0.8895705521472392,True,0.466809583229644,0.5331904167703561,0.9631901840490797,0.575544294417459,0.04796986546684203,151,pdom_dist,relative-pdom-static-aligned,2.3323319856343334e-09,ctrl
n51,0.19631901840490798,0.9263803680981595,0.8404907975460123,True,0.466809583229644,0.5331904167703561,0.803680981595092,0.8862862934649386,0.24393419440316433,122,pdom_dist,relative-pdom-static-aligned,8.098369328955927e-09,ctrl
n52,0.4049079754601227,0.8773006134969326,0.6687116564417178,True,0.466809583229644,0.5331904167703561,0.5950920245398773,0.7799292893876817,0.43045762078983507,85,pdom_dist,relative-pdom-static-aligned,2.8999991300002598e-08,ctrl
n53,0.19631901840490798,0.4110429447852761,0.9693251533742331,True,0.466809583229644,0.5331904167703561,0.803680981595092,0.6716544299012123,0.2174778221960356,132,pdom_dist,relative-pdom-static-aligned,7.611109913066034e-09,ctrl
