node,static_rank,cache_struct_rank,gnn_rank,gnn_reliable,effective_gnn_weight,effective_struct_weight,static_freedom,residual_score,final_score,global_rank,chosen_family,family_reason,family_score,circuit
n291,0.046460176991150445,0.6504424778761062,0.9210914454277286,True,0.48750799484273444,0.5124920051572657,0.9535398230088495,0.782386013353454,0.09503137111258361,1219,pdom_dist,relative-pdom-static-aligned,2.8490025324470127e-09,i2c
n292,0.24410029498525074,0.5014749262536873,0.803834808259587,True,0.48750799484273444,0.5124920051572657,0.7558997050147492,0.6488777860512693,0.26440005206285405,1240,pdom_dist,relative-pdom-static-aligned,2.2694260053558816e-09,i2c
n293,0.24410029498525074,0.5958702064896755,0.5022123893805309,True,0.48750799484273444,0.5124920051572657,0.7558997050147492,0.550211271869449,0.25094669328644725,1183,pdom_dist,relative-pdom-static-aligned,3.556730826404707e-09,i2c
n294,0.24410029498525074,0.700589970501475,0.8082595870206489,True,0.48750799484273444,0.5124920051572657,0.7558997050147492,0.7530797693562237,0.27860818212845434,1215,pdom_dist,relative-pdom-static-aligned,2.933866432813741e-09,i2c
n295,0.24410029498525074,0.6607669616519174,0.7286135693215339,True,0.48750799484273444,0.5124920051572657,0.7558997050147492,0.6938427253138139,0.27053110336505776,1145,pdom_dist,relative-pdom-static-aligned,3.898634964604561e-09,i2c
n296,0.24410029498525074,0.5685840707964602,0.45943952802359883,True,0.48750799484273444,0.5124920051572657,0.7558997050147492,0.5153752336012356,0.24619673606887219,1182,pdom_dist,relative-pdom-static-aligned,3.556730826404707e-09,i2c
n297,0.24410029498525074,0.7632743362831859,0.14454277286135694,True,0.48750799484273444,0.5124920051572657,0.7558997050147492,0.46163775245349997,0.23886953271507125,1093,pdom_dist,relative-pdom-static-aligned,5.69800474833824e-09,i2c
n298,0.046460176991150445,0.5110619469026548,0.7123893805309734,True,0.48750799484273444,0.5124920051572657,0.9535398230088495,0.6092106803776303,0.06524472334230488,1250,pdom_dist,relative-pdom-static-aligned,2.2056350986113093e-09,i2c
n299,0.24410029498525074,0.5243362831858407,0.6482300884955752,True,0.48750799484273444,0.5124920051572657,0.7558997050147492,0.5847355037858255,0.2556541351404787,1214,pdom_dist,relative-pdom-static-aligned,2.9409058346748627e-09,i2c
n300,0.24410029498525074,0.7374631268436578,0.773598820058997,True,0.48750799484273444,0.5124920051572657,0.7558997050147492,0.75507956618532,0.2788808580656236,1134,pdom_dist,relative-pdom-static-aligned,4.144003578912746e-09,i2c
n301,0.24410029498525074,0.3974926253687316,0.7721238938053098,True,0.48750799484273444,0.5124920051572657,0.7558997050147492,0.5801283638496381,0.2550259432254342,1125,pdom_dist,relative-pdom-static-aligned,4.641835022692396e-09,i2c
n302,0.24410029498525074,0.2861356932153392,0.6423303834808259,True,0.48750799484273444,0.5124920051572657,0.7558997050147492,0.4597834524402955,0.23861669553354517,1020,pdom_dist,relative-pdom-static-aligned,6.3554667532046304e-09,i2c
n303,0.24410029498525074,0.48156342182890854,0.6061946902654868,True,0.48750799484273444,0.5124920051572657,0.7558997050147492,0.5423221615991314,0.24987099874333576,1181,pdom_dist,relative-pdom-static-aligned,3.556730826404707e-09,i2c
n304,0.24410029498525074,0.6084070796460177,0.19616519174041297,True,0.48750799484273444,0.5124920051572657,0.7558997050147492,0.4074358634829731,0.23147900650943562,1092,pdom_dist,relative-pdom-static-aligned,5.69800474833824e-09,i2c
n305,0.24410029498525074,0.838495575221239,0.47123893805309736,True,0.48750799484273444,0.5124920051572657,0.7558997050147492,0.6594550284427126,0.265842278312936,922,pdom_dist,relative-pdom-static-aligned,9.483724253647967e-09,i2c
n306,0.5184365781710915,0.799410029498525,0.36504424778761063,True,0.48750799484273444,0.5124920051572657,0.48156342182890854,0.5876532382283404,0.5260506719247003,763,pdom_dist,relative-pdom-static-aligned,1.680383667695578e-08,i2c
n307,0.5184365781710915,0.7470501474926253,0.775811209439528,True,0.48750799484273444,0.5124920051572657,0.48156342182890854,0.7610713951319076,0.5411148285027159,574,pdom_dist,relative-pdom-static-aligned,3.306877204585905e-08,i2c
n308,0.24410029498525074,0.3443952802359882,0.474188790560472,True,0.48750799484273444,0.5124920051572657,0.7558997050147492,0.40767065419787707,0.23151102065071916,1091,pdom_dist,relative-pdom-static-aligned,5.69800474833824e-09,i2c
n309,0.24410029498525074,0.443952802359882,0.033185840707964605,True,0.48750799484273444,0.5124920051572657,0.7558997050147492,0.2437006245373134,0.20915340868992205,921,pdom_dist,relative-pdom-static-aligned,9.483724253647967e-09,i2c
n310,0.24410029498525074,0.4631268436578171,0.26253687315634217,True,0.48750799484273444,0.5124920051572657,0.7558997050147492,0.36533762935307984,0.22573883566931707,1180,pdom_dist,relative-pdom-static-aligned,3.556730826404707e-09,i2c
n311,0.046460176991150445,0.3355457227138643,0.995575221238938,True,0.48750799484273444,0.5124920051572657,0.9535398230088495,0.6573153800768786,0.07351886794138922,1253,pdom_dist,relative-pdom-static-aligned,1.9608956643872293e-09,i2c
n312,0.046460176991150445,0.09365781710914454,0.9948377581120944,True,0.48750799484273444,0.5124920051572657,0.9535398230088495,0.5329902431399863,0.052134592252149614,1340,pdom_dist,relative-pdom-static-aligned,1.8014837151636402e-10,i2c
n313,0.046460176991150445,0.21460176991150443,0.9933628318584071,True,0.48750799484273444,0.5124920051572657,0.9535398230088495,0.5942540136828375,0.06267213430782935,1353,pdom_dist,relative-pdom-static-aligned,2.3381966365039346e-11,i2c
n314,0.046460176991150445,0.4749262536873156,0.9977876106194691,True,0.48750799484273444,0.5124920051572657,0.9535398230088495,0.729825345386061,0.08599078735038074,1316,pdom_dist,relative-pdom-static-aligned,4.3801729823036627e-10,i2c
n315,0.046460176991150445,0.036135693215339236,0.9985250737463127,True,0.48750799484273444,0.5124920051572657,0.9535398230088495,0.5053082103759354,0.047373204210682925,1357,pdom_dist,relative-pdom-static-aligned,0.0,i2c
n316,0.046460176991150445,0.22861356932153393,0.9970501474926253,True,0.48750799484273444,0.5124920051572657,0.9535398230088495,0.6032325447095349,0.06421646707503756,1355,pdom_dist,relative-pdom-static-aligned,5.18725978408793e-12,i2c
n317,0.046460176991150445,0.01327433628318584,0.9941002949852508,True,0.48750799484273444,0.5124920051572657,0.9535398230088495,0.4914348326997322,0.0449869439556915,1356,pdom_dist,relative-pdom-static-aligned,0.0,i2c
n318,0.046460176991150445,0.16519174041297935,0.9963126843657817,True,0.48750799484273444,0.5124920051572657,0.9535398230088495,0.5703698452712107,0.05856398969197656,1354,pdom_dist,relative-pdom-static-aligned,5.18725978408793e-12,i2c
n319,0.046460176991150445,0.6932153392330384,0.9911504424778761,True,0.48750799484273444,0.5124920051572657,0.9535398230088495,0.8384610840091924,0.10467644209130754,1352,pdom_dist,relative-pdom-static-aligned,2.3381966365039346e-11,i2c
n320,0.046460176991150445,0.8148967551622419,0.9646017699115044,True,0.48750799484273444,0.5124920051572657,0.9535398230088495,0.8878791467205569,0.11317648884841965,1350,pdom_dist,relative-pdom-static-aligned,5.973715252887318e-11,i2c
n321,0.046460176991150445,0.8252212389380531,0.9454277286135693,True,0.48750799484273444,0.5124920051572657,0.9535398230088495,0.8838228636868479,0.11247879667768472,1347,pdom_dist,relative-pdom-static-aligned,1.216322968523303e-10,i2c
n322,0.046460176991150445,0.22271386430678466,0.9682890855457227,True,0.48750799484273444,0.5124920051572657,0.9535398230088495,0.5861877454174075,0.061284713319434414,1275,pdom_dist,relative-pdom-static-aligned,1.1517244661290302e-09,i2c
n323,0.046460176991150445,0.46017699115044247,0.976401179941003,True,0.48750799484273444,0.5124920051572657,0.9535398230088495,0.7118404103170458,0.08289732757833065,1346,pdom_dist,relative-pdom-static-aligned,1.216322968523303e-10,i2c
n324,0.046460176991150445,0.8849557522123894,0.9048672566371682,True,0.48750799484273444,0.5124920051572657,0.9535398230088495,0.8946627698088156,0.11434329123340194,1339,pdom_dist,relative-pdom-static-aligned,2.1983044983401237e-10,i2c
n325,0.046460176991150445,0.887905604719764,0.8613569321533924,True,0.48750799484273444,0.5124920051572657,0.9535398230088495,0.8749629145911959,0.11095486033848548,1327,pdom_dist,relative-pdom-static-aligned,3.7037033950617545e-10,i2c
n326,0.046460176991150445,0.46976401179941,0.9697640117994101,True,0.48750799484273444,0.5124920051572657,0.9535398230088495,0.7135180092207773,0.08318587934137091,1338,pdom_dist,relative-pdom-static-aligned,2.1983044983401237e-10,i2c
n327,0.046460176991150445,0.7160766961651918,0.911504424778761,True,0.48750799484273444,0.5124920051572657,0.9535398230088495,0.811349276278263,0.10001313437063203,1326,pdom_dist,relative-pdom-static-aligned,3.7037033950617545e-10,i2c
n328,0.046460176991150445,0.9365781710914455,0.866519174041298,True,0.48750799484273444,0.5124920051572657,0.9535398230088495,0.9024238499188351,0.11567821899465729,1310,pdom_dist,relative-pdom-static-aligned,5.977650361764375e-10,i2c
n329,0.046460176991150445,0.9292035398230089,0.8030973451327433,True,0.48750799484273444,0.5124920051572657,0.9535398230088495,0.8677257617123102,0.10971004954494641,1289,pdom_dist,relative-pdom-static-aligned,9.406230687830782e-10,i2c
