node,static_rank,cache_struct_rank,gnn_rank,gnn_reliable,effective_gnn_weight,effective_struct_weight,static_freedom,residual_score,final_score,global_rank,chosen_family,family_reason,family_score,circuit
n35,0.19631901840490798,0.22085889570552147,0.3496932515337423,True,0.5035632818996844,0.49643671810031564,0.803680981595092,0.2857351467478121,0.16990788534002352,137,pdom_dist,relative-pdom-static-aligned,5.5683257955698864e-09,ctrl
n36,0.03680981595092025,0.12883435582822086,0.9938650306748467,True,0.5035632818996844,0.49643671810031564,0.9631901840490797,0.5644320413978865,0.04632826837617918,149,pdom_dist,relative-pdom-static-aligned,2.5387803207888784e-09,ctrl
n37,0.4049079754601227,0.15950920245398773,0.4662576687116564,True,0.5035632818996844,0.49643671810031564,0.5950920245398773,0.313976466840394,0.38792927592637866,109,pdom_dist,relative-pdom-static-aligned,1.6517852325150212e-08,ctrl
n38,0.19631901840490798,0.19631901840490798,0.27607361963190186,True,0.5035632818996844,0.49643671810031564,0.803680981595092,0.2364805071453736,0.16383656369833635,128,pdom_dist,relative-pdom-static-aligned,7.962960972222718e-09,ctrl
n39,0.4049079754601227,0.22699386503067484,0.2331288343558282,True,0.5035632818996844,0.49643671810031564,0.5950920245398773,0.23008321031840295,0.38027218882991937,92,pdom_dist,relative-pdom-static-aligned,2.0238088492065736e-08,ctrl
n40,0.5950920245398773,0.38650306748466257,0.4539877300613497,True,0.5035632818996844,0.49643671810031564,0.4049079754601227,0.42048586564967194,0.5901540019692859,56,pdom_dist,relative-pdom-static-aligned,5.899997050001474e-08,ctrl
n41,0.8128834355828221,0.294478527607362,0.8957055214723927,True,0.5035632818996844,0.49643671810031564,0.18711656441717794,0.5972343658047182,0.8156739509927395,22,pdom_dist,relative-pdom-static-aligned,2.6055529500026055e-07,ctrl
n42,0.19631901840490798,0.20245398773006135,0.26993865030674846,True,0.5035632818996844,0.49643671810031564,0.803680981595092,0.23643678589507072,0.16383117444414003,127,pdom_dist,relative-pdom-static-aligned,7.962960972222718e-09,ctrl
n43,0.4049079754601227,0.2331288343558282,0.26380368098159507,True,0.5035632818996844,0.49643671810031564,0.5950920245398773,0.24857556079446883,0.38196001862797196,91,pdom_dist,relative-pdom-static-aligned,2.0238088492065736e-08,ctrl
n44,0.03680981595092025,0.1656441717791411,0.8220858895705522,True,0.5035632818996844,0.49643671810031564,0.9631901840490797,0.49620411756605043,0.03624905572083059,150,pdom_dist,relative-pdom-static-aligned,2.444275254936559e-09,ctrl
n45,0.19631901840490798,0.39263803680981596,0.7914110429447853,True,0.5035632818996844,0.49643671810031564,0.803680981595092,0.5934454805121441,0.2078374778379793,131,pdom_dist,relative-pdom-static-aligned,7.630135784293676e-09,ctrl
n46,0.4049079754601227,0.13496932515337423,0.1165644171779141,True,0.5035632818996844,0.49643671810031564,0.5950920245398773,0.12570128929018987,0.370745064794637,90,pdom_dist,relative-pdom-static-aligned,2.0238088492065736e-08,ctrl
n47,0.5950920245398773,0.5030674846625767,0.6073619631901841,True,0.5035632818996844,0.49643671810031564,0.4049079754601227,0.5555863545539548,0.5985440733566949,55,pdom_dist,relative-pdom-static-aligned,5.899997050001474e-08,ctrl
n48,0.8128834355828221,0.3496932515337423,0.9325153374233128,True,0.5035632818996844,0.49643671810031564,0.18711656441717794,0.6431810538679141,0.8169925685413182,21,pdom_dist,relative-pdom-static-aligned,2.6055529500026055e-07,ctrl
n50,0.03680981595092025,0.3006134969325153,0.5276073619631901,True,0.5035632818996844,0.49643671810031564,0.9631901840490797,0.41491927257845596,0.024240962959480587,151,pdom_dist,relative-pdom-static-aligned,2.3323319856343334e-09,ctrl
n51,0.19631901840490798,0.9263803680981595,0.8466257668711656,True,0.5035632818996844,0.49643671810031564,0.803680981595092,0.886218879357694,0.24392588467373436,122,pdom_dist,relative-pdom-static-aligned,8.098369328955927e-09,ctrl
n52,0.4049079754601227,0.8773006134969326,0.9079754601226994,True,0.5035632818996844,0.49643671810031564,0.5950920245398773,0.8927473399355732,0.440754725407195,85,pdom_dist,relative-pdom-static-aligned,2.8999991300002598e-08,ctrl
n53,0.19631901840490798,0.4110429447852761,0.8098159509202454,True,0.5035632818996844,0.49643671810031564,0.803680981595092,0.6118503884876042,0.2101061395723175,132,pdom_dist,relative-pdom-static-aligned,7.611109913066034e-09,ctrl
n54,0.4049079754601227,0.147239263803681,0.37423312883435583,True,0.5035632818996844,0.49643671810031564,0.5950920245398773,0.2615450394496216,0.38314376606817463,113,pdom_dist,relative-pdom-static-aligned,1.5277773533951792e-08,ctrl
n55,0.5950920245398773,0.6625766871165644,0.6012269938650306,True,0.5035632818996844,0.49643671810031564,0.4049079754601227,0.6316832342392831,0.6032698760395505,54,pdom_dist,relative-pdom-static-aligned,5.899997050001474e-08,ctrl
n56,0.8128834355828221,0.558282208588957,0.5030674846625767,True,0.5035632818996844,0.49643671810031564,0.18711656441717794,0.530478100999404,0.8137581223234613,20,pdom_dist,relative-pdom-static-aligned,2.6055529500026055e-07,ctrl
n57,0.03680981595092025,0.3619631901840491,0.656441717791411,True,0.5035632818996844,0.49643671810031564,0.9631901840490797,0.510251763994999,0.03832429424067038,155,pdom_dist,relative-pdom-static-aligned,1.8304429271498404e-09,ctrl
n58,0.19631901840490798,0.4723926380368098,0.7791411042944786,True,0.5035632818996844,0.49643671810031564,0.803680981595092,0.6268599024232161,0.21195627161112698,120,pdom_dist,relative-pdom-static-aligned,8.504949105627125e-09,ctrl
n59,0.19631901840490798,0.1411042944785276,0.3006134969325153,True,0.5035632818996844,0.49643671810031564,0.803680981595092,0.22142727195945885,0.16198104240533057,115,pdom_dist,relative-pdom-static-aligned,1.4285710476191485e-08,ctrl
n60,0.5950920245398773,0.08588957055214724,0.09815950920245399,True,0.5035632818996844,0.49643671810031564,0.4049079754601227,0.0920682611276035,0.5697584640317869,82,pdom_dist,relative-pdom-static-aligned,4.3999982400007046e-08,ctrl
n61,0.7055214723926381,0.09815950920245399,0.6196319018404908,True,0.5035632818996844,0.49643671810031564,0.29447852760736193,0.3607538586593446,0.6992323621661038,49,pdom_dist,relative-pdom-static-aligned,1.8763874815982777e-07,ctrl
n63,0.19631901840490798,0.4233128834355828,0.17791411042944785,True,0.5035632818996844,0.49643671810031564,0.803680981595092,0.2997390719264578,0.17163406453231772,146,pdom_dist,relative-pdom-static-aligned,3.181817545454673e-09,ctrl
n64,0.03680981595092025,0.3128834355828221,0.6748466257668712,True,0.5035632818996844,0.49643671810031564,0.9631901840490797,0.4951548075587815,0.03609404266883275,156,pdom_dist,relative-pdom-static-aligned,1.5761014362631344e-09,ctrl
n65,0.19631901840490798,0.9877300613496932,0.9447852760736196,True,0.5035632818996844,0.49643671810031564,0.803680981595092,0.9661046443355963,0.25377291995178886,143,pdom_dist,relative-pdom-static-aligned,3.3333327777778695e-09,ctrl
n66,0.19631901840490798,0.7300613496932515,0.06748466257668712,True,0.5035632818996844,0.49643671810031564,0.803680981595092,0.39641205861861406,0.18355035913944676,126,pdom_dist,relative-pdom-static-aligned,7.962960972222718e-09,ctrl
n67,0.4049079754601227,0.852760736196319,0.754601226993865,True,0.5035632818996844,0.49643671810031564,0.5950920245398773,0.803331211592669,0.4325935559528858,89,pdom_dist,relative-pdom-static-aligned,2.0238088492065736e-08,ctrl
n68,0.5950920245398773,0.9386503067484663,0.950920245398773,True,0.5035632818996844,0.49643671810031564,0.4049079754601227,0.9448289973239226,0.6227169952043536,53,pdom_dist,relative-pdom-static-aligned,5.899997050001474e-08,ctrl
n69,0.8128834355828221,0.8159509202453987,0.8588957055214724,True,0.5035632818996844,0.49643671810031564,0.18711656441717794,0.8375763372594957,0.8225714914810631,19,pdom_dist,relative-pdom-static-aligned,2.6055529500026055e-07,ctrl
n71,0.03680981595092025,0.26993865030674846,0.6134969325153374,True,0.5035632818996844,0.49643671810031564,0.9631901840490797,0.4429419864195234,0.02838071800581992,161,pdom_dist,relative-pdom-static-aligned,6.607494137207436e-10,ctrl
n72,0.19631901840490798,0.6012269938650306,0.50920245398773,True,0.5035632818996844,0.49643671810031564,0.803680981595092,0.5548868145491088,0.20308458420145026,153,pdom_dist,relative-pdom-static-aligned,2.2413789239001852e-09,ctrl
n73,0.19631901840490798,0.4294478527607362,0.38650306748466257,True,0.5035632818996844,0.49643671810031564,0.803680981595092,0.40782243574663934,0.18495684734352982,152,pdom_dist,relative-pdom-static-aligned,2.2413789239001852e-09,ctrl
n74,0.19631901840490798,0.7055214723926381,0.5950920245398773,True,0.5035632818996844,0.49643671810031564,0.803680981595092,0.6499132572135318,0.2147979192809032,134,pdom_dist,relative-pdom-static-aligned,6.574072594907739e-09,ctrl
n75,0.4049079754601227,0.37423312883435583,0.0736196319018405,True,0.5035632818996844,0.49643671810031564,0.5950920245398773,0.22285520973567774,0.3796124763298964,88,pdom_dist,relative-pdom-static-aligned,2.0238088492065736e-08,ctrl
n76,0.5950920245398773,0.6871165644171779,0.32515337423312884,True,0.5035632818996844,0.49643671810031564,0.4049079754601227,0.5048451924412186,0.5953929228622835,52,pdom_dist,relative-pdom-static-aligned,5.899997050001474e-08,ctrl
n77,0.8128834355828221,0.6196319018404908,0.5766871165644172,True,0.5035632818996844,0.49643671810031564,0.18711656441717794,0.598006484826394,0.8156961099281164,18,pdom_dist,relative-pdom-static-aligned,2.6055529500026055e-07,ctrl
n78,0.7055214723926381,0.006134969325153374,0.588957055214724,True,0.5035632818996844,0.49643671810031564,0.29447852760736193,0.29962277165932527,0.6964713510478825,48,pdom_dist,relative-pdom-static-aligned,1.8763874815982777e-07,ctrl
n80,0.19631901840490798,0.34355828220858897,0.5214723926380368,True,0.5035632818996844,0.49643671810031564,0.803680981595092,0.43314929555270454,0.18807873623151444,140,pdom_dist,relative-pdom-static-aligned,4.045583319453705e-09,ctrl
n81,0.19631901840490798,0.3558282208588957,0.44171779141104295,True,0.5035632818996844,0.49643671810031564,0.803680981595092,0.39907905488708945,0.18387910364542204,145,pdom_dist,relative-pdom-static-aligned,3.181817545454673e-09,ctrl
n82,0.19631901840490798,0.50920245398773,0.3374233128834356,True,0.5035632818996844,0.49643671810031564,0.803680981595092,0.4227007859313425,0.18679081161975034,125,pdom_dist,relative-pdom-static-aligned,7.962960972222718e-09,ctrl
n83,0.03680981595092025,0.26380368098159507,0.7361963190184049,True,0.5035632818996844,0.49643671810031564,0.9631901840490797,0.5016832681366608,0.03705848272183347,158,pdom_dist,relative-pdom-static-aligned,1.0984846959175297e-09,ctrl
n84,0.19631901840490798,0.5153374233128835,0.36809815950920244,True,0.5035632818996844,0.49643671810031564,0.803680981595092,0.4411931364074084,0.1890702518624812,141,pdom_dist,relative-pdom-static-aligned,3.796295631944559e-09,ctrl
n85,0.03680981595092025,0.0,0.9754601226993865,True,0.5035632818996844,0.49643671810031564,0.9631901840490797,0.49120590074877185,0.03551067636866008,163,pdom_dist,relative-pdom-static-aligned,0.0,ctrl
n86,0.03680981595092025,0.17791411042944785,0.9141104294478528,True,0.5035632818996844,0.49643671810031564,0.9631901840490797,0.5486355449568229,0.043994674769676306,160,pdom_dist,relative-pdom-static-aligned,1.01851839120372e-09,ctrl
n87,0.03680981595092025,0.05521472392638037,0.901840490797546,True,0.5035632818996844,0.49643671810031564,0.9631901840490797,0.4815443736328616,0.034083392920658734,159,pdom_dist,relative-pdom-static-aligned,1.01851839120372e-09,ctrl
n88,0.03680981595092025,0.6380368098159509,0.7607361963190185,True,0.5035632818996844,0.49643671810031564,0.9631901840490797,0.6998237155705134,0.06632948487388554,139,pdom_dist,relative-pdom-static-aligned,4.063146379624723e-09,ctrl
n89,0.19631901840490798,0.8404907975460123,0.48466257668711654,True,0.5035632818996844,0.49643671810031564,0.803680981595092,0.6613087708577811,0.21620257535320234,142,pdom_dist,relative-pdom-static-aligned,3.3333327777778695e-09,ctrl
n90,0.19631901840490798,0.9815950920245399,0.6257668711656442,True,0.5035632818996844,0.49643671810031564,0.803680981595092,0.8024130653363086,0.2335956486497953,119,pdom_dist,relative-pdom-static-aligned,9.608841478377503e-09,ctrl
n91,0.19631901840490798,0.7730061349693251,0.31901840490797545,True,0.5035632818996844,0.49643671810031564,0.803680981595092,0.5443945836774439,0.20179127033548983,124,pdom_dist,relative-pdom-static-aligned,7.962960972222718e-09,ctrl
n92,0.4049079754601227,0.9325153374233128,0.8711656441717791,True,0.5035632818996844,0.49643671810031564,0.5950920245398773,0.9016218845460315,0.44156472091626053,87,pdom_dist,relative-pdom-static-aligned,2.0238088492065736e-08,ctrl
n93,0.5950920245398773,0.7975460122699386,0.8343558282208589,True,0.5035632818996844,0.49643671810031564,0.4049079754601227,0.8160820839963073,0.6147214964279388,51,pdom_dist,relative-pdom-static-aligned,5.899997050001474e-08,ctrl
n94,0.8128834355828221,0.6441717791411042,0.9263803680981595,True,0.5035632818996844,0.49643671810031564,0.18711656441717794,0.786281662376598,0.8210993928097465,17,pdom_dist,relative-pdom-static-aligned,2.6055529500026055e-07,ctrl
