node,static_rank,cache_struct_rank,gnn_rank,gnn_reliable,effective_gnn_weight,effective_struct_weight,static_freedom,residual_score,final_score,global_rank,chosen_family,family_reason,family_score,circuit
n291,0.046460176991150445,0.6504424778761062,0.8053097345132744,True,0.5066862358547034,0.4933137641452967,0.9535398230088495,0.7289115851987373,0.08583361801004452,1219,pdom_dist,relative-pdom-static-aligned,2.8490025324470127e-09,i2c
n292,0.24410029498525074,0.5014749262536873,0.3812684365781711,True,0.5066862358547034,0.4933137641452967,0.7558997050147492,0.4405679524746928,0.23599662714206532,1240,pdom_dist,relative-pdom-static-aligned,2.2694260053558816e-09,i2c
n293,0.24410029498525074,0.5958702064896755,0.13716814159292035,True,0.5066862358547034,0.4933137641452967,0.7558997050147492,0.3634521838483588,0.2254817517433396,1183,pdom_dist,relative-pdom-static-aligned,3.556730826404707e-09,i2c
n294,0.24410029498525074,0.700589970501475,0.5029498525073747,True,0.5066862358547034,0.4933137641452967,0.7558997050147492,0.600448443061165,0.2577966230073703,1215,pdom_dist,relative-pdom-static-aligned,2.933866432813741e-09,i2c
n295,0.24410029498525074,0.6607669616519174,0.31268436578171094,True,0.5066862358547034,0.4933137641452967,0.7558997050147492,0.4843983013839086,0.24197297498469963,1145,pdom_dist,relative-pdom-static-aligned,3.898634964604561e-09,i2c
n296,0.24410029498525074,0.5685840707964602,0.021386430678466076,True,0.5066862358547034,0.4933137641452967,0.7558997050147492,0.29132655825649717,0.21564729142915443,1182,pdom_dist,relative-pdom-static-aligned,3.556730826404707e-09,i2c
n297,0.24410029498525074,0.7632743362831859,0.5361356932153393,True,0.5066862358547034,0.4933137641452967,0.7558997050147492,0.6481863122099938,0.26430576834615116,1093,pdom_dist,relative-pdom-static-aligned,5.69800474833824e-09,i2c
n298,0.046460176991150445,0.5110619469026548,0.362094395280236,True,0.5066862358547034,0.4933137641452967,0.9535398230088495,0.43558213890660025,0.03538012242719176,1250,pdom_dist,relative-pdom-static-aligned,2.2056350986113093e-09,i2c
n299,0.24410029498525074,0.5243362831858407,0.3746312684365782,True,0.5066862358547034,0.4933137641452967,0.7558997050147492,0.44848281277396407,0.2370758327484883,1214,pdom_dist,relative-pdom-static-aligned,2.9409058346748627e-09,i2c
n300,0.24410029498525074,0.7374631268436578,0.6917404129793511,True,0.5066862358547034,0.4933137641452967,0.7558997050147492,0.7142960570626906,0.27331995237297385,1134,pdom_dist,relative-pdom-static-aligned,4.144003578912746e-09,i2c
