node,static_rank,cache_struct_rank,gnn_rank,gnn_reliable,effective_gnn_weight,effective_struct_weight,static_freedom,residual_score,final_score,global_rank,chosen_family,family_reason,family_score,circuit
n19,0.1865079365079365,0.1111111111111111,0.6944444444444444,True,0.5387239249236006,0.4612760750763995,0.8134920634920635,0.42536673398321145,0.17446159333786718,241,pdom_dist,relative-pdom-static-aligned,0.000236686607495051,int2float
n20,0.1865079365079365,0.15476190476190477,0.626984126984127,True,0.5387239249236006,0.4612760750763995,0.8134920634920635,0.40915931375360504,0.17184559974134625,191,pdom_dist,relative-pdom-static-aligned,0.003751675782388745,int2float
n21,0.1865079365079365,0.32936507936507936,0.5793650793650794,True,0.5387239249236006,0.4612760750763995,0.8134920634920635,0.4640460605959795,0.18070471342134023,232,pdom_dist,relative-pdom-static-aligned,0.0006314761219321352,int2float
n22,0.1865079365079365,0.5793650793650794,0.5079365079365079,True,0.5387239249236006,0.4612760750763995,0.8134920634920635,0.5408847990133936,0.19310703561802856,222,pdom_dist,relative-pdom-static-aligned,0.0013524948774301401,int2float
n23,0.1865079365079365,0.2261904761904762,0.5634920634920635,True,0.5387239249236006,0.4612760750763995,0.8134920634920635,0.4079029111845478,0.17164280737656865,231,pdom_dist,relative-pdom-static-aligned,0.0006314761219321352,int2float
n24,0.1865079365079365,0.4126984126984127,0.44047619047619047,True,0.5387239249236006,0.4612760750763995,0.8134920634920635,0.42766296616851274,0.17483222164316037,221,pdom_dist,relative-pdom-static-aligned,0.0013524948774301401,int2float
n25,0.1865079365079365,0.8174603174603174,0.5595238095238095,True,0.5387239249236006,0.4612760750763995,0.8134920634920635,0.6785037495236745,0.21531971895656438,200,pdom_dist,relative-pdom-static-aligned,0.0025952478171099094,int2float
n26,0.1865079365079365,0.8293650793650794,0.4166666666666667,True,0.5387239249236006,0.4612760750763995,0.8134920634920635,0.6070345706664506,0.20378408209453136,173,pdom_dist,relative-pdom-static-aligned,0.0046989251000691,int2float
n27,0.5456349206349206,0.7420634920634921,0.36904761904761907,True,0.5387239249236006,0.4612760750763995,0.4543650793650794,0.5411109168935776,0.5493411438526035,140,pdom_dist,relative-pdom-static-aligned,0.008284030769229752,int2float
n28,0.5456349206349206,0.3888888888888889,0.30952380952380953,True,0.5387239249236006,0.4612760750763995,0.4543650793650794,0.34613302183146033,0.5317635353676163,130,pdom_dist,relative-pdom-static-aligned,0.01092399661876451,int2float
n29,0.5456349206349206,0.6865079365079365,0.4642857142857143,True,0.5387239249236006,0.4612760750763995,0.4543650793650794,0.5667915087471365,0.5516562954707948,111,pdom_dist,relative-pdom-static-aligned,0.014565328478225864,int2float
n30,0.5456349206349206,0.5634920634920635,0.6825396825396826,True,0.5387239249236006,0.4612760750763995,0.4543650793650794,0.6276258640782064,0.5571406221946291,83,pdom_dist,relative-pdom-static-aligned,0.02614310859601518,int2float
n31,0.1865079365079365,0.3611111111111111,0.32936507936507936,True,0.5387239249236006,0.4612760750763995,0.8134920634920635,0.3440087642881397,0.1613298348758099,220,pdom_dist,relative-pdom-static-aligned,0.0013524948774301401,int2float
n32,0.1865079365079365,0.18253968253968253,0.6150793650793651,True,0.5387239249236006,0.4612760750763995,0.8134920634920635,0.4155591580026685,0.17287858039694118,230,pdom_dist,relative-pdom-static-aligned,0.0006314761219321352,int2float
n33,0.1865079365079365,0.2857142857142857,0.5198412698412699,True,0.5387239249236006,0.4612760750763995,0.8134920634920635,0.4118440935337001,0.1722789424086739,164,pdom_dist,relative-pdom-static-aligned,0.004896964194498912,int2float
