node,static_rank,cache_struct_rank,gnn_rank,gnn_reliable,effective_gnn_weight,effective_struct_weight,static_freedom,residual_score,final_score,global_rank,chosen_family,family_reason,family_score,circuit
n386,0.4153287788215201,0.018915456874466267,0.9819385140905209,True,0.5642894569179074,0.4357105430820925,0.5846712211784799,0.5623392148303366,0.41888045622685427,3981,pdom_dist,relative-pdom-static-aligned,4.2650660406445845e-10,arbiter
n387,0.4153287788215201,0.05392826643894107,0.9596071733561059,True,0.5642894569179074,0.4357105430820925,0.5846712211784799,0.5649933249652321,0.4190316699215252,3213,pdom_dist,relative-pdom-static-aligned,6.26247645770138e-10,arbiter
n388,0.4153287788215201,0.04312553373185312,0.9955593509820666,True,0.5642894569179074,0.4357105430820925,0.5846712211784799,0.5805738952182256,0.41991934807853093,3557,pdom_dist,relative-pdom-static-aligned,5.030820897419402e-10,arbiter
n389,0.4153287788215201,0.06938514090520922,0.9066609735269001,True,0.5642894569179074,0.4357105430820925,0.5846712211784799,0.5418510657857919,0.4177131765901654,11656,pdom_dist,relative-pdom-static-aligned,0.0,arbiter
n390,0.4153287788215201,0.018915456874466267,0.9819385140905209,True,0.5642894569179074,0.4357105430820925,0.5846712211784799,0.5623392148303366,0.41888045622685427,3980,pdom_dist,relative-pdom-static-aligned,4.2650660406445845e-10,arbiter
n391,0.4153287788215201,0.05392826643894107,0.9570452604611444,True,0.5642894569179074,0.4357105430820925,0.5846712211784799,0.5635476645290632,0.4189493057223465,3212,pdom_dist,relative-pdom-static-aligned,6.26247645770138e-10,arbiter
n392,0.4153287788215201,0.9962852263023058,0.9461144321093082,True,0.5642894569179074,0.4357105430820925,0.5846712211784799,0.9679743760939991,0.4419908730165146,2443,pdom_dist,relative-pdom-static-aligned,1.0632433099807869e-09,arbiter
n393,0.4153287788215201,0.09163108454312553,0.840136635354398,True,0.5642894569179074,0.4357105430820925,0.5846712211784799,0.5140048753104577,0.416126684270603,11527,pdom_dist,relative-pdom-static-aligned,1.022461253167603e-14,arbiter
n394,0.4153287788215201,0.029675491033304868,0.9853970964987191,True,0.5642894569179074,0.4357105430820925,0.5846712211784799,0.568979116746094,0.41925875405546853,2571,pdom_dist,relative-pdom-static-aligned,9.908034820724348e-10,arbiter
n395,0.4153287788215201,0.02425277540563621,0.966865926558497,True,0.5642894569179074,0.4357105430820925,0.5846712211784799,0.5561594385533615,0.41852837332313647,3622,pdom_dist,relative-pdom-static-aligned,4.980458939809096e-10,arbiter
n396,0.4153287788215201,0.9846285226302306,0.9362937660119556,True,0.5642894569179074,0.4357105430820925,0.5846712211784799,0.9573537290678449,0.44138577857996314,2954,pdom_dist,relative-pdom-static-aligned,7.771991062867445e-10,arbiter
n397,0.4153287788215201,0.11306575576430401,0.8082835183603757,True,0.5642894569179074,0.4357105430820925,0.5846712211784799,0.505369809459324,0.4156347151567713,11399,pdom_dist,relative-pdom-static-aligned,4.1898996091866116e-14,arbiter
n398,0.4153287788215201,0.013578138343296327,0.9736976942783946,True,0.5642894569179074,0.4357105430820925,0.5846712211784799,0.5553634811381754,0.4184830249180464,3979,pdom_dist,relative-pdom-static-aligned,4.2650660406445845e-10,arbiter
