node,static_rank,cache_struct_rank,gnn_rank,gnn_reliable,effective_gnn_weight,effective_struct_weight,static_freedom,residual_score,final_score,global_rank,chosen_family,family_reason,family_score,circuit
n22,0.26945668135095446,0.3641703377386197,0.43612334801762115,True,0.4880452072581432,0.5119547927418567,0.7305433186490455,0.39928665955308223,0.2562487522233569,97,pdom_dist,relative-pdom-static-aligned,0.030533102234869672,cavlc
n23,0.26945668135095446,0.24669603524229075,0.8091042584434655,True,0.4880452072581432,0.5119547927418567,0.7305433186490455,0.5211766730981922,0.27223387051177517,536,pdom_dist,relative-pdom-static-aligned,0.0014062314702475644,cavlc
n24,0.26945668135095446,0.27606461086637296,0.8913362701908958,True,0.4880452072581432,0.5119547927418567,0.7305433186490455,0.5763449953614714,0.2794688533582224,330,pdom_dist,relative-pdom-static-aligned,0.004657251684019654,cavlc
n25,0.26945668135095446,0.26725403817914833,0.46402349486049926,True,0.4880452072581432,0.5119547927418567,0.7305433186490455,0.36328642844727044,0.2515275454903392,259,pdom_dist,relative-pdom-static-aligned,0.005846375619962986,cavlc
n26,0.26945668135095446,0.3788546255506608,0.328928046989721,True,0.4880452072581432,0.5119547927418567,0.7305433186490455,0.35448819816919697,0.250373712230064,507,pdom_dist,relative-pdom-static-aligned,0.00182215907434386,cavlc
n27,0.26945668135095446,0.5594713656387665,0.06754772393538913,True,0.4880452072581432,0.5119547927418567,0.7305433186490455,0.3193903899684611,0.24577085265662285,404,pdom_dist,relative-pdom-static-aligned,0.003222344432509529,cavlc
n28,0.26945668135095446,0.25697503671071953,0.8223201174743024,True,0.4880452072581432,0.5119547927418567,0.7305433186490455,0.5328889938243541,0.2737698686365953,260,pdom_dist,relative-pdom-static-aligned,0.005629420282374754,cavlc
n29,0.26945668135095446,0.39941262848751835,0.5859030837004405,True,0.4880452072581432,0.5119547927418567,0.7305433186490455,0.49042840135357446,0.26820142563211125,329,pdom_dist,relative-pdom-static-aligned,0.0051143394503507045,cavlc
n30,0.26945668135095446,0.6123348017621145,0.869309838472834,True,0.4880452072581432,0.5119547927418567,0.7305433186490455,0.7377502368137665,0.3006361483805565,422,pdom_dist,relative-pdom-static-aligned,0.0030162092014874705,cavlc
n31,0.26945668135095446,0.2878120411160059,0.3436123348017621,True,0.4880452072581432,0.5119547927418567,0.7305433186490455,0.31504510701293603,0.24520099578303237,499,pdom_dist,relative-pdom-static-aligned,0.00182215907434386,cavlc
n32,0.26945668135095446,0.5859030837004405,0.09104258443465492,True,0.4880452072581432,0.5119547927418567,0.7305433186490455,0.344388788772402,0.24904923740923557,397,pdom_dist,relative-pdom-static-aligned,0.003222344432509529,cavlc
n33,0.7026431718061674,0.7577092511013216,0.14537444933920704,True,0.4880452072581432,0.5119547927418567,0.2973568281938326,0.45886218586395633,0.7004472297151516,310,pdom_dist,relative-pdom-static-aligned,0.005514710707719987,cavlc
n34,0.7026431718061674,0.6593245227606461,0.17033773861967694,True,0.4880452072581432,0.5119547927418567,0.2973568281938326,0.42067686634807383,0.6984088921868981,228,pdom_dist,relative-pdom-static-aligned,0.009329454060806854,cavlc
n35,0.26945668135095446,0.13509544787077826,0.7709251101321586,True,0.4880452072581432,0.5119547927418567,0.7305433186490455,0.44540906717000883,0.2622974195428528,186,pdom_dist,relative-pdom-static-aligned,0.011245324626642694,cavlc
n36,0.26945668135095446,0.2173274596182085,0.5947136563876652,True,0.4880452072581432,0.5119547927418567,0.7305433186490455,0.4015089842369204,0.2565401963040755,582,pdom_dist,relative-pdom-static-aligned,0.0009679770032338405,cavlc
n37,0.26945668135095446,0.3803230543318649,0.7459618208516887,True,0.4880452072581432,0.5119547927418567,0.7305433186490455,0.5587713019196442,0.27716417260332166,440,pdom_dist,relative-pdom-static-aligned,0.0019879786555146964,cavlc
n38,0.26945668135095446,0.47577092511013214,0.43171806167400884,True,0.4880452072581432,0.5119547927418567,0.7305433186490455,0.4542711362441346,0.26345962486476465,489,pdom_dist,relative-pdom-static-aligned,0.00182215907434386,cavlc
n39,0.26945668135095446,0.5873715124816447,0.11013215859030837,True,0.4880452072581432,0.5119547927418567,0.7305433186490455,0.35445713310000504,0.2503696382391665,387,pdom_dist,relative-pdom-static-aligned,0.003222344432509529,cavlc
n40,0.26945668135095446,0.28046989720998533,0.7988252569750367,True,0.4880452072581432,0.5119547927418567,0.7305433186490455,0.5334507461998892,0.27384353897192926,183,pdom_dist,relative-pdom-static-aligned,0.013119545335275791,cavlc
n41,0.26945668135095446,0.11747430249632893,0.6916299559471366,True,0.4880452072581432,0.5119547927418567,0.7305433186490455,0.397688217383163,0.25603912645976723,544,pdom_dist,relative-pdom-static-aligned,0.0010823351039200599,cavlc
n42,0.26945668135095446,0.14977973568281938,0.8810572687224669,True,0.4880452072581432,0.5119547927418567,0.7305433186490455,0.5066762308583778,0.2703322275658415,580,pdom_dist,relative-pdom-static-aligned,0.0009679770032338405,cavlc
n43,0.26945668135095446,0.2599118942731278,0.6284875183553598,True,0.4880452072581432,0.5119547927418567,0.7305433186490455,0.43979346111864015,0.2615609676844808,579,pdom_dist,relative-pdom-static-aligned,0.0009679770032338405,cavlc
n44,0.26945668135095446,0.5124816446402349,0.3671071953010279,True,0.4880452072581432,0.5119547927418567,0.7305433186490455,0.4415323413824431,0.261789011031904,486,pdom_dist,relative-pdom-static-aligned,0.00182215907434386,cavlc
