node,static_rank,cache_struct_rank,gnn_rank,gnn_reliable,effective_gnn_weight,effective_struct_weight,static_freedom,residual_score,final_score,global_rank,chosen_family,family_reason,family_score,circuit
n50,0.4852504638218924,0.0037105751391465678,0.8675324675324675,True,0.5345907833314355,0.46540921666856455,0.5147495361781076,0.465501797252535,0.483437111911257,376,pdom_dist,relative-pdom-static-aligned,0.005392455163798343,sin
n51,0.4852504638218924,0.02987012987012987,0.887012987012987,True,0.5345907833314355,0.46540921666856455,0.5147495361781076,0.4880908012970746,0.4846244727121476,1217,pdom_dist,relative-pdom-static-aligned,0.0013592692549764366,sin
n52,0.4852504638218924,0.037291280148423006,0.9055658627087199,True,0.5345907833314355,0.46540921666856455,0.5147495361781076,0.5014628693861073,0.48532735759562684,1014,pdom_dist,relative-pdom-static-aligned,0.001637176699460922,sin
n53,0.4852504638218924,0.039888682745825604,0.9038961038961039,True,0.5345907833314355,0.46540921666856455,0.5147495361781076,0.5017790868227264,0.485343979142467,1444,pdom_dist,relative-pdom-static-aligned,0.001147467195831303,sin
n54,0.4852504638218924,0.028014842300556585,0.9172541743970315,True,0.5345907833314355,0.46540921666856455,0.5147495361781076,0.5033939934151337,0.4854288645487091,1213,pdom_dist,relative-pdom-static-aligned,0.00136511752416281,sin
n55,0.4852504638218924,0.04564007421150278,0.9027829313543599,True,0.5345907833314355,0.46540921666856455,0.5147495361781076,0.5038607456384475,0.4854533987553788,1193,pdom_dist,relative-pdom-static-aligned,0.0013922231431306288,sin
n56,0.4852504638218924,0.0339517625231911,0.9126159554730984,True,0.5345907833314355,0.46540921666856455,0.5147495361781076,0.5036775417175656,0.48544376888618246,1003,pdom_dist,relative-pdom-static-aligned,0.001662995710763562,sin
n57,0.4852504638218924,0.033766233766233764,0.9217068645640074,True,0.5345907833314355,0.46540921666856455,0.5147495361781076,0.5084511111362245,0.4856946851814237,889,pdom_dist,relative-pdom-static-aligned,0.001910703302955696,sin
n58,0.4852504638218924,0.026159554730983303,0.9202226345083488,True,0.5345907833314355,0.46540921666856455,0.5147495361781076,0.5041174368968808,0.4854668913882365,745,pdom_dist,relative-pdom-static-aligned,0.0022782825381817153,sin
n59,0.4852504638218924,0.038589981447124305,0.9077922077922078,True,0.5345907833314355,0.46540921666856455,0.5147495361781076,0.5032574805023702,0.4854216889299385,706,pdom_dist,relative-pdom-static-aligned,0.002404748830171559,sin
n60,0.4852504638218924,0.025974025974025976,0.9179962894248609,True,0.5345907833314355,0.46540921666856455,0.5147495361781076,0.5028409065412879,0.4853997922765453,591,pdom_dist,relative-pdom-static-aligned,0.002941279911658123,sin
n61,0.4852504638218924,0.0450834879406308,0.9009276437847866,True,0.5345907833314355,0.46540921666856455,0.5147495361781076,0.5026098856229892,0.48538764897080094,558,pdom_dist,relative-pdom-static-aligned,0.003155010607360083,sin
n62,0.4852504638218924,0.03840445269016698,0.9079777365491651,True,0.5345907833314355,0.46540921666856455,0.5147495361781076,0.5032703156724375,0.48542236359349517,472,pdom_dist,relative-pdom-static-aligned,0.003910440063646988,sin
n63,0.4852504638218924,0.04341372912801484,0.912430426716141,True,0.5345907833314355,0.46540921666856455,0.5147495361781076,0.5079820462197484,0.4856700294111295,418,pdom_dist,relative-pdom-static-aligned,0.004688862442796765,sin
n64,0.4852504638218924,0.03951762523191095,0.9346938775510204,True,0.5345907833314355,0.46540921666856455,0.5147495361781076,0.5180705991788824,0.48620032071116936,337,pdom_dist,relative-pdom-static-aligned,0.006049173166667654,sin
n65,0.4852504638218924,0.02857142857142857,0.9185528756957329,True,0.5345907833314355,0.46540921666856455,0.5147495361781076,0.504347307540055,0.48547897423130665,335,pdom_dist,relative-pdom-static-aligned,0.006145973905686877,sin
