circuit,load_seconds,gnn_seconds,rank_seconds,total_seconds,runtime_no_fi,gnn_nonrandom,gnn_struct_agree,train_nodes,device,epochs,hidden,layers,gnn_reliable,effective_gnn_weight,effective_struct_weight,residual_step,chosen_family,family_reason,family_selector_mode,adaptive_parameter_mode,frontier_metric_mode,structural_effective_dim,structural_active_features,frontier_fraction,core_fraction,tail_quantile,family_peer_frontier_overlap,family_gnn_frontier_overlap,family_cache_frontier_overlap,family_static_core_overlap,family_tail_separation,family_frontier_mean,family_peer_frontier_overlap_pct,family_gnn_frontier_overlap_pct,family_cache_frontier_overlap_pct,family_static_core_overlap_pct,family_tail_separation_pct,family_frontier_mean_pct,distance_guard_active,distance_guard_mode,final_score_mean
adder,0.023167600000306265,4.891292600001179,0.24352879999787547,5.182145800001308,True,0.7235900673400674,0.553766835016835,2296,cuda,30,64,3,True,0.6864973485892444,0.3135026514107557,0.1219603441825664,pdom_dist,relative-pdom-static-aligned,v38_cross_benchmark_adaptive_no_hand_parameters,runtime_visible_signal_geometry,runtime_visible_structural_effective_dimension,3.9635258279583185,6.0,0.25230061400031734,0.10036607695580348,0.9579498976666138,0.48686365568015055,0.7121212121212122,0.0022172949002217295,1.0,-0.0011209236288477111,0.004424999130127572,0.9137931034482759,0.8448275862068966,0.25862068965517243,0.8793103448275862,0.05172413793103448,0.1896551724137931,False,auto_runtime_visible,0.499614577540638
arbiter,0.23180720000164,0.729712099997414,2.6611064999997325,3.9085317000026407,True,0.7370710130230572,0.09253042271562767,8192,cuda,30,64,3,True,0.5642894569179074,0.4357105430820925,0.09744520352974666,pdom_dist,relative-pdom-static-aligned,v38_cross_benchmark_adaptive_no_hand_parameters,runtime_visible_signal_geometry,runtime_visible_structural_effective_dimension,4.387999811182717,6.0,0.2278942668710976,0.09626492281252226,0.9620176221881505,0.3793155765630713,0.10884918986289988,0.024764830101746977,0.7013574660633484,-8.535546105914423e-05,0.0003747152521634289,0.9137931034482759,0.5689655172413793,0.25862068965517243,0.9310344827586207,0.1206896551724138,0.22413793103448276,False,auto_runtime_visible,0.5017179382985097
bar,0.0652263000010862,0.634707500001241,0.6941535000005388,1.5033340000009048,True,0.7529281649516681,0.17949017773620207,6807,cuda,30,64,3,True,0.570756890998922,0.42924310900107787,0.17508574992204554,pdom_dist,relative-pdom-static-aligned,v38_cross_benchmark_adaptive_no_hand_parameters,runtime_visible_signal_geometry,runtime_visible_structural_effective_dimension,4.054210939435307,6.0,0.24665712143218813,0.0994608135858511,0.9588904797613019,0.48543650884622125,0.35269000853970967,0.21193573068094873,1.0,0.8978314551465212,0.3889755874656004,0.5517241379310345,0.603448275862069,0.2413793103448276,0.9310344827586207,0.9827586206896551,0.43103448275862066,False,auto_runtime_visible,0.49483425459407687
cavlc,0.012900099998660153,0.6041833999988739,0.17780359999960638,0.8131435999966925,True,0.7517781754772394,0.6626973201174743,1396,cuda,30,64,3,True,0.4880452072581432,0.5119547927418567,0.17951541850220265,pdom_dist,relative-pdom-static-aligned,v38_cross_benchmark_adaptive_no_hand_parameters,runtime_visible_signal_geometry,runtime_visible_structural_effective_dimension,3.951792849884219,6.0,0.25304970123352954,0.10048440668774915,0.9578250497944117,0.35105062472972326,0.3106060606060606,0.3007518796992481,0.6829268292682927,0.21287422181497825,0.1697765369362562,0.7068965517241379,0.6379310344827587,0.5172413793103449,0.8793103448275862,0.39655172413793105,0.3620689655172414,False,auto_runtime_visible,0.49666776795437223
ctrl,0.0048920000008365605,0.5822215000007418,0.04795499999818276,0.6412368000019342,True,0.6519842791411044,0.5071894171779141,357,cuda,30,64,3,True,0.4872449960539519,0.5127550039460481,0.15337423312883436,pdom_dist,relative-pdom-static-aligned,v38_cross_benchmark_adaptive_no_hand_parameters,runtime_visible_signal_geometry,runtime_visible_structural_effective_dimension,4.393547289850952,6.0,0.22760651792914338,0.09621354212497554,0.9620655803451428,0.3928097906318052,0.20634920634920634,0.26666666666666666,1.0,0.9085365140084226,0.39473699980978383,0.8103448275862069,0.39655172413793105,0.5689655172413793,0.9310344827586207,0.9482758620689655,0.39655172413793105,False,auto_runtime_visible,0.4992564225976586
dec,0.0065675000005285256,0.5444342000009783,0.06262780000179191,0.6211952999983623,True,0.5,0.28014184397163117,616,cuda,30,64,3,True,0.35657532164399014,0.6434246783560098,0.5106382978723405,index_mid,relative-mid-index,v38_cross_benchmark_adaptive_no_hand_parameters,runtime_visible_signal_geometry,runtime_visible_structural_effective_dimension,1.2646887138055745,6.0,0.790708408388417,0.1376521471731656,0.8682152652685972,0.7379326780828404,0.6521739130434783,0.7272727272727273,0.0,0.3695652173913043,0.608695652173913,0.13793103448275862,0.9310344827586207,0.1206896551724138,0.08620689655172414,0.9137931034482759,0.5344827586206896,True,auto_runtime_visible,0.49085305100435384
div,1.2055326999980025,1.4338865999998234,15.313363299999764,19.46668259999933,True,0.6968087172607584,0.12293847823803356,8192,cuda,30,64,3,True,0.5218279370253079,0.4781720629746921,0.10092965439966387,pdom_dist,relative-pdom-static-aligned,v38_cross_benchmark_adaptive_no_hand_parameters,runtime_visible_signal_geometry,runtime_visible_structural_effective_dimension,5.476652653796476,6.0,0.1825932852080347,0.08713342035921946,0.9695677857986609,0.21939056016297417,0.20689655172413793,0.16816934535476283,0.07147470398277718,-0.0014316149510626864,0.020098348752121357,0.39655172413793105,0.5,0.29310344827586204,0.6724137931034483,0.05172413793103448,0.25862068965517243,False,auto_runtime_visible,0.499989826723602
hyp,4.717078100002254,4.203160299999581,59.705445699997654,75.08716339999955,True,0.7525139716557893,0.7770883372781341,8192,cuda,30,64,3,True,0.5301735888136067,0.46982641118639334,0.10005835504140874,index_mid,relative-mid-index,v38_cross_benchmark_adaptive_no_hand_parameters,runtime_visible_signal_geometry,runtime_visible_structural_effective_dimension,5.148551902595655,6.0,0.19422937146576058,0.0896977480785801,0.9676284380890399,0.08463805326421603,0.12886465074003228,0.10992250336796895,0.058360186179735055,0.46762991893909395,0.902883205885923,0.05172413793103448,0.1896551724137931,0.08620689655172414,0.8448275862068966,0.9827586206896551,0.8448275862068966,False,auto_runtime_visible,0.4999932735478173
i2c,0.0259342999997898,0.6082225000027393,0.29401469999720575,0.9714463000018441,True,0.7132247879793511,0.6541643620943953,2861,cuda,30,64,3,True,0.5069293191901003,0.49307068080989974,0.1803834808259587,pdom_dist,relative-pdom-static-aligned,v38_cross_benchmark_adaptive_no_hand_parameters,runtime_visible_signal_geometry,runtime_visible_structural_effective_dimension,4.211699741931861,6.0,0.23743382987252334,0.09792689026036902,0.9604276950212461,0.4323654565325243,0.2971887550200803,0.3237704918032787,1.0,0.8960942739406756,0.4365326489130871,0.7758620689655172,0.603448275862069,0.5344827586206896,0.9310344827586207,0.9482758620689655,0.46551724137931033,False,auto_runtime_visible,0.499016024984865
int2float,0.006039699997927528,0.5534651999987545,0.056861699998989934,0.6235023999979603,True,0.7091703869047619,0.5023561507936508,531,cuda,30,64,3,True,0.508832670194768,0.49116732980523203,0.1984126984126984,pdom_dist,relative-pdom-static-aligned,v38_cross_benchmark_adaptive_no_hand_parameters,runtime_visible_signal_geometry,runtime_visible_structural_effective_dimension,3.98949948033654,6.0,0.2506580098402829,0.10010511557344919,0.9582236650266195,0.42233402130919495,0.20754716981132076,0.1743119266055046,1.0,0.5279983784870849,0.2803725193895713,0.43103448275862066,0.1896551724137931,0.2413793103448276,0.9137931034482759,0.9137931034482759,0.3620689655172414,False,auto_runtime_visible,0.5006873055953321
