node,static_rank,cache_struct_rank,gnn_rank,gnn_reliable,effective_gnn_weight,effective_struct_weight,static_freedom,residual_score,final_score,global_rank,chosen_family,family_reason,family_score,circuit
n386,0.4153287788215201,0.005721605465414176,0.9497011101622544,True,0.48806859815911313,0.5119314018408869,0.5846712211784799,0.466448359013735,0.4134172275527541,3981,pdom_dist,relative-pdom-static-aligned,4.2650660406445845e-10,arbiter
n387,0.4153287788215201,0.048121263877028184,0.9357386848847139,True,0.48806859815911313,0.5119314018408869,0.5846712211784799,0.4813394542498567,0.4142656239695963,3213,pdom_dist,relative-pdom-static-aligned,6.26247645770138e-10,arbiter
n388,0.4153287788215201,0.017292912040990607,0.9587959009393681,True,0.48806859815911313,0.5119314018408869,0.5846712211784799,0.4768109559952367,0.4140076199993057,3557,pdom_dist,relative-pdom-static-aligned,5.030820897419402e-10,arbiter
n389,0.4153287788215201,0.03304867634500427,0.8736976942783945,True,0.48806859815911313,0.5119314018408869,0.5846712211784799,0.4433430640715892,0.41210084019989857,11656,pdom_dist,relative-pdom-static-aligned,0.0,arbiter
n390,0.4153287788215201,0.005465414175918019,0.9497011101622544,True,0.48806859815911313,0.5119314018408869,0.5846712211784799,0.46631720664776377,0.4134097553557407,3980,pdom_dist,relative-pdom-static-aligned,4.2650660406445845e-10,arbiter
n391,0.4153287788215201,0.048121263877028184,0.9357386848847139,True,0.48806859815911313,0.5119314018408869,0.5846712211784799,0.4813394542498567,0.4142656239695963,3212,pdom_dist,relative-pdom-static-aligned,6.26247645770138e-10,arbiter
n392,0.4153287788215201,0.20794192997438088,0.9907771135781384,True,0.48806859815911313,0.5119314018408869,0.5846712211784799,0.5900192006254987,0.4204574792996699,2443,pdom_dist,relative-pdom-static-aligned,1.0632433099807869e-09,arbiter
n393,0.4153287788215201,0.05333048676345004,0.9132365499573014,True,0.48806859815911313,0.5119314018408869,0.5846712211784799,0.47302363357499483,0.41379184334085245,11527,pdom_dist,relative-pdom-static-aligned,1.022461253167603e-14,arbiter
n394,0.4153287788215201,0.021605465414175917,0.9647736976942783,True,0.48806859815911313,0.5119314018408869,0.5846712211784799,0.48193626237133436,0.41429962616109234,2571,pdom_dist,relative-pdom-static-aligned,9.908034820724348e-10,arbiter
n395,0.4153287788215201,0.011315115286080273,0.9435098206660973,True,0.48806859815911313,0.5119314018408869,0.5846712211784799,0.46629007835225267,0.4134082097643425,3622,pdom_dist,relative-pdom-static-aligned,4.980458939809096e-10,arbiter
n396,0.4153287788215201,0.2172929120409906,0.9812980358667805,True,0.48806859815911313,0.5119314018408869,0.5846712211784799,0.5901798218130235,0.42046663043582233,2954,pdom_dist,relative-pdom-static-aligned,7.771991062867445e-10,arbiter
n397,0.4153287788215201,0.06400512382578992,0.8980785653287788,True,0.48806859815911313,0.5119314018408869,0.5846712211784799,0.47109017918190077,0.41368168785845044,11399,pdom_dist,relative-pdom-static-aligned,4.1898996091866116e-14,arbiter
n398,0.4153287788215201,0.0005977796754910333,0.9550811272416738,True,0.48806859815911313,0.5119314018408869,0.5846712211784799,0.4664511290883354,0.4134173853733394,3979,pdom_dist,relative-pdom-static-aligned,4.2650660406445845e-10,arbiter
n399,0.4153287788215201,0.04397950469684031,0.9319812126387703,True,0.48806859815911313,0.5119314018408869,0.5846712211784799,0.4773852534549563,0.4140403396817267,3211,pdom_dist,relative-pdom-static-aligned,6.26247645770138e-10,arbiter
n400,0.4153287788215201,0.20204953031596926,0.990264730999146,True,0.48806859815911313,0.5119314018408869,0.5846712211784799,0.5867526183611114,0.42027137098161255,2442,pdom_dist,relative-pdom-static-aligned,1.0632433099807869e-09,arbiter
