node,static_rank,cache_struct_rank,gnn_rank,gnn_reliable,effective_gnn_weight,effective_struct_weight,static_freedom,residual_score,final_score,global_rank,chosen_family,family_reason,family_score,circuit
n35,0.19631901840490798,0.147239263803681,0.5398773006134969,True,0.4919119959723879,0.5080880040276121,0.803680981595092,0.3403826241854775,0.1766439494978147,137,pdom_dist,relative-pdom-static-aligned,5.5683257955698864e-09,ctrl
n36,0.03680981595092025,0.15337423312883436,1.0,True,0.4919119959723879,0.5080880040276121,0.9631901840490797,0.569839603952083,0.0471271197829021,149,pdom_dist,relative-pdom-static-aligned,2.5387803207888784e-09,ctrl
n37,0.4049079754601227,0.15950920245398773,0.22085889570552147,True,0.4919119959723879,0.5080880040276121,0.5950920245398773,0.18968785251364342,0.376585232501998,109,pdom_dist,relative-pdom-static-aligned,1.6517852325150212e-08,ctrl
n38,0.19631901840490798,0.1165644171779141,0.588957055214724,True,0.4919119959723879,0.5080880040276121,0.803680981595092,0.348940022637263,0.1776987682689238,128,pdom_dist,relative-pdom-static-aligned,7.962960972222718e-09,ctrl
n39,0.4049079754601227,0.17791411042944785,0.0736196319018405,True,0.4919119959723879,0.5080880040276121,0.5950920245398773,0.12661040532803317,0.3708280414362784,92,pdom_dist,relative-pdom-static-aligned,2.0238088492065736e-08,ctrl
n40,0.5950920245398773,0.5644171779141104,0.32515337423312884,True,0.4919119959723879,0.5080880040276121,0.4049079754601227,0.44672044268145317,0.5917832334835484,56,pdom_dist,relative-pdom-static-aligned,5.899997050001474e-08,ctrl
n41,0.8128834355828221,0.6932515337423313,0.8957055214723927,True,0.4919119959723879,0.5080880040276121,0.18711656441717794,0.7928410789391951,0.8212876405845585,22,pdom_dist,relative-pdom-static-aligned,2.6055529500026055e-07,ctrl
n42,0.19631901840490798,0.12269938650306748,0.5828220858895705,True,0.4919119959723879,0.5080880040276121,0.803680981595092,0.34903926195048524,0.17771100089908687,127,pdom_dist,relative-pdom-static-aligned,7.962960972222718e-09,ctrl
n43,0.4049079754601227,0.18404907975460122,0.07975460122699386,True,0.4919119959723879,0.5080880040276121,0.5950920245398773,0.13274537465318653,0.3713879910246519,91,pdom_dist,relative-pdom-static-aligned,2.0238088492065736e-08,ctrl
n44,0.03680981595092025,0.06748466257668712,0.852760736196319,True,0.4919119959723879,0.5080880040276121,0.9631901840490797,0.45377138334028005,0.0299805291734954,150,pdom_dist,relative-pdom-static-aligned,2.444275254936559e-09,ctrl
n45,0.19631901840490798,0.25153374233128833,0.8343558282208589,True,0.4919119959723879,0.5080880040276121,0.803680981595092,0.5382309178980175,0.20103151251895093,131,pdom_dist,relative-pdom-static-aligned,7.630135784293676e-09,ctrl
n46,0.4049079754601227,0.12883435582822086,0.09815950920245399,True,0.4919119959723879,0.5080880040276121,0.5950920245398773,0.11374503079839302,0.36965379576521895,90,pdom_dist,relative-pdom-static-aligned,2.0238088492065736e-08,ctrl
n47,0.5950920245398773,0.6503067484662577,0.4601226993865031,True,0.4919119959723879,0.5080880040276121,0.4049079754601227,0.556752933281325,0.5986165207540437,55,pdom_dist,relative-pdom-static-aligned,5.899997050001474e-08,ctrl
n48,0.8128834355828221,0.7484662576687117,0.9141104294478528,True,0.4919119959723879,0.5080880040276121,0.18711656441717794,0.829948612829782,0.8223525844887918,21,pdom_dist,relative-pdom-static-aligned,2.6055529500026055e-07,ctrl
n50,0.03680981595092025,0.07975460122699386,0.6809815950920245,True,0.4919119959723879,0.5080880040276121,0.9631901840490797,0.3755053718116197,0.018418404319342368,151,pdom_dist,relative-pdom-static-aligned,2.3323319856343334e-09,ctrl
n51,0.19631901840490798,0.7361963190184049,0.7668711656441718,True,0.4919119959723879,0.5080880040276121,0.803680981595092,0.7512856440482327,0.22729348053212248,122,pdom_dist,relative-pdom-static-aligned,8.098369328955927e-09,ctrl
n52,0.4049079754601227,0.5950920245398773,0.7791411042944786,True,0.4919119959723879,0.5080880040276121,0.5950920245398773,0.6856279747188444,0.42185057166973533,85,pdom_dist,relative-pdom-static-aligned,2.8999991300002598e-08,ctrl
n53,0.19631901840490798,0.4601226993865031,0.950920245398773,True,0.4919119959723879,0.5080880040276121,0.803680981595092,0.7015518998637487,0.22116310256516153,132,pdom_dist,relative-pdom-static-aligned,7.611109913066034e-09,ctrl
n54,0.4049079754601227,0.4233128834355828,0.3312883435582822,True,0.4919119959723879,0.5080880040276121,0.5950920245398773,0.3780449083460993,0.393776916810542,113,pdom_dist,relative-pdom-static-aligned,1.5277773533951792e-08,ctrl
n55,0.5950920245398773,0.7607361963190185,0.5337423312883436,True,0.4919119959723879,0.5080880040276121,0.4049079754601227,0.6490751910982924,0.6043499591746841,54,pdom_dist,relative-pdom-static-aligned,5.899997050001474e-08,ctrl
n56,0.8128834355828221,0.8159509202453987,0.2883435582822086,True,0.4919119959723879,0.5080880040276121,0.18711656441717794,0.5564145297323597,0.8145024682494985,20,pdom_dist,relative-pdom-static-aligned,2.6055529500026055e-07,ctrl
n57,0.03680981595092025,0.049079754601226995,0.8220858895705522,True,0.4919119959723879,0.5080880040276121,0.9631901840490797,0.4293307453528888,0.026369949019913755,155,pdom_dist,relative-pdom-static-aligned,1.8304429271498404e-09,ctrl
n58,0.19631901840490798,0.5030674846625767,0.9386503067484663,True,0.4919119959723879,0.5080880040276121,0.803680981595092,0.7173359000861321,0.22310870084617723,120,pdom_dist,relative-pdom-static-aligned,8.504949105627125e-09,ctrl
n59,0.19631901840490798,0.39263803680981596,0.3803680981595092,True,0.4919119959723879,0.5080880040276121,0.803680981595092,0.3866023067978848,0.18234117033998543,115,pdom_dist,relative-pdom-static-aligned,1.4285710476191485e-08,ctrl
n60,0.5950920245398773,0.4723926380368098,0.3006134969325153,True,0.4919119959723879,0.5080880040276121,0.4049079754601227,0.38789241786977385,0.5881298690009081,82,pdom_dist,relative-pdom-static-aligned,4.3999982400007046e-08,ctrl
n61,0.7055214723926381,0.6687116564417178,0.4723926380368098,True,0.4919119959723879,0.5080880040276121,0.29447852760736193,0.5721399762508196,0.7087797045993821,49,pdom_dist,relative-pdom-static-aligned,1.8763874815982777e-07,ctrl
n63,0.19631901840490798,0.04294478527607362,0.27607361963190186,True,0.4919119959723879,0.5080880040276121,0.803680981595092,0.15762365550276528,0.1541163563465526,146,pdom_dist,relative-pdom-static-aligned,3.181817545454673e-09,ctrl
n64,0.03680981595092025,0.20245398773006135,0.8282208588957055,True,0.4919119959723879,0.5080880040276121,0.9631901840490797,0.5102762183385494,0.03832790684552699,156,pdom_dist,relative-pdom-static-aligned,1.5761014362631344e-09,ctrl
n65,0.19631901840490798,0.3987730061349693,0.8773006134969326,True,0.4919119959723879,0.5080880040276121,0.803680981595092,0.6341664766002837,0.2128569088360845,143,pdom_dist,relative-pdom-static-aligned,3.3333327777778695e-09,ctrl
