node,static_rank,cache_struct_rank,gnn_rank,gnn_reliable,effective_gnn_weight,effective_struct_weight,static_freedom,residual_score,final_score,global_rank,chosen_family,family_reason,family_score,circuit
n643,0.4389173372348208,0.14374542794440381,0.9019751280175567,True,0.4645505536512126,0.5354494463487874,0.5610826627651793,0.4959814549081799,0.4385308267753392,487,pdom_dist,relative-pdom-static-aligned,0.008639718954537651,max
n644,0.4389173372348208,0.36247256766642283,0.6980614484272128,True,0.4645505536512126,0.5354494463487874,0.5610826627651793,0.5183705680230386,0.440684249519064,643,pdom_dist,relative-pdom-static-aligned,0.004585851395146069,max
n645,0.4389173372348208,0.19275786393562547,0.4716532553035845,True,0.4645505536512126,0.5354494463487874,0.5610826627651793,0.32231887240638246,0.4218276660482998,650,pdom_dist,relative-pdom-static-aligned,0.004579005342989224,max
n646,0.4389173372348208,0.3094367227505486,0.6803218727139722,True,0.4645505536512126,0.5354494463487874,0.5610826627651793,0.4817316245070701,0.43716025400085956,605,pdom_dist,relative-pdom-static-aligned,0.005559093640691646,max
n647,0.4389173372348208,0.35515727871250913,0.6810534016093636,True,0.4645505536512126,0.5354494463487874,0.5610826627651793,0.5065525030370265,0.4395475680526237,708,pdom_dist,relative-pdom-static-aligned,0.003829967667241821,max
n648,0.4389173372348208,0.22165325530358448,0.45848573518653984,True,0.4645505536512126,0.5354494463487874,0.5610826627651793,0.3316739149558011,0.42272744985353955,713,pdom_dist,relative-pdom-static-aligned,0.003819804413975717,max
n649,0.4389173372348208,0.16057059253840528,0.47439648866130213,True,0.4645505536512126,0.5354494463487874,0.5610826627651793,0.30635858633238494,0.42029257875601705,653,pdom_dist,relative-pdom-static-aligned,0.004570600809262468,max
n650,0.4389173372348208,0.15215801024140455,0.43964886613021215,True,0.4645505536512126,0.5354494463487874,0.5610826627651793,0.2857120465142111,0.41830675965744063,652,pdom_dist,relative-pdom-static-aligned,0.004570600809262468,max
n651,0.4389173372348208,0.3471104608632041,0.4893928310168252,True,0.4645505536512126,0.5354494463487874,0.5610826627651793,0.41320781469287554,0.4305695181470741,607,pdom_dist,relative-pdom-static-aligned,0.005548047244687767,max
n652,0.4389173372348208,0.45025603511338697,0.9081931236283833,True,0.4645505536512126,0.5354494463487874,0.5610826627651793,0.6629909631204529,0.4545940835715148,542,pdom_dist,relative-pdom-static-aligned,0.006851286125572312,max
n653,0.4389173372348208,0.23591806876371615,0.41660570592538404,True,0.4645505536512126,0.5354494463487874,0.5610826627651793,0.3198566106450984,0.42159084155013626,651,pdom_dist,relative-pdom-static-aligned,0.004570600809262468,max
n654,0.4389173372348208,0.17702999268471104,0.8884418434528164,True,0.4645505536512126,0.5354494463487874,0.5610826627651793,0.5075167618330683,0.43964031209351445,606,pdom_dist,relative-pdom-static-aligned,0.005548047244687767,max
n655,0.4389173372348208,0.10863204096561814,0.8536942209217264,True,0.4645505536512126,0.5354494463487874,0.5610826627651793,0.4547510891688077,0.4345652205068028,765,pdom_dist,relative-pdom-static-aligned,0.0032314105145722716,max
