node,static_rank,cache_struct_rank,gnn_rank,gnn_reliable,effective_gnn_weight,effective_struct_weight,static_freedom,residual_score,final_score,global_rank,chosen_family,family_reason,family_score,circuit
n643,0.4389173372348208,0.14374542794440381,0.9019751280175567,True,0.4646095130428794,0.5353904869571207,0.5610826627651793,0.4960261596700399,0.4385351265548994,487,pdom_dist,relative-pdom-static-aligned,0.008639718954537651,max
n644,0.4389173372348208,0.36247256766642283,0.6982443306510607,True,0.4646095130428794,0.5353904869571207,0.5610826627651793,0.5184753229602646,0.44069432502599376,643,pdom_dist,relative-pdom-static-aligned,0.004585851395146069,max
n645,0.4389173372348208,0.19275786393562547,0.4716532553035845,True,0.4646095130428794,0.5353904869571207,0.5610826627651793,0.3223353159089962,0.42182924761217566,650,pdom_dist,relative-pdom-static-aligned,0.004579005342989224,max
n646,0.4389173372348208,0.3094367227505486,0.6803218727139722,True,0.4646095130428794,0.5353904869571207,0.5610826627651793,0.4817534916698901,0.4371623572215417,605,pdom_dist,relative-pdom-static-aligned,0.005559093640691646,max
n647,0.4389173372348208,0.35515727871250913,0.6810534016093636,True,0.4646095130428794,0.5353904869571207,0.5610826627651793,0.5065717176741791,0.4395494161489035,708,pdom_dist,relative-pdom-static-aligned,0.003829967667241821,max
n648,0.4389173372348208,0.22165325530358448,0.45848573518653984,True,0.4646095130428794,0.5353904869571207,0.5610826627651793,0.3316878784547419,0.4227287928864702,713,pdom_dist,relative-pdom-static-aligned,0.003819804413975717,max
n649,0.4389173372348208,0.16057059253840528,0.47439648866130213,True,0.4646095130428794,0.5353904869571207,0.5610826627651793,0.3063770893163097,0.4202943584042866,653,pdom_dist,relative-pdom-static-aligned,0.004570600809262468,max
n650,0.4389173372348208,0.15215801024140455,0.43964886613021215,True,0.4646095130428794,0.5353904869571207,0.5610826627651793,0.28572899680018404,0.41830838996459657,652,pdom_dist,relative-pdom-static-aligned,0.004570600809262468,max
n651,0.4389173372348208,0.3471104608632041,0.4893928310168252,True,0.4646095130428794,0.5353904869571207,0.5610826627651793,0.4132162035748647,0.43057032500392356,607,pdom_dist,relative-pdom-static-aligned,0.005548047244687767,max
n652,0.4389173372348208,0.45025603511338697,0.9081931236283833,True,0.4646095130428794,0.5353904869571207,0.5610826627651793,0.6630179628126134,0.4545966804475444,542,pdom_dist,relative-pdom-static-aligned,0.006851286125572312,max
n653,0.4389173372348208,0.23591806876371615,0.41660570592538404,True,0.4646095130428794,0.5353904869571207,0.5610826627651793,0.31986726387826714,0.4215918661961096,651,pdom_dist,relative-pdom-static-aligned,0.004570600809262468,max
n654,0.4389173372348208,0.17702999268471104,0.8884418434528164,True,0.4646095130428794,0.5353904869571207,0.5610826627651793,0.507558706243014,0.43964434637776173,606,pdom_dist,relative-pdom-static-aligned,0.005548047244687767,max
n655,0.4389173372348208,0.10863204096561814,0.8536942209217264,True,0.4646095130428794,0.5353904869571207,0.5610826627651793,0.45479501758169183,0.43456944561580624,765,pdom_dist,relative-pdom-static-aligned,0.0032314105145722716,max
n656,0.4389173372348208,0.19824433065106073,0.3862472567666423,True,0.4646095130428794,0.5353904869571207,0.5610826627651793,0.2855922786042575,0.4182952401774175,882,pdom_dist,relative-pdom-static-aligned,0.0023861879981791657,max
n657,0.4389173372348208,0.19934162399414776,0.3829553767373811,True,0.4646095130428794,0.5353904869571207,0.5610826627651793,0.2846503202441571,0.41820464103015,881,pdom_dist,relative-pdom-static-aligned,0.0023861879981791657,max
n658,0.4389173372348208,0.3266276517922458,0.8233357717629847,True,0.4646095130428794,0.5353904869571207,0.5610826627651793,0.557402969536295,0.44443845187311176,813,pdom_dist,relative-pdom-static-aligned,0.0027664896964861956,max
n659,0.4389173372348208,0.358814923189466,0.7805413313825896,True,0.4646095130428794,0.5353904869571207,0.5610826627651793,0.5547530243373957,0.4441835756646769,875,pdom_dist,relative-pdom-static-aligned,0.002392208872525698,max
n660,0.4389173372348208,0.1485003657644477,0.8156547183613753,True,0.4646095130428794,0.5353904869571207,0.5610826627651793,0.45846662464894367,0.4349225869896552,933,pdom_dist,relative-pdom-static-aligned,0.00207173903293736,max
n661,0.4389173372348208,0.35918068763716166,0.4890270665691295,True,0.4646095130428794,0.5353904869571207,0.5610826627651793,0.4195085505231244,0.4311755335693668,1110,pdom_dist,relative-pdom-static-aligned,0.001421125715201107,max
