node,static_rank,cache_struct_rank,gnn_rank,gnn_reliable,effective_gnn_weight,effective_struct_weight,static_freedom,residual_score,final_score,global_rank,chosen_family,family_reason,family_score,circuit
n92,0.4150197628458498,0.09881422924901186,0.6877470355731226,True,0.4790572944617201,0.5209427055382799,0.5849802371541502,0.38094678606638854,0.4068992433558695,159,pdom_dist,relative-pdom-static-aligned,0.0011809561200324483,router
n93,0.4150197628458498,0.07509881422924901,0.2134387351778656,True,0.4790572944617201,0.5209427055382799,0.5849802371541502,0.1413715624749415,0.3905580190561576,149,pdom_dist,relative-pdom-static-aligned,0.0013170777244932749,router
n94,0.4150197628458498,0.24110671936758893,0.16205533596837945,True,0.4790572944617201,0.5209427055382799,0.5849802371541502,0.20323657751290752,0.39477777964694577,118,pdom_dist,relative-pdom-static-aligned,0.0017576922022531623,router
n95,0.4150197628458498,0.11462450592885376,0.6442687747035574,True,0.4790572944617201,0.5209427055382799,0.5849802371541502,0.36835445635521935,0.40604033114791493,161,pdom_dist,relative-pdom-static-aligned,0.0011468311803141482,router
n96,0.4150197628458498,0.07905138339920949,0.14624505928853754,True,0.4790572944617201,0.5209427055382799,0.5849802371541502,0.11124100397568869,0.38850283902822813,158,pdom_dist,relative-pdom-static-aligned,0.0011949748586931252,router
n97,0.4150197628458498,0.21739130434782608,0.20948616600790515,True,0.4790572944617201,0.5209427055382799,0.5849802371541502,0.21360429016235793,0.3954849525980542,131,pdom_dist,relative-pdom-static-aligned,0.001591914443514318,router
n98,0.4150197628458498,0.1383399209486166,0.6363636363636364,True,0.4790572944617201,0.5209427055382799,0.5849802371541502,0.37692181463310964,0.40662470344308077,166,pdom_dist,relative-pdom-static-aligned,0.001107122514557883,router
n99,0.4150197628458498,0.06324110671936758,0.1422924901185771,True,0.4790572944617201,0.5209427055382799,0.5849802371541502,0.10111124857404902,0.3878118969406536,172,pdom_dist,relative-pdom-static-aligned,0.001072671417536251,router
n100,0.4150197628458498,0.18972332015810275,0.233201581027668,True,0.4790572944617201,0.5209427055382799,0.5849802371541502,0.21055189817817754,0.39527675151066133,139,pdom_dist,relative-pdom-static-aligned,0.0014276233525504476,router
n101,0.4150197628458498,0.16996047430830039,0.6640316205533597,True,0.4790572944617201,0.5209427055382799,0.5849802371541502,0.40664886090005936,0.408652360241367,175,pdom_dist,relative-pdom-static-aligned,0.0010614515338475505,router
n102,0.4150197628458498,0.05928853754940711,0.1383399209486166,True,0.4790572944617201,0.5209427055382799,0.5849802371541502,0.09715867940408854,0.3875422955252894,186,pdom_dist,relative-pdom-static-aligned,0.0009518832074943538,router
n103,0.4150197628458498,0.19367588932806323,0.2608695652173913,True,0.4790572944617201,0.5209427055382799,0.5849802371541502,0.22586550990454246,0.3963212800737901,152,pdom_dist,relative-pdom-static-aligned,0.0012665951292829731,router
n104,0.4150197628458498,0.308300395256917,0.7865612648221344,True,0.4790572944617201,0.5209427055382799,0.5849802371541502,0.5374147534777396,0.41757179168060443,162,pdom_dist,relative-pdom-static-aligned,0.0011431818492101456,router
n105,0.4150197628458498,0.08695652173913043,0.12648221343873517,True,0.4790572944617201,0.5209427055382799,0.5849802371541502,0.10589159266647113,0.38813796018656455,194,pdom_dist,relative-pdom-static-aligned,0.0008343292932316868,router
n106,0.4150197628458498,0.22134387351778656,0.26877470355731226,True,0.4790572944617201,0.5209427055382799,0.5849802371541502,0.2440659586305954,0.3975627173582024,164,pdom_dist,relative-pdom-static-aligned,0.0011107493260009678,router
n107,0.4150197628458498,0.045454545454545456,0.16798418972332016,True,0.4790572944617201,0.5209427055382799,0.5849802371541502,0.10415326532930168,0.3880193903424164,196,pdom_dist,relative-pdom-static-aligned,0.0008246043853869399,router
n108,0.4150197628458498,0.045454545454545456,0.16798418972332016,True,0.4790572944617201,0.5209427055382799,0.5849802371541502,0.10415326532930168,0.3880193903424164,195,pdom_dist,relative-pdom-static-aligned,0.0008246043853869399,router
n109,0.4150197628458498,0.1976284584980237,0.3438735177865613,True,0.4790572944617201,0.5209427055382799,0.5849802371541502,0.2676882209291844,0.39917397198170285,168,pdom_dist,relative-pdom-static-aligned,0.001097675827487771,router
n110,0.4150197628458498,0.13438735177865613,0.5335968379446641,True,0.4790572944617201,0.5209427055382799,0.5849802371541502,0.3256315681447973,0.40312623891203087,154,pdom_dist,relative-pdom-static-aligned,0.0012450617483542319,router
n111,0.4150197628458498,0.3675889328063241,0.5889328063241107,True,0.4790572944617201,0.5209427055382799,0.5849802371541502,0.4736253299994321,0.4132207688102848,125,pdom_dist,relative-pdom-static-aligned,0.0016847022448750531,router
n112,0.4150197628458498,0.10276679841897234,0.09486166007905138,True,0.4790572944617201,0.5209427055382799,0.5849802371541502,0.09897978423350419,0.38766651155249227,188,pdom_dist,relative-pdom-static-aligned,0.0009298396117125111,router
n113,0.4150197628458498,0.3952569169960474,0.3241106719367589,True,0.4790572944617201,0.5209427055382799,0.5849802371541502,0.3611737893268342,0.4055505438954047,157,pdom_dist,relative-pdom-static-aligned,0.0012369642374151968,router
