node,static_rank,cache_struct_rank,gnn_rank,gnn_reliable,effective_gnn_weight,effective_struct_weight,static_freedom,residual_score,final_score,global_rank,chosen_family,family_reason,family_score,circuit
n50,0.4852504638218924,0.19795918367346937,0.7777365491651206,True,0.5114724410448658,0.4885275589551343,0.5147495361781076,0.49449932806404556,0.4849613283548114,2258,mass_balance,relative-mass-balance-frontier,0.6015052369666382,sin
n51,0.4852504638218924,0.16957328385899814,0.8499072356215214,True,0.5114724410448658,0.4885275589551343,0.5147495361781076,0.5175453508926758,0.4861727117371506,2493,mass_balance,relative-mass-balance-frontier,0.36098892196502025,sin
n52,0.4852504638218924,0.39591836734693875,0.8591836734693877,True,0.5114724410448658,0.4885275589551343,0.5147495361781076,0.6328658043207848,0.4922343772125955,2186,mass_balance,relative-mass-balance-frontier,0.8037014832574724,sin
n53,0.4852504638218924,0.313543599257885,0.8766233766233766,True,0.5114724410448658,0.4885275589551343,0.5147495361781076,0.6015433874900126,0.49058795624331836,2184,mass_balance,relative-mass-balance-frontier,0.8100499518547903,sin
n54,0.4852504638218924,0.36493506493506495,0.8781076066790352,True,0.5114724410448658,0.4885275589551343,0.5147495361781076,0.6274086775380517,0.49194753063828295,2181,mass_balance,relative-mass-balance-frontier,0.8102745898104755,sin
n55,0.4852504638218924,0.32040816326530613,0.874582560296846,True,0.5114724410448658,0.4885275589551343,0.5147495361781076,0.6038530948795945,0.4907093629246625,2179,mass_balance,relative-mass-balance-frontier,0.810282538282393,sin
n56,0.4852504638218924,0.3705009276437848,0.8716141001855288,True,0.5114724410448658,0.4885275589551343,0.5147495361781076,0.6268065052434476,0.49191587825659383,2176,mass_balance,relative-mass-balance-frontier,0.8102828195266534,sin
n57,0.4852504638218924,0.3345083487940631,0.8929499072356215,True,0.5114724410448658,0.4885275589551343,0.5147495361781076,0.6201358158710661,0.4915652423870324,2174,mass_balance,relative-mass-balance-frontier,0.810282829478039,sin
n58,0.4852504638218924,0.38200371057513915,0.8816326530612245,True,0.5114724410448658,0.4885275589551343,0.5147495361781076,0.6375501454051621,0.4924806033397246,2171,mass_balance,relative-mass-balance-frontier,0.8102828298301554,sin
n59,0.4852504638218924,0.3359925788497217,0.8810760667903526,True,0.5114724410448658,0.4885275589551343,0.5147495361781076,0.6147877609999659,0.49128412903194885,2170,mass_balance,relative-mass-balance-frontier,0.8102828298426139,sin
n60,0.4852504638218924,0.386456400742115,0.8797773654916512,True,0.5114724410448658,0.4885275589551343,0.5147495361781076,0.6387764788011685,0.49254506391533787,2168,mass_balance,relative-mass-balance-frontier,0.8102828298430548,sin
n61,0.4852504638218924,0.34786641929499074,0.8717996289424861,True,0.5114724410448658,0.4885275589551343,0.5147495361781076,0.6158438169778666,0.4913396392027042,2161,mass_balance,relative-mass-balance-frontier,0.8102828298430722,sin
n62,0.4852504638218924,0.3935064935064935,0.8649350649350649,True,0.5114724410448658,0.4885275589551343,0.5147495361781076,0.6346292157133588,0.49232706857513886,2160,mass_balance,relative-mass-balance-frontier,0.8102828298430722,sin
n63,0.4852504638218924,0.6985157699443414,0.8827458256029684,True,0.5114724410448658,0.4885275589551343,0.5147495361781076,0.7927443662258908,0.500638180095387,2159,mass_balance,relative-mass-balance-frontier,0.8102828298430722,sin
n64,0.4852504638218924,0.8252319109461966,0.9174397031539888,True,0.5114724410448658,0.4885275589551343,0.5147495361781076,0.8723936555100739,0.5048248385123922,2158,mass_balance,relative-mass-balance-frontier,0.8102828298430722,sin
n65,0.4852504638218924,0.4959183673469388,0.8823747680890538,True,0.5114724410448658,0.4885275589551343,0.5147495361781076,0.6935801659919212,0.49542574647160587,2157,mass_balance,relative-mass-balance-frontier,0.8102828298430722,sin
n66,0.4852504638218924,0.49165120593692024,0.8640074211502783,True,0.5114724410448658,0.4885275589551343,0.5147495361781076,0.6821011482703239,0.49482236725008377,2156,mass_balance,relative-mass-balance-frontier,0.8102828298430722,sin
n67,0.4852504638218924,0.4541743970315399,0.8708719851576995,True,0.5114724410448658,0.4885275589551343,0.5147495361781076,0.6673037296079348,0.4940445607191077,2152,mass_balance,relative-mass-balance-frontier,0.8102828298430722,sin
n68,0.4852504638218924,0.487012987012987,0.84860853432282,True,0.5114724410448658,0.4885275589551343,0.5147495361781076,0.6719591442665016,0.49428926636733256,2151,mass_balance,relative-mass-balance-frontier,0.8102828298430722,sin
n69,0.4852504638218924,0.43562152133580706,0.8447124304267162,True,0.5114724410448658,0.4885275589551343,0.5147495361781076,0.6448602472177977,0.49286484906944905,2150,mass_balance,relative-mass-balance-frontier,0.8102828298430722,sin
n70,0.4852504638218924,0.4749536178107607,0.8912801484230055,True,0.5114724410448658,0.4885275589551343,0.5147495361781076,0.6878931646947456,0.4951268168507352,2149,mass_balance,relative-mass-balance-frontier,0.8102828298430722,sin
n71,0.4852504638218924,0.43543599257884974,0.8400742115027829,True,0.5114724410448658,0.4885275589551343,0.5147495361781076,0.6423972901519207,0.4927353870237328,2148,mass_balance,relative-mass-balance-frontier,0.8102828298430722,sin
n72,0.4852504638218924,0.2625231910946197,0.7176252319109462,True,0.5114724410448658,0.4885275589551343,0.5147495361781076,0.4952953428354464,0.4850031698071671,4339,mass_balance,relative-mass-balance-frontier,0.1935410433602748,sin
n73,0.4852504638218924,0.3942486085343228,0.6282003710575139,True,0.5114724410448658,0.4885275589551343,0.5147495361781076,0.5139084875988081,0.4859815448798238,3768,mass_balance,relative-mass-balance-frontier,0.20984782598723614,sin
n74,0.4852504638218924,0.4307977736549165,0.6495361781076067,True,0.5114724410448658,0.4885275589551343,0.5147495361781076,0.5426764393305931,0.4874936938059511,2257,mass_balance,relative-mass-balance-frontier,0.6015052369666382,sin
n75,0.4852504638218924,0.599443413729128,0.8994434137291281,True,0.5114724410448658,0.4885275589551343,0.5147495361781076,0.7528851460425878,0.49854303346978074,2134,mass_balance,relative-mass-balance-frontier,0.9811644777381268,sin
n76,0.4852504638218924,0.19758812615955473,0.7771799628942486,True,0.5114724410448658,0.4885275589551343,0.5147495361781076,0.4940333777039259,0.4849368362970086,2256,mass_balance,relative-mass-balance-frontier,0.6015052369666382,sin
n77,0.4852504638218924,0.27217068645640075,0.6899814471243043,True,0.5114724410448658,0.4885275589551343,0.5147495361781076,0.48586937611002556,0.484507706466765,4338,mass_balance,relative-mass-balance-frontier,0.1935410433602748,sin
n78,0.4852504638218924,0.41335807050092765,0.6144712430426716,True,0.5114724410448658,0.4885275589551343,0.5147495361781076,0.5162219157871307,0.4861031471399798,3767,mass_balance,relative-mass-balance-frontier,0.20984782598723614,sin
n79,0.4852504638218924,0.45231910946196663,0.6484230055658627,True,0.5114724410448658,0.4885275589551343,0.5147495361781076,0.5526208479006351,0.48801640834886884,2255,mass_balance,relative-mass-balance-frontier,0.6015052369666382,sin
n80,0.4852504638218924,0.6525046382189239,0.8990723562152133,True,0.5114724410448658,0.4885275589551343,0.5147495361781076,0.7786172308253481,0.4998956061080432,2133,mass_balance,relative-mass-balance-frontier,0.9811644777381268,sin
n81,0.4852504638218924,0.35695732838589983,0.7658627087198516,True,0.5114724410448658,0.4885275589551343,0.5147495361781076,0.5661011614216854,0.48872498300878087,2101,mass_balance,relative-mass-balance-frontier,0.9987337358991731,sin
n82,0.4852504638218924,0.19944341372912802,0.8213358070500928,True,0.5114724410448658,0.4885275589551343,0.5147495361781076,0.5175242342082357,0.4861716017668615,2236,mass_balance,relative-mass-balance-frontier,0.6244474441068831,sin
n83,0.4852504638218924,0.5163265306122449,0.9192949907235621,True,0.5114724410448658,0.4885275589551343,0.5147495361781076,0.7224337925694709,0.4969423987814717,2147,mass_balance,relative-mass-balance-frontier,0.8102828298430722,sin
n84,0.4852504638218924,0.674025974025974,0.8094619666048237,True,0.5114724410448658,0.4885275589551343,0.5147495361781076,0.7432977517556126,0.49803908490539994,3761,mass_balance,relative-mass-balance-frontier,0.22721432909186828,sin
n85,0.4852504638218924,0.750834879406308,0.7749536178107607,True,0.5114724410448658,0.4885275589551343,0.5147495361781076,0.7631709494129559,0.4990836929740051,2109,mass_balance,relative-mass-balance-frontier,0.9872258077603032,sin
n86,0.9776437847866419,0.9558441558441558,0.9354359925788497,True,0.5114724410448658,0.4885275589551343,0.022356215213358066,0.9454059427616076,0.978660604480329,2125,mass_balance,relative-mass-balance-frontier,0.9869258989059794,sin
n87,0.4852504638218924,0.8298701298701299,0.9844155844155844,True,0.5114724410448658,0.4885275589551343,0.5147495361781076,0.9089158707588819,0.5067445799344851,2033,mass_balance,relative-mass-balance-frontier,0.9995180183898338,sin
n88,0.4852504638218924,0.4710575139146568,0.9109461966604824,True,0.5114724410448658,0.4885275589551343,0.5147495361781076,0.6960484522666748,0.49555548864006266,2146,mass_balance,relative-mass-balance-frontier,0.8102828298430722,sin
n89,0.4852504638218924,0.23794063079777367,0.7798701298701298,True,0.5114724410448658,0.4885275589551343,0.5147495361781076,0.515122634562533,0.48604536489191486,2250,mass_balance,relative-mass-balance-frontier,0.6232171222947644,sin
